oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Ag Waste Management Lb,1116,1116-091-6001,6001,53393,"Hood Fume, 1116-101-01",Room 101,Hood Room 101,OPERATING,,,,,,,,
,,1116-091-6002,6002,53394,"Hood Fume, 1116-101-02",Room 101,Hood Room 101,OPERATING,,,,,,,,
Agronomy Leland Laboratory,1901,1901-091-6001,6001,53890,"Hood,Fume, 1901-115",Room 115,Hood Room 115,OPERATING,,,,,,,,
Arthropod Research Facility,1125,1125-091-6000,6000,55840,"Hood,Fume, 1125-109",Room 109,Room 109,OPERATING,,,,,,,,
Baker Inst Micro Wing,2758,2758-091-6001,6001,53900,"Hood,Fume, 2758-115",Room 115,Hood room 115,OPERATING,,,,,,,,
,,2758-091-6002,6002,53901,"Hood,Fume, 2758-215",Room 215,Hood room 215,OPERATING,,,,,,,,
,,2758-091-6003,6003,53902,"Hood,Fume, 2758-B11A",Room B11A,Hood room B11A,OPERATING,,,,,,,,
Baker Institute CRLDD,2755,2755-091-6001,6001,53897,"Hood Fume, 2755-136A",Room 136A,Hood room 136A,HIBERNATION,,,,,,,,
Baker Institute Main Building,2756,2756-091-6001,6001,53898,"Hood Fume, 2756-206",Room 206,Room 206,HIBERNATION,,,,,,,no room,
Baker Institute West Wing,2762,2762-091-6001,6001,53905,"Hood Fume, 2762-120",Room 120,Hood room 120,OPERATING,#baker_west_lab_120/fh_sash_pos,#baker_west_lab_120/occ_sens,,,,,no data,endowed_main
,,2762-091-6002,6002,54031,"Hood Fume, 2762-122",Room 122,Hood Room 122,OPERATING,#baker_west_lab_122/fh_sash_pos,#baker_west_lab_122/occ_sens,,,,,no data,endowed_main
,,2762-091-6003,6003,54032,"Hood Fume, 2762-131",Room 131,Hood Room 131,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6004,6004,54033,"Hood Fume, 2762-133",Room 133,Hood Room 133,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6005,6005,54034,"Hood Fume, 2762-135",Room 135,Hood Room 135,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6006,6006,54035,"Hood Fume, 2762-220",Room 220,Hood Room 220,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6007,6007,54036,"Hood Fume, 2762-222",Room 222,Hood Room 222,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6008,6008,54037,"Hood Fume, 2762-231",Room 231,Hood Room 231,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6009,6009,54038,"Hood Fume, 2762-233",Room 233,Hood Room 233,OPERATING,,,,,,,no data,endowed_main
,,2762-091-6010,6010,54039,"Hood Fume, 2762-235",Room 235,Hood Room 235,OPERATING,,,,,,,no data,endowed_main
Baker Laboratory,2019,2019-091-6001,6001,52888,"Hood,Fume, 2019-101A-1",Room 101A,Hood Room 101A,OPERATING,no,,,,,,,
,,2019-091-6002,6002,52889,"Hood,Fume, 2019-101A-2",Room 101A,Hood Room 101A,OPERATING,no,,,,,,,
,,2019-091-6003,6003,52890,"Hood,Fume, 2019-101A-3",Room 101A,Hood Room 101A,OPERATING,,,,,,,missing fume hood?,
,,2019-091-6004,6004,52891,"Hood,Fume, 2019-101B-1",Room 101B,Hood Room 101B,OPERATING,,,,,,,,
,,2019-091-6005,6005,52892,"Hood,Fume, 2019-101B-2",Room 101B,Hood Room 101B,OPERATING,,,,,,,,
,,2019-091-6006,6006,52893,"Hood,Fume, 2019-101B-3",Room 101B,Hood Room 101B,OPERATING,,,,,,,,
,,2019-091-6007,6007,52894,"Hood,Fume, 2019-101C-1",Room 101C,Hood Room 101C,OPERATING,,,,,,,,
,,2019-091-6008,6008,52895,"Hood,Fume, 2019-101C-2",Room 101C,Hood Room 101C,OPERATING,,,,,,,,
,,2019-091-6009,6009,52896,"Hood,Fume, 2019-101C-3",Room 101C,Hood Room 101C,OPERATING,,,,,,,,
,,2019-091-6010,6010,52897,"Hood,Fume, 2019-101D-1",Room 101D,Hood Room 101D,OPERATING,,,,,,,,
,,2019-091-6011,6011,52898,"Hood,Fume, 2019-101D-2",Room 101D,Hood Room 101D,OPERATING,,,,,,,,
,,2019-091-6012,6012,52899,"Hood,Fume, 2019-101D-3",Room 101D,Hood Room 101D,OPERATING,,,,,,,,
,,2019-091-6013,6013,52900,"Hood,Fume, 2019-101E-1",Room 101E,Hood Room 101E,OPERATING,,,,,,,,
,,2019-091-6014,6014,52901,"Hood,Fume, 2019-101E-2",Room 101E,Hood Room 101E,OPERATING,,,,,,,,
,,2019-091-6015,6015,52902,"Hood,Fume, 2019-101E-3",Room 101E,Hood Room 101E,OPERATING,,,,,,,,
,,2019-091-6016,6016,52903,"Hood,Fume, 2019-101H",Room 101H,Hood Room 101H,OPERATING,,,,,,,,
,,2019-091-6017,6017,52904,"Hood,Fume, 2019-110-1",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,2019-091-6018,6018,52905,"Hood,Fume, 2019-110-2",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,2019-091-6019,6019,52906,"Hood,Fume, 2019-110-3",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,2019-091-6020,6020,52907,"Hood,Fume, 2019-112",Room 112,Hood Room 112,OPERATING,,,,,,,,
,,2019-091-6021,6021,52908,"Hood,Fume, 2019-230A-1",Room 230A,Hood Room 230A,HIBERNATION,,,,,,,,
,,2019-091-6022,6022,52910,"Hood,Fume, 2019-114",Room 114,Hood Room 114,OPERATING,,,,,,,,
,,2019-091-6023,6023,52911,"Hood,Fume, 2019-146-1",Room 146,Hood Room 146,OPERATING,,,,,,,,
,,2019-091-6024,6024,52912,"Hood,Fume, 2019-146-2",Room 146,Hood Room 146,OPERATING,,,,,,,,
,,2019-091-6025,6025,52913,"Hood,Fume, 2019-200C",Room 200C,Hood Room 200C,OPERATING,,,,,,,,
,,2019-091-6026,6026,52914,"Hood,Fume, 2019-201A-1",Room 201A,Hood Room 201A,OPERATING,,,,,,,,
,,2019-091-6027,6027,52915,"Hood,Fume, 2019-201A-2",Room 201A,Hood Room 201A,OPERATING,,,,,,,,
,,2019-091-6028,6028,52916,"Hood,Fume, 2019-201A-3",Room 201A,Hood Room 201A,OPERATING,,,,,,,,
,,2019-091-6029,6029,52917,"Hood,Fume, 2019-201B-1",Room 201B,Hood Room 201B,OPERATING,,,,,,,,
,,2019-091-6030,6030,52918,"Hood,Fume, 2019-201B-2",Room 201B,Hood Room 201B,OPERATING,,,,,,,,
,,2019-091-6031,6031,52919,"Hood,Fume, 2019-201B-3",Room 201B,Hood Room 201B,OPERATING,,,,,,,,
