Building,Hood,Lab,Floor,Server,Flow Sensor,Sash,Hood Occupancy,Occupancy,Internal Temp
bard,1,131,1,,#bard_lab_131/fh-1_flow_fbk,#bard_lab_131/fh-1_sash_pos,#bard_lab_131/fh1_occ,#bard_lab_131/occ_sensor,#bard_lab_131/zone_temp
bard,1,156,1,,#bard_lab_156/fh-1_flow_fbk,#bard_lab_156/fh-1_sash_pos,#bard_lab_156/fh_occ,#bard_lab_156/occ_sensor,#bard_lab_156/zone_temp
bard,1,247,2,,#bard_lab_247/fh-1_flow_fbk,#bard_lab_247/fh-1_sash_pos,,#bard_lab_247/occ_sensor,#bard_lab_247/zone_temp
bard,2,247,2,,#bard_lab_247/fh-2_flow_fbk,#bard_lab_247/fh-2_sash_pos,,#bard_lab_247/occ_sensor,#bard_lab_247/zone_temp
bard,1,250,2,,#bard_lab_250/fh-1_flow_fbk,#bard_lab_250/fh-1_sash_pos,#bard_lab_250/fh_occ,#bard_lab_250/occ_sensor,#bard_lab_250/zone_temp
bard,1,258,2,,#bard_lab_258-258a/fh-1_flow_fbk,#bard_lab_258-258a/fh-1_sash_pos,#bard_lab_258-258a/fh_occ,#bard_lab_249-258c/occ_sensor,#bard_lab_258-258a/zone_temp
bard,1,344,3,,#bard_lab_344/fh-1_flow_fbk,#bard_lab_344/fh-2_sash_pos,#bard_lab_344/fh1_occ,#bard_lab_344/occ_sensor,#bard_lab_344/zone_temp
bard,2,344,3,,#bard_lab_344/fh-2_flow_fbk,#bard_lab_344/fh-2_sash_pos,#bard_lab_344/fh2_occ,#bard_lab_344/occ_sensor,#bard_lab_344/zone_temp
bard,1,347,3,,#bard_lab_345_347/fh-1_flow_fbk,#bard_lab_345_347/fh-1_sash_pos,#bard_lab_345_347/fh_occ,#bard_lab_345_347/occ_sensor,#bard_lab_345_347/zone_temp
bard,1,350,3,,#bard_lab_350/fh-1_flow_fbk,#bard_lab_350/fh-1_sash_pos,,#bard_lab_350/occ_sensor,#bard_lab_350/zone_temp
bard,2,350,3,,#bard_lab_350/fh-2_flow_fbk,#bard_lab_350/fh-2_sash_pos,,#bard_lab_350/occ_sensor,#bard_lab_350/zone_temp
bard,3,350,3,,#bard_lab_350/fh-3_flow_fbk,#bard_lab_350/fh-3_sash_pos,,#bard_lab_350/occ_sensor,#bard_lab_350/zone_temp
bard,4,350,3,,#bard_lab_350/fh-4_flow_fbk,#bard_lab_350/fh-4_sash_pos,,#bard_lab_350/occ_sensor,#bard_lab_350/zone_temp
bard,1,359,3,,#bard_lab_359/fh-1_flow_fbk,#bard_lab_359/fh-1_sash_pos,,#bard_lab_359/occ_sensor,#bard_lab_359/zone_temp
bard,2,359,3,,#bard_lab_359/fh-2_flow_fbk,#bard_lab_359/fh-2_sash_pos,,#bard_lab_359/occ_sensor,#bard_lab_359/zone_temp
bard,3,359,3,,#bard_lab_359/fh-3_flow_fbk,#bard_lab_359/fh-3_sash_pos,,#bard_lab_359/occ_sensor,#bard_lab_359/zone_temp
bard,4,359,3,,#bard_lab_359/fh-4_flow_fbk,#bard_lab_359/fh-4_sash_pos,,#bard_lab_359/occ_sensor,#bard_lab_359/zone_temp
bard,1,361,3,,#bard_lab_361/fh-1_flow_fbk,#bard_lab_361/fh-1_sash_pos,#bard_lab_361/fh_occ,#bard_lab_361/occ_sensor,#bard_lab_361/zone_temp
bard,1,150,1,,#bard_lab_150/fh-1_flow_fbk,#bard_lab_150/fh-1_sash_pos,,#bard_lab_150/occ_sensor,#bard_lab_150/zone_temp
bard,2,150,1,,#bard_lab_150/fh-2_flow_fbk,#bard_lab_150/fh-2_sash_pos,,#bard_lab_150/occ_sensor,#bard_lab_150/zone_temp
bard,3,150,1,,#bard_lab_150/fh-3_flow_fbk,#bard_lab_150/fh-3_sash_pos,,#bard_lab_150/occ_sensor,#bard_lab_150/zone_temp
bard,4,150,1,,#bard_lab_150/fh-4_flow_fbk,#bard_lab_150/fh-4_sash_pos,,#bard_lab_150/occ_sensor,#bard_lab_150/zone_temp
bard,5,150,1,,#bard_lab_150/fh-5_flow_fbk,#bard_lab_150/fh-5_sash_pos,,#bard_lab_150/occ_sensor,#bard_lab_150/zone_temp
bard,1,356,3,,#bard_hall_lab_356/fh-1_flow_fbk,#bard_hall_lab_356/fh-1_sash_pos,#bard_hall_lab_356/fh-1_occ_do,#bard_hall_lab_356/occ,#bard_hall_lab_356/zone_temp
bard,2,356,3,,#bard_hall_lab_356/fh-2_flow_fbk,#bard_hall_lab_356/fh-2_sash_pos,#bard_hall_lab_356/fh-2_occ_do,#bard_hall_lab_356/occ,#bard_hall_lab_356/zone_temp
bard,3,356,3,,#bard_hall_lab_356/fh-3_flow_fbk,#bard_hall_lab_356/fh-3_sash_pos,#bard_hall_lab_356/fh-3_occ_do,#bard_hall_lab_356/occ,#bard_hall_lab_356/zone_temp
