Building,Hood,Lab,Floor,Server,Flow Sensor,Sash,Hood Occupancy,Occupancy,Internal Temp
bard,1,131,1,,,,,#bard_lab_131/occ_sensor,
bard,1,156,1,,,,,#bard_lab_156/occ_sensor,
bard,1,247,2,,,,,#bard_lab_247/occ_sensor,
bard,1,250,2,,,,,#bard_lab_250/occ_sensor,
bard,1,258,2,,,,,#bard_lab_249-258c/occ_sensor,
bard,1,SB36,S,,,,,#bard_sb36a_sav_gev/occ_sensor,
bard,1,344,3,,,,,#bard_lab_344/occ_sensor,
bard,1,347,3,,,,,#bard_lab_345_347/occ_sensor,
bard,1,350,3,,,,,#bard_lab_350/occ_sensor,
bard,1,359,3,,,,,#bard_lab_359/occ_sensor,
bard,1,361,3,,,,,#bard_lab_361/occ_sensor,
bard,1,B47A,B,,,,,#bard_sb47a_hvac/occ_sensor,
bard,1,SB40,S,,,#bard_sb40_sav_fev/fh-1_sash_pos,#bard_sb40_sav_fev/fh_occ,#bard_sb40_sav_fev/occ_sensor,#bard_sb40_sav_fev/zone_temp
bard,1,SB60,S,,#bard_lab_sb60/fh-1_flow_fbk,#bard_lab_sb60/fh-1_sash_pos,,#bard_lab_sb60/occ_sensor,#bard_lab_sb60/zone_temp
bard,2,SB60,S,,#bard_lab_sb60/fh-2_flow_fbk,#bard_lab_sb60/fh-2_sash_pos,,#bard_lab_sb60/occ_sensor,#bard_lab_sb60/zone_temp
bard,3,SB60,S,,#bard_lab_sb60/fh-3_flow_fbk,#bard_lab_sb60/fh-3_sash_pos,,#bard_lab_sb60/occ_sensor,#bard_lab_sb60/zone_temp
bard,4,SB60,S,,#bard_lab_sb60/fh-4_flow_fbk,#bard_lab_sb60/fh-4_sash_pos,,#bard_lab_sb60/occ_sensor,#bard_lab_sb60/zone_temp
bard,5,SB60,S,,#bard_lab_sb60/fh-5_flow_fbk,#bard_lab_sb60/fh-5_sash_pos,,#bard_lab_sb60/occ_sensor,#bard_lab_sb60/zone_temp
bard,6,SB60,S,,#bard_lab_sb60/fh-6_flow_fbk,#bard_lab_sb60/fh-6_sash_pos,,#bard_lab_sb60/occ_sensor,#bard_lab_sb60/zone_temp
