Building,Hood,Lab,Floor,Server,Flow Sensor,Sash,Hood Occupancy,Occupancy,Internal Temp
olin,1,B01,B,biotech,,,,#area17/lab_b01_control/occ_sensor,#area17/lab_b01_control/m001
olin,1,B02,B,biotech,#olin_basement/lab_spaces/lab_b02_control/vavhoodvlv_flow,,,#olin_basement/lab_spaces/lab_b02_control/occ_sensor,#olin_basement/lab_spaces/lab_b02_control/zone/zone_temp
olin,1,B05-1,B,biotech,#olin_basement/lab_spaces/lab_b05-1_control/hoodvalve_flow,,,#olin_basement/lab_spaces/lab_b05-1_control/occ_sensor,#olin_basement/lab_spaces/lab_b05-1_control/zone/zone_temp
olin,2,B05-2,B,biotech,#olin_basement/lab_spaces/lab_b05-2_control/hoodvalve_flow,,,olin_basement/lab_spaces/lab_b05-2_control/occ,#olin_basement/lab_spaces/lab_b05-2_control/zone/zone_temp
olin,1,B06,B,biotech,#olin_basement/lab_spaces/lab_b06_control/hoodvalve_flow,#olin_basement/lab_spaces/lab_b06_control/hood_sash,,#olin_basement/lab_spaces/lab_b06_control/occ,#olin_basement/lab_spaces/lab_b06_control/zone/zone_temp
olin,1,101,1,biotech,#olin_first_floor/lab_spaces/lab_101_control/hoodvalve_flow,,,#olin_first_floor/lab_spaces/lab_101_control/occ_sensor,#olin_first_floor/lab_spaces/lab_101_control/zone/zone_temp
olin,1,102,1,biotech,#olin_first_floor/lab_spaces/lab_102_control/hoodvalve_flow,,,#olin_first_floor/lab_spaces/lab_102_control/occ_sensor,#olin_first_floor/lab_spaces/lab_102_control/zone/zone_temp
olin,1,103,1,biotech,#olin_first_floor/lab_spaces/lab_103_control/fh-1_flow_fbk,#olin_first_floor/lab_spaces/lab_103_control/fh-1_sash_pos,#olin_first_floor/lab_spaces/lab_103_control/fh_occ,,#olin_first_floor/lab_spaces/lab_103_control/zone_temp
olin,1,104,1,biotech,#olin_first_floor/lab_spaces/lab_104_control/hoodvalve_flow_av,,,#olin_first_floor/lab_spaces/lab_104_control/occ_sensor,#olin_first_floor/lab_spaces/lab_104_control/zone/zone_temp
olin,1,105,1,biotech,#olin_first_floor/lab_spaces/lab_105_control/fh-1_flow_fbk,#olin_first_floor/lab_spaces/lab_105_control/fh-1_sash_pos,#olin_first_floor/lab_spaces/lab_105_control/fh_occ,,#olin_first_floor/lab_spaces/lab_105_control/zone_temp
olin,1,106,1,biotech,#olin_first_floor/lab_spaces/lab_106_control/hoodvalve_flow_av,,,#olin_first_floor/lab_spaces/lab_106_control/occ_sensor,#olin_first_floor/lab_spaces/lab_106_control/zone/zone_temp
olin,1,107,1,biotech,,#olin_first_floor/lab_spaces/lab_107_control/fh1_sash_pos,#olin_first_floor/lab_spaces/lab_107_control/hood1_occupied,#olin_first_floor/lab_spaces/lab_107_control/occ1,#olin_first_floor/lab_spaces/lab_107_control/lstat/zone_temp
olin,2,107,1,biotech,,#olin_first_floor/lab_spaces/lab_107_control/fh2_sash_pos,#olin_first_floor/lab_spaces/lab_107_control/hood2_occupied,#olin_first_floor/lab_spaces/lab_107_control/occ1,#olin_first_floor/lab_spaces/lab_107_control/lstat/zone_temp
olin,1,108,1,biotech,#olin_first_floor/lab_spaces/lab_108_control/hoodvalve_flow_av,,,#olin_first_floor/lab_spaces/lab_108_control/occ_sensor,#olin_first_floor/lab_spaces/lab_108_control/zone/zone_temp
olin,1,110,1,biotech,#olin_first_floor/lab_spaces/lab_110_control/hoodvalve_flow,,,#olin_first_floor/lab_spaces/lab_110_control/occ_sensor,#olin_first_floor/lab_spaces/lab_110_control/zone/zone_temp
olin,1,111,1,biotech,,#olin_lab_111_control/fh1_sash_pos,#olin_lab_111_control/hood1_occ,#olin_lab_111_control/occ,#olin_lab_111_control/zone_temp
olin,1,202,2,biotech,#olin_second_floor/lab_spaces/lab_202_control/hoodvalve_flow,,,#olin_second_floor/lab_spaces/lab_202_control/occ_sensor,#olin_second_floor/lab_spaces/lab_202_control/zone/zone_temp
olin,1,203,2,biotech,#olin_second_floor/lab_spaces/lab_203_control/hoodvalve_flow,,,#olin_second_floor/lab_spaces/lab_203_control/occ_sensor,#olin_second_floor/lab_spaces/lab_203_control/zone/zone_temp
olin,1,204,2,biotech,#olin_second_floor/lab_spaces/lab_204_control/hoodvalve_flow_av,,,#olin_second_floor/lab_spaces/lab_204_control/occ_sensor,#olin_second_floor/lab_spaces/lab_204_control/zonetemp
olin,1,205,2,biotech,#olin_second_floor/lab_spaces/lab_205_control/hoodvalve_flow,,,#olin_second_floor/lab_spaces/lab_205_control/occ_sensor,#olin_second_floor/lab_spaces/lab_205_control/zone/zone_temp
olin,1,207,2,biotech,#olin_second_floor/lab_spaces/lab_207_control/hoodvalve_flow,,,#olin_second_floor/lab_spaces/lab_207_control/occ_sensor,#olin_second_floor/lab_spaces/lab_207_control/zone/zone_temp
olin,1,209,2,biotech,#olin_second_floor/lab_spaces/lab_209_control/hoodvalve_flow,,,#olin_second_floor/lab_spaces/lab_209_control/occ_sensor,#olin_second_floor/lab_spaces/lab_209_control/zone/zone_temp
olin,1,210,2,biotech,#olin_second_floor/lab_spaces/lab_210_control/hoodvalve_flow,,,#olin_second_floor/lab_spaces/lab_210_control/occ_sensor,#olin_second_floor/lab_spaces/lab_210_control/zone/zone_temp
