oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Baker Laboratory,2019,2019-091-6001,6001.0,52888.0,"Hood,Fume, 2019-101A-1",Room 101A,Hood Room 101A,OPERATING,no,,,,,,,
,,2019-091-6002,6002.0,52889.0,"Hood,Fume, 2019-101A-2",Room 101A,Hood Room 101A,OPERATING,no,,,,,,,
,,2019-091-6003,6003.0,52890.0,"Hood,Fume, 2019-101A-3",Room 101A,Hood Room 101A,OPERATING,,,,,,,missing fume hood?,
,,2019-091-6004,6004.0,52891.0,"Hood,Fume, 2019-101B-1",Room 101B,Hood Room 101B,OPERATING,,,,,,,,
,,2019-091-6005,6005.0,52892.0,"Hood,Fume, 2019-101B-2",Room 101B,Hood Room 101B,OPERATING,,,,,,,,
,,2019-091-6006,6006.0,52893.0,"Hood,Fume, 2019-101B-3",Room 101B,Hood Room 101B,OPERATING,,,,,,,,
,,2019-091-6007,6007.0,52894.0,"Hood,Fume, 2019-101C-1",Room 101C,Hood Room 101C,OPERATING,,,,,,,,
,,2019-091-6008,6008.0,52895.0,"Hood,Fume, 2019-101C-2",Room 101C,Hood Room 101C,OPERATING,,,,,,,,
,,2019-091-6009,6009.0,52896.0,"Hood,Fume, 2019-101C-3",Room 101C,Hood Room 101C,OPERATING,,,,,,,,
,,2019-091-6010,6010.0,52897.0,"Hood,Fume, 2019-101D-1",Room 101D,Hood Room 101D,OPERATING,,,,,,,,
,,2019-091-6011,6011.0,52898.0,"Hood,Fume, 2019-101D-2",Room 101D,Hood Room 101D,OPERATING,,,,,,,,
,,2019-091-6012,6012.0,52899.0,"Hood,Fume, 2019-101D-3",Room 101D,Hood Room 101D,OPERATING,,,,,,,,
,,2019-091-6013,6013.0,52900.0,"Hood,Fume, 2019-101E-1",Room 101E,Hood Room 101E,OPERATING,,,,,,,,
,,2019-091-6014,6014.0,52901.0,"Hood,Fume, 2019-101E-2",Room 101E,Hood Room 101E,OPERATING,,,,,,,,
,,2019-091-6015,6015.0,52902.0,"Hood,Fume, 2019-101E-3",Room 101E,Hood Room 101E,OPERATING,,,,,,,,
,,2019-091-6016,6016.0,52903.0,"Hood,Fume, 2019-101H",Room 101H,Hood Room 101H,OPERATING,,,,,,,,
,,2019-091-6017,6017.0,52904.0,"Hood,Fume, 2019-110-1",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,2019-091-6018,6018.0,52905.0,"Hood,Fume, 2019-110-2",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,2019-091-6019,6019.0,52906.0,"Hood,Fume, 2019-110-3",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,2019-091-6020,6020.0,52907.0,"Hood,Fume, 2019-112",Room 112,Hood Room 112,OPERATING,,,,,,,,
,,2019-091-6021,6021.0,52908.0,"Hood,Fume, 2019-230A-1",Room 230A,Hood Room 230A,HIBERNATION,,,,,,,,
,,2019-091-6022,6022.0,52910.0,"Hood,Fume, 2019-114",Room 114,Hood Room 114,OPERATING,,,,,,,,
,,2019-091-6023,6023.0,52911.0,"Hood,Fume, 2019-146-1",Room 146,Hood Room 146,OPERATING,,,,,,,,
,,2019-091-6024,6024.0,52912.0,"Hood,Fume, 2019-146-2",Room 146,Hood Room 146,OPERATING,,,,,,,,
,,2019-091-6025,6025.0,52913.0,"Hood,Fume, 2019-200C",Room 200C,Hood Room 200C,OPERATING,,,,,,,,
,,2019-091-6026,6026.0,52914.0,"Hood,Fume, 2019-201A-1",Room 201A,Hood Room 201A,OPERATING,,,,,,,,
,,2019-091-6027,6027.0,52915.0,"Hood,Fume, 2019-201A-2",Room 201A,Hood Room 201A,OPERATING,,,,,,,,
,,2019-091-6028,6028.0,52916.0,"Hood,Fume, 2019-201A-3",Room 201A,Hood Room 201A,OPERATING,,,,,,,,
,,2019-091-6029,6029.0,52917.0,"Hood,Fume, 2019-201B-1",Room 201B,Hood Room 201B,OPERATING,,,,,,,,
,,2019-091-6030,6030.0,52918.0,"Hood,Fume, 2019-201B-2",Room 201B,Hood Room 201B,OPERATING,,,,,,,,
,,2019-091-6031,6031.0,52919.0,"Hood,Fume, 2019-201B-3",Room 201B,Hood Room 201B,OPERATING,,,,,,,,
,,2019-091-6032,6032.0,52920.0,"Hood,Fume, 2019-201C-1",Room 201C,Hood Room 201C,OPERATING,,,,,,,,
,,2019-091-6033,6033.0,52921.0,"Hood,Fume, 2019-201C-2",Room 201C,Hood Room 201C,OPERATING,,,,,,,,
,,2019-091-6034,6034.0,52922.0,"Hood,Fume, 2019-201C-3",Room 201C,Hood Room 201C,OPERATING,,,,,,,,
,,2019-091-6035,6035.0,52923.0,"Hood,Fume, 2019-201D-1",Room 201D,Hood Room 201D,OPERATING,,,,,,,,
,,2019-091-6036,6036.0,52924.0,"Hood,Fume, 2019-201D-2",Room 201D,Hood Room 201D,OPERATING,,,,,,,,
,,2019-091-6037,6037.0,52925.0,"Hood,Fume, 2019-201D-3",Room 201D,Hood Room 201D,OPERATING,,,,,,,,
,,2019-091-6038,6038.0,52926.0,"Hood,Fume, 2019-201E-1",Room 201E,Hood Room 201E,OPERATING,,,,,,,,
,,2019-091-6039,6039.0,52927.0,"Hood,Fume, 2019-201E-2",Room 201E,Hood Room 201E,OPERATING,,,,,,,,
,,2019-091-6040,6040.0,52929.0,"Hood,Fume, 2019-201H",Room 201H,Hood Room 201H,OPERATING,,,,,,,,
,,2019-091-6042,6042.0,52931.0,"Hood,Fume, 2019-230A-2",Room 230A,Hood Room 230A,HIBERNATION,,,,,,,,
,,2019-091-6043,6043.0,52932.0,"Hood,Fume, 2019-230A-3",Room 230A,Hood Room 230A,HIBERNATION,,,,,,,,
,,2019-091-6044,6044.0,52933.0,"Hood,Fume, 2019-110-4",Room 110,Hood Room 110-D,OPERATING,,,,,,,,
,,2019-091-6046,6046.0,52935.0,"Hood,Fume, 2019-301A-1",Room 301A,Hood Room 301A,OPERATING,,,,,,,,
,,2019-091-6047,6047.0,52936.0,"Hood,Fume, 2019-301A-2",Room 301A,Hood Room 301A,OPERATING,,,,,,,,
,,2019-091-6048,6048.0,52937.0,"Hood,Fume, 2019-301A-3",Room 301A,Hood Room 301A,OPERATING,,,,,,,,
,,2019-091-6049,6049.0,52938.0,"Hood,Fume, 2019-301B-1",Room 301B,Hood Room 301B,OPERATING,,,,,,,,
,,2019-091-6050,6050.0,52942.0,"Hood,Fume, 2019-301B-2",Room 301B,Hood Room 301B,OPERATING,,,,,,,,
,,2019-091-6051,6051.0,52943.0,"Hood,Fume, 2019-301B-3",Room 301B,Hood Room 301B,OPERATING,,,,,,,,
,,2019-091-6052,6052.0,52944.0,"Hood,Fume, 2019-301C-1",Room 301C,Hood Room 301C,OPERATING,,,,,,,,
,,2019-091-6053,6053.0,52945.0,"Hood,Fume, 2019-301C-2",Room 301C-B,Hood Room 301C-B,OPERATING,,,,,,,,
,,2019-091-6054,6054.0,52946.0,"Hood,Fume, 2019-301C-3",Room 301C,Hood Room 301C,OPERATING,,,,,,,,
,,2019-091-6055,6055.0,52974.0,"Hood,Fume, 2019-301D-1",Room 301D,Hood Room 301D,OPERATING,,,,,,,,
,,2019-091-6056,6056.0,52975.0,"Hood,Fume, 2019-301D-2",Room 301D,Hood Room 301D,OPERATING,,,,,,,,
,,2019-091-6057,6057.0,52976.0,"Hood,Fume, 2019-301D-3",Room 301D,Hood Room 301D,OPERATING,,,,,,,,
,,2019-091-6058,6058.0,52977.0,"Hood,Fume, 2019-301E-1",Room 301E,Hood Room 301E,OPERATING,,,,,,,,
,,2019-091-6059,6059.0,52978.0,"Hood,Fume, 2019-301E-2",Room 301E,Hood Room 301E,OPERATING,,,,,,,,
,,2019-091-6060,6060.0,52979.0,"Hood,Fume, 2019-301E-3",Room 301E,Hood Room 301E,OPERATING,,,,,,,,
,,2019-091-6061,6061.0,52980.0,"Hood,Fume, 2019-301H",Room 301H,Hood Room 301H,OPERATING,,,,,,,,
,,2019-091-6062,6062.0,52981.0,"Hood Fume, 2019-305",Room 305,Hood Room 305,OPERATING,,,,,,,,
,,2019-091-6064,6064.0,52983.0,"Hood,Fume, 2019-312",Room 312,Hood Room 312,OPERATING,,,,,,,,
,,2019-091-6065,6065.0,52984.0,"Hood,Fume, 2019-316",Room 316,Hood Room 316,OPERATING,,,,,,,,
,,2019-091-6071,6071.0,52990.0,"Hood,Fume, 2019-110-5",Room 110,Hood Room 110-E,OPERATING,,,,,,,,
,,2019-091-6072,6072.0,52991.0,"Hood,Fume, 2019-B19-2",Room B19,Hood Room B19-2,OPERATING,,,,,,,,
,,2019-091-6073,6073.0,52992.0,"Hood,Fume, 2019-B19-3",Room B19,Hood Room B19-3,OPERATING,,,,,,,,
,,2019-091-6105,6015.0,53099.0,"Hood,Fume, 2019-B01C-1",Room B01C,Hood Room B01C,OPERATING,,,,,,,,
,,2019-091-6106,6106.0,53100.0,"Hood,Fume, 2019-B01C-2",Room B01C,Hood Room B01C,OPERATING,,,,,,,,
,,2019-091-6107,6107.0,53101.0,"Hood,Fume, 2019-B01C-3",Room B01C,Hood Room B01C,OPERATING,,,,,,,,
,,2019-091-6108,6108.0,53102.0,"Hood,Fume, 2019-B01C-4",Room B01C,Hood Room B01C,OPERATING,,,,,,,,
,,2019-091-6109,6109.0,53103.0,"Hood,Fume, 2019-B01E-1",Room B01E,Hood Room B01E,OPERATING,,,,,,,,
,,2019-091-6110,6110.0,53104.0,"Hood,Fume, 2019-B01E-2",Room B01E,Hood Room B01E,OPERATING,,,,,,,,
,,2019-091-6111,6111.0,53105.0,"Hood,Fume, 2019-B02",Room B02,Hood Room B02,OPERATING,,,,,,,,
,,2019-091-6112,6112.0,53106.0,"Hood,Fume, 2019-B19-1",Room B19-1,Hood Room B19-1,OPERATING,,,,,,,,
,,2019-091-6113,6113.0,53107.0,"Hood,Fume, 2019-B22A",Room B22A,Hood Room B22A,HIBERNATION,,,,,,,,
,,2019-091-6114,6114.0,53108.0,"Hood,Fume, 2019-B24-1",Room B24,Hood Room B24,OPERATING,,,,,,,,
,,2019-091-6115,6115.0,53109.0,"Hood,Fume, 2019-B24-2",Room B24,Hood Room B24,OPERATING,,,,,,,,
,,2019-091-6116,6116.0,53110.0,"Hood,Fume, 2019-B27",Room B27,Hood Room B27,OPERATING,,,,,,,,
,,2019-091-6119,6119.0,53113.0,"Hood Fume, 2019-B32",Room B32,Hood Room B32,OPERATING,,,,,,,,
,,2019-091-6120,6120.0,53114.0,"Hood,Fume, 2019-B35-1",Room B35,Hood Room B35,OPERATING,,,,,,,,
,,2019-091-6121,6121.0,53115.0,"Hood,Fume, 2019-B35-2",Room B35,Hood Room B35,OPERATING,,,,,,,,
,,2019-091-6123,6123.0,53117.0,"Hood,Fume, 2019-G01A-1",Room G01A,Hood Room G01A,OPERATING,,,,,,,,
,,2019-091-6124,6124.0,53118.0,"Hood,Fume, 2019-G01A-2",Room G01A,Hood Room G01A,OPERATING,,,,,,,,
,,2019-091-6125,6125.0,53119.0,"Hood,Fume, 2019-G01A-3",Room G01A,Hood Room G01A,OPERATING,,,,,,,,
,,2019-091-6126,6126.0,53120.0,"Hood,Fume, 2019-G01B-1",Room G01B,Hood Room G01B,OPERATING,,,,,,,,
,,2019-091-6127,6127.0,53121.0,"Hood,Fume, 2019-G01B-2",Room G01B,Hood Room G01B,OPERATING,,,,,,,,
,,2019-091-6128,6128.0,53122.0,"Hood,Fume, 2019-G01B-3",Room G01B,Hood Room G01B,OPERATING,,,,,,,,
,,2019-091-6129,6129.0,53123.0,"Hood,Fume, 2019-G01C-1",Room G01C,Hood Room G01C,OPERATING,,,,,,,,
,,2019-091-6130,6130.0,53124.0,"Hood,Fume, 2019-G01C-2",Room G01C,Hood Room G01C,OPERATING,,,,,,,,
,,2019-091-6131,6131.0,53125.0,"Hood,Fume, 2019-G01C-3",Room G01C,Hood Room G01C,OPERATING,,,,,,,,
,,2019-091-6132,6132.0,53126.0,"Hood,Fume, 2019-G01D-1",Room G01D,Hood Room G01D,OPERATING,,,,,,,,
,,2019-091-6133,6133.0,53127.0,"Hood,Fume, 2019-G01D-2",Room G01D,Hood Room G01D,OPERATING,,,,,,,,
,,2019-091-6134,6134.0,53128.0,"Hood,Fume, 2019-G01D-3",Room G01D,Hood Room G01D,OPERATING,,,,,,,,
,,2019-091-6135,6135.0,53129.0,"Hood,Fume, 2019-G01E-1",Room G01E,Hood Room G01E,OPERATING,,,,,,,,
,,2019-091-6136,6136.0,53130.0,"Hood,Fume, 2019-G01E-2",Room G01E,Hood Room G01E,OPERATING,,,,,,,,
,,2019-091-6137,6137.0,53131.0,"Hood,Fume, 2019-G01E-3",Room G01E,Hood Room G01E,OPERATING,,,,,,,,
