oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Bard Hall,2070,2070-091-6001,6001.0,53794.0,"Hood Fume, 2070-131-NE",Room 131,Hood Room 131,OPERATING,#bard_lab_131/fh-1_sash_pos,#bard_lab_131/occ_sensor,,,,,,
,,2070-091-6002,6002.0,53795.0,"Hood Fume, 2070-131-SE",Room 131,Hood Room 131,OPERATING,,,,,,,,
,,2070-091-6003,6003.0,53796.0,"Hood Fume, 2070-156",Room 156,Hood Room 156,OPERATING,,,,,,,,
,,2070-091-6004,6004.0,53797.0,"Hood,Fume, 2070-247-1 80 FPM",Room 247,Hood Room 247,OPERATING,,,,,,,,
,,2070-091-6005,6005.0,53798.0,"Hood,Fume, 2070-247-2 80 FPM",Room 247,Hood Room 247,OPERATING,,,,,,,,
,,2070-091-6006,6006.0,53799.0,"Hood Fume, 2070-250",Room 250,Hood Room 250,OPERATING,,,,,,,,
,,2070-091-6007,6007.0,53800.0,"Hood Fume, 2070-258",Room 258,Hood Room 258,OPERATING,,,,,,,,
,,2070-091-6008,6008.0,53801.0,"Hood Fume, 2070-SB36",Room SB36,Hood Room SB36,HIBERNATION,,,,,,,,
,,2070-091-6011,6011.0,53802.0,"Hood Fume, 2070-344-01",Room 344,Hood Room 344,OPERATING,,,,,,,,
,,2070-091-6012,6012.0,53803.0,"Hood Fume, 2070-344-02",Room 344,Hood Room 344,OPERATING,,,,,,,,
,,2070-091-6013,6013.0,53804.0,"Hood Fume, 2070-347",Room 347,Hood Room 347,OPERATING,,,,,,,,
,,2070-091-6014,6014.0,53806.0,"Hood Fume, 2070-350-N",Room 350,Hood Room 350,OPERATING,,,,,,,,
,,2070-091-6015,6015.0,53807.0,"Hood Fume, 2070-350-SE",Room 350,Hood Room 350,OPERATING,,,,,,,,
,,2070-091-6016,6016.0,53808.0,"Hood Fume, 2070-350-SW",Room 350,Hood Room 350,OPERATING,,,,,,,,
,,2070-091-6017,6017.0,53809.0,"Hood Fume, 2070-350-W",Room 350,Hood Room 350,OPERATING,,,,,,,,
,,2070-091-6020,6020.0,53812.0,"Hood Fume, 2070-359-NE",Room 359,Hood Room 359,OPERATING,,,,,,,,
,,2070-091-6021,6021.0,53814.0,"Hood Fume, 2070-359-NW",Room 359,Hood Room 359,OPERATING,,,,,,,,
,,2070-091-6022,6022.0,53816.0,"Hood Fume, 2070-359-SE",Room 359,Hood Room 359,OPERATING,,,,,,,,
,,2070-091-6023,6023.0,53817.0,"Hood Fume, 2070-359-SW",Room 359,Hood Room 359,OPERATING,,,,,,,,
,,2070-091-6024,6024.0,53818.0,"Hood Fume, 2070-361",Room 361,Hood Room 361,OPERATING,,,,,,,,
,,2070-091-6025,6025.0,53819.0,"Hood Fume, 2070-B47A, 80 FPM",Room B47A,Hood Room B47A,OPERATING,,,,,,,,
,,2070-091-6027,6027.0,53821.0,"Hood Fume, 2070-SB28-NE",Room SB28-NE,Hood Room SB28-NE,OPERATING,,,,,,,,
,,2070-091-6028,6028.0,53822.0,"Hood Fume, 2070-SB28-NW",Room SB28-NW,Hood Room SB28-NW,OPERATING,,,,,,,,
,,2070-091-6029,6029.0,53823.0,"Hood Fume, 2070-SB28-SE",Room SB28-SE,Hood Room SB28-SE,OPERATING,,,,,,,,
,,2070-091-6030,6030.0,53824.0,"Hood Fume, 2070-SB28-SW",Room SB28-SW,Hood Room SB28-SW,OPERATING,,,,,,,,
,,2070-091-6031,6031.0,53825.0,"Hood Fume, 2070-SB40",Room SB40,Hood Room SB40,OPERATING,,,,,,,,
,,2070-091-6032,6032.0,55737.0,"Hood Fume, 2070-SB60-01",Room SB60,Hood Room SB60,OPERATING,,,,,,,,
,,2070-091-6033,6032.0,55738.0,"Hood Fume, 2070-SB60-02",Room SB60,Hood Room SB60,OPERATING,,,,,,,,
,,2070-091-6034,6034.0,55739.0,"Hood Fume, 2070-SB60-03",Room SB60,Hood Room SB60,OPERATING,,,,,,,,
,,2070-091-6035,6035.0,55740.0,"Hood,Fume, 2070-SB60-04",Room SB60,Hood Room SB60,OPERATING,,,,,,,,
,,2070-091-6036,6036.0,55741.0,"Hood,Fume, 2070-SB60-05",Room SB60,Hood Room SB60,OPERATING,,,,,,,,
,,2070-091-6037,6037.0,55742.0,"Hood,Fume, 2070-SB60-06",Room SB60,Hood Room SB60,OPERATING,,,,,,,,
,,2070-091-6038,6038.0,101296.0,"Hood,Fume, 2070-150-1",Room 150,Hood Room 150,OPERATING,,,,,,,,
,,2070-091-6039,6039.0,101297.0,"Hood,Fume, 2070-150-2",Room 150,Hood Room 150,OPERATING,,,,,,,,
,,2070-091-6040,6040.0,101298.0,"Hood,Fume, 2070-150-3",Room 150,Hood Room 150,OPERATING,,,,,,,,
,,2070-091-6041,6041.0,101299.0,"Hood,Fume, 2070-150-4",Room 150,Hood Room 150,OPERATING,,,,,,,,
,,2070-091-6042,6042.0,101300.0,"Hood,Fume, 2070-150-5",Room 150,Hood Room 150,OPERATING,,,,,,,,
,,2070-091-6043,6043.0,102804.0,"Hood,Fume, 2070-B58A",Room B58A,Hood Room B58A,OPERATING,,,,,,,,
,,2070-091-6044,6044.0,102805.0,"Hood,Fume, 2070-B58B",Room B58B,Hood Room B58B,OPERATING,,,,,,,,
,,2070-091-6045,6045.0,118276.0,"Hood,Fume, 2070-356-1",Room 356,Hood Room 356,OPERATING,,,,,,,,
,,2070-091-6046,6046.0,118277.0,"Hood,Fume, 2070-356-2",Room 356,Hood Room 356,OPERATING,,,,,,,,
,,2070-091-6047,6047.0,118278.0,"Hood,Fume, 2070-356-3",Room 356,Hood Room 356,OPERATING,,,,,,,,
,,2070-091-6048,6048.0,119767.0,"Hood,Fume, 2070-B44A",Room B44,Hood Room B44A,OPERATING,,,,,,,,
