oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Biotechnology,1018,1018-091-6001,6001.0,52276.0,"Hood Fume, 1018-141",141,141,OPERATING,,,,,,,,
,,1018-091-6002,6002.0,52277.0,"Hood Fume, 1018-143",143,143,OPERATING,,,,,,,,
,,1018-091-6003,6003.0,52311.0,"Hood,Fume, 1018-147B",147B,147B,OPERATING,,,,,,,,
,,1018-091-6004,6004.0,52313.0,"Hood,Fume, 1018-153",153,153,OPERATING,,,,,,,,
,,1018-091-6005,6005.0,52314.0,"Hood Fume, 1018-153B",153,153,OPERATING,,,,,,,,
,,1018-091-6006,6006.0,52315.0,"Hood,Fume, 1018-155",155,155,OPERATING,,,,,,,,
,,1018-091-6007,6007.0,52317.0,"Hood Fume, 1018-160",160,160,OPERATING,,,,,,,,
,,1018-091-6008,6008.0,52318.0,"Hood,Fume, 1018-203",203,203,OPERATING,,,,,,,,
,,1018-091-6009,6009.0,52319.0,"Hood Fume, 1018-203B",203,203,OPERATING,,,,,,,,
,,1018-091-6010,6010.0,52320.0,"Hood,Fume, 1018-209",209,209,OPERATING,,,,,,,,
,,1018-091-6011,6011.0,52321.0,"Hood Fume, 1018-209B",209,209,OPERATING,,,,,,,,
,,1018-091-6013,6013.0,52323.0,"Hood Fume, 1018-217B",217,217,OPERATING,,,,,,,,
,,1018-091-6015,6015.0,52325.0,"Hood,Fume, 1018-221",221,221,OPERATING,,,,,,,,
,,1018-091-6016,6016.0,52326.0,"Hood Fume, 1018-221B",221,221,OPERATING,,,,,,,,
,,1018-091-6017,6017.0,52327.0,"Hood,Fume, 1018-227",227,227,OPERATING,,,,,,,,
,,1018-091-6018,6018.0,52328.0,"Hood Fume, 1018-227B",227,227,OPERATING,,,,,,,,
,,1018-091-6019,6019.0,52329.0,"Hood,Fume, 1018-233",233,233,OPERATING,,,,,,,,
,,1018-091-6020,6020.0,52330.0,"Hood Fume, 1018-233B",233,233,OPERATING,,,,,,,,
