oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Boyce Thompson Institute,1076,1076-091-6001,6001.0,53345.0,"Hood Fume, 1076-104",ROOM 104,HOOD ROOM 104,OPERATING,,,,,,,,
,,1076-091-6002,6002.0,53346.0,"Hood Fume, 1076-108",ROOM 108,HOOD ROOM 108,OPERATING,,,,,,,,
,,1076-091-6003,6003.0,53347.0,"Hood Fume, 1076-110",ROOM 110,HOOD ROOM 110,OPERATING,,,,,,,,
,,1076-091-6004,6004.0,53348.0,"Hood Fume, 1076-110A",ROOM 110A,HOOD ROOM 110A,OPERATING,,,,,,,,
,,1076-091-6005,6005.0,53349.0,"Hood Fume, 1076-114",ROOM 114,HOOD ROOM 114,OPERATING,,,,,,,,
,,1076-091-6006,6006.0,53350.0,"Hood Fume, 1076-116",ROOM 116,HOOD ROOM 116,OPERATING,,,,,,,,
,,1076-091-6007,6007.0,53351.0,"Hood Fume, 1076-116A",ROOM 116A,HOOD ROOM 116A,OPERATING,,,,,,,,
,,1076-091-6008,6008.0,53352.0,"Hood Fume, 1076-118",ROOM 118,HOOD ROOM 118,OPERATING,,,,,,,,
,,1076-091-6009,6009.0,53353.0,"Hood Fume, 1076-120",ROOM 120,HOOD ROOM 120,OPERATING,,,,,,,,
,,1076-091-6010,6010.0,53354.0,"Hood Fume, 1076-122",ROOM 122,HOOD ROOM 122,OPERATING,,,,,,,,
,,1076-091-6011,6011.0,53355.0,"Hood Fume, 1076-160-N",ROOM 160-N,HOOD ROOM 160-N,OPERATING,,,,,,,,
,,1076-091-6012,6012.0,53356.0,"Hood Fume, 1076-160-S",ROOM 160-S,HOOD ROOM 160-S,OPERATING,,,,,,,,
,,1076-091-6013,6013.0,53357.0,"Hood Fume, 1076-206",ROOM 206,HOOD ROOM 206,OPERATING,,,,,,,,
,,1076-091-6014,6014.0,53380.0,"Hood Fume, 1076-210",ROOM 210,HOOD ROOM 210,OPERATING,,,,,,,,
,,1076-091-6015,6015.0,53358.0,"Hood Fume, 1076-212",ROOM 212,HOOD ROOM 212,OPERATING,,,,,,,,
,,1076-091-6016,6016.0,53381.0,"Hood Fume, 1076-218",ROOM 218,HOOD ROOM 218,OPERATING,,,,,,,,
,,1076-091-6018,6018.0,53360.0,"Hood,Fume, 1076-202",ROOM 202,HOOD ROOM 202,OPERATING,,,,,,,,
,,1076-091-6019,6019.0,53361.0,"Hood Fume, 1076-302",ROOM 302,HOOD ROOM 302,OPERATING,,,,,,,,
,,1076-091-6020,6020.0,53362.0,"Hood Fume, 1076-304",ROOM 304,HOOD ROOM 304,OPERATING,,,,,,,,
,,1076-091-6021,6021.0,53363.0,"Hood Fume, 1076-310",ROOM 310,HOOD ROOM 310,OPERATING,,,,,,,,
,,1076-091-6022,6022.0,53364.0,"Hood Fume, 1076-312",ROOM 312,HOOD ROOM 312,OPERATING,,,,,,,,
,,1076-091-6023,6023.0,53365.0,"Hood Fume, 1076-316",ROOM 316,HOOD ROOM 316,OPERATING,,,,,,,,
,,1076-091-6024,6024.0,53366.0,"Hood Fume, 1076-318",ROOM 318,HOOD ROOM 318,OPERATING,,,,,,,,
,,1076-091-6025,6025.0,53367.0,"Hood Fume, 1076-324",ROOM 324,HOOD ROOM 324,OPERATING,,,,,,,,
,,1076-091-6026,6026.0,53368.0,"Hood Fume, 1076-326",ROOM 326,HOOD ROOM 326,OPERATING,,,,,,,,
,,1076-091-6027,6027.0,53369.0,"Hood Fume, 1076-402",ROOM 402,HOOD ROOM 402,OPERATING,,,,,,,,
,,1076-091-6028,6028.0,53370.0,"Hood Fume, 1076-404",ROOM 404,HOOD ROOM 404,OPERATING,,,,,,,,
,,1076-091-6029,6029.0,53371.0,"Hood Fume, 1076-406",ROOM 406,HOOD ROOM 406,OPERATING,,,,,,,,
,,1076-091-6030,6030.0,53372.0,"Hood Fume, 1076-410",ROOM 410,HOOD ROOM 410,OPERATING,,,,,,,,
,,1076-091-6031,6031.0,53373.0,"Hood Fume, 1076-412",ROOM 412,HOOD ROOM 412,OPERATING,,,,,,,,
,,1076-091-6032,6032.0,53374.0,"Hood Fume, 1076-418-E",ROOM 418,HOOD ROOM 418,OPERATING,,,,,,,,
,,1076-091-6033,6033.0,53375.0,"Hood Fume, 1076-418-W",ROOM 418,HOOD ROOM 418,OPERATING,,,,,,,,
,,1076-091-6034,6034.0,53376.0,"Hood Fume, 1076-420",ROOM 420,HOOD ROOM 420,OPERATING,,,,,,,,
,,1076-091-6035,6035.0,53377.0,"Hood Fume, 1076-422",ROOM 422,HOOD ROOM 422,OPERATING,,,,,,,,
,,1076-091-6036,6036.0,53378.0,"Hood Fume, 1076-424",ROOM 424,HOOD ROOM 424,OPERATING,,,,,,,,
,,1076-091-6037,6037.0,53379.0,"Hood Fume, 1076-426",ROOM 426,HOOD ROOM 426,OPERATING,,,,,,,,
,,1076-091-6038,6038.0,52700.0,"Hood,Fume, 1076-158",Room 158,Hood Room 158,OPERATING,,,,,,,,
