oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Bradfield Hall,1028B,1028B-091-6001,6001.0,52585.0,"Hood Fume, 1028B-1003",Room 1003,Hood Room 1003,OPERATING,,,,,,,,
,,1028B-091-6002,6002.0,52586.0,"Hood Fume, 1028B-1006A",Room 1006A,Hood Room 1006A,HIBERNATION,,,,,,,,
,,1028B-091-6003,6003.0,52588.0,"Hood Fume, 1028B-1012",Room 1012,Hood Room 1012,OPERATING,,,,,,,,
,,1028B-091-6005,6005.0,52590.0,"Hood Fume, 1028B-102",Room 102,Hood Room 102,RETIRED,,,,,,,,
,,1028B-091-6006,6006.0,52591.0,"Hood Fume, 1028B-1020",Room 1020,Hood Room 1020,OPERATING,,,,,,,,
,,1028B-091-6007,6007.0,52592.0,"Hood Fume, 1028B-1024",Room 1024,Hood Room 1024,HIBERNATION,,,,,,,,
,,1028B-091-6008,6008.0,52593.0,"Hood Fume, 1028B-202",Room 202,Hood Room 202,OPERATING,,,,,,,,
,,1028B-091-6009,6009.0,52594.0,"Hood Fume, 1028B-205",Room 205,Hood Room 205,HIBERNATION,,,,,,,,
,,1028B-091-6010,6010.0,52595.0,"Hood Fume, 1028B-212",Room 212,Hood Room 212,OPERATING,,,,,,,,
,,1028B-091-6011,6011.0,52596.0,"Hood Fume, 1028B-213A",Room 213A,Hood Room 213A,OPERATING,,,,,,,,
,,1028B-091-6012,6012.0,52597.0,"Hood Fume, 1028B-220",Room 220,Hood Room 220,OPERATING,,,,,,,,
,,1028B-091-6013,6013.0,52598.0,"Hood Fume, 1028B-224A",Room 224A,Hood Room 224A,OPERATING,,,,,,,,
,,1028B-091-6014,6014.0,52599.0,"Hood Fume, 1028B-301",Room 301,Hood Room 301,OPERATING,,,,,,,,
,,1028B-091-6015,6015.0,52600.0,"Hood Fume, 1028B-303A",Room 303A,Hood Room 303A,OPERATING,,,,,,,,
,,1028B-091-6016,6016.0,52601.0,"Hood Fume, 1028B-305",Room 305,Hood Room 305,OPERATING,,,,,,,,
,,1028B-091-6017,6017.0,52602.0,"Hood Fume, 1028B-306",Room 306,Hood Room 306,OPERATING,,,,,,,,
,,1028B-091-6018,6018.0,52603.0,"Hood Fume, 1028B-311",Room 311,Hood Room 311,OPERATING,,,,,,,,
,,1028B-091-6019,6019.0,52604.0,"Hood,Fume, 1028B-506A",506A,506A,OPERATING,,,,,,,,
,,1028B-091-6020,6020.0,52605.0,"Hood Fume, 1028B-315",Room 315,Hood Room 315,OPERATING,,,,,,,,
,,1028B-091-6022,6022.0,52607.0,"Hood Fume, 1028B-405A",Room 405A,Hood Room 405A,OPERATING,,,,,,,,
,,1028B-091-6023,6023.0,52608.0,"Hood Fume, 1028B-412A",Room 412A,Hood Room 412A,OPERATING,,,,,,,,
,,1028B-091-6024,6024.0,52609.0,"Hood Fume, 1028B-414-2",Room 414,Hood Room 414,OPERATING,,,,,,,,
,,1028B-091-6025,6025.0,52610.0,"Hood Fume, 1028B-414-1",Room 414,Hood Room 414,OPERATING,,,,,,,,
