oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Brown Rd 95 #6 Langmuir Lab,4204,4204-091-6001,6001.0,53087.0,"Hood Fume, 4204-179-01",Room 179,Room 179,OPERATING,,,,,,,,
,,4204-091-6002,6002.0,53088.0,"Hood Fume, 4204-179-02",Room 179,Room 179,OPERATING,,,,,,,,
,,4204-091-6003,6003.0,53089.0,"Hood Fume, 4204-180-01",Room 180,Room 180,OPERATING,,,,,,,,
,,4204-091-6004,6004.0,53090.0,"Hood Fume, 4204-180-02",Room 180,Room 180,OPERATING,,,,,,,,
,,4204-091-6005,6005.0,53091.0,"Hood Fume, 4204-183B",Room 183B,Room 183B,OPERATING,,,,,,,,
,,4204-091-6006,6006.0,104410.0,"Hood,Fume, 4204-275",Room 275,Hood Room 275,OPERATING,,,,,,,,
,,4204-091-6007,6007.0,53093.0,"Hood,Fume, 4204-186",Room 186,Room 186,OPERATING,,,,,,,,
,,4204-091-6008,6008.0,53094.0,"Hood,Fume, 4204-187",Room 187,Room 187,OPERATING,,,,,,,,
,,4204-091-6009,6009.0,53095.0,"Hood Fume, 4204-189",Room 189,Room 189,OPERATING,,,,,,,,
,,4204-091-6010,6010.0,53096.0,"Hood,Fume, 4204-152A",152A,152A,OPERATING,,,,,,,,
,,4204-091-6012,6012.0,53912.0,"Hood Fume, 4204-270",Room 270,Hood Room 270,OPERATING,,,,,,,,
,,4204-091-6013,6013.0,53913.0,"Hood Fume, 4204-277",Room 277,Hood Room 277,OPERATING,,,,,,,,
,,4204-091-6015,6015.0,53914.0,"Hood,Fume, 4204-279",Room 279,Hood Room 279,OPERATING,,,,,,,,
,,4204-091-6016,6016.0,53915.0,"Hood Fume, 4204-274",Room 274,Hood Room 274,OPERATING,,,,,,,,
,,4204-091-6017,6017.0,53916.0,"Hood Fume, 4204-276",Room 276,Hood Room 276,OPERATING,,,,,,,,
,,4204-091-6018,6018.0,53917.0,"Hood Fume, 4204-284",Room 284,Hood Room 284,OPERATING,,,,,,,,
,,4204-091-6019,6019.0,53918.0,"Hood Fume, 4204-285-01",Room 285,Hood Room 285,OPERATING,,,,,,,,
,,4204-091-6020,6020.0,53919.0,"Hood Fume, 4204-285-02",Room 285,Hood Room 285,OPERATING,,,,,,,,
,,4204-091-6021,6021.0,53920.0,"Hood Fume, 4204-285-03",Room 285,Hood Room 285,OPERATING,,,,,,,,
,,4204-091-6022,6022.0,53921.0,"Hood Fume, 4204-286A",Room 286A,Hood Room 286A,OPERATING,,,,,,,,
,,4204-091-6023,6023.0,104415.0,"Hood,Fume, 4204-282",Room 282,Hood Room 282,OPERATING,,,,,,,,
,,4204-091-6024,6024.0,104416.0,"Hood,Fume, 4204-272",Room 272,Hood Room 272,OPERATING,,,,,,,,
,,4204-091-6025,6025.0,104417.0,"Hood,Fume, 4204-283-01",Room 283,Hood Room 283,OPERATING,,,,,,,,
,,4204-091-6026,6026.0,104418.0,"Hood,Fume, 4204-283-02",Room 283,Hood Room 283,OPERATING,,,,,,,,
,,4204-091-6027,6027.0,104419.0,"Hood,Fume, 4204-252D",Room 252,Hood Room 252,OPERATING,,,,,,,,
,,4204-091-6028,6028.0,104420.0,"Hood,Fume, 4204-288",Room 288,Hood Room 288,OPERATING,,,,,,,,
,,4204-091-6029,6029.0,104421.0,"Hood,Fume, 4204-171",Room 171,Hood Room 171,OPERATING,,,,,,,,
,,4204-091-6030,6030.0,121078.0,"Hood,Fume, 4204-170",Room 170,Hood Room 170,OPERATING,,,,,,,,
,,4204-091-6031,6031.0,121079.0,"Hood,Fume, 4204-266-1",Room 266,Hood Room 266,OPERATING,,,,,,,,
,,4204-091-6032,6032.0,121080.0,"Hood,Fume, 4204-266-2",Room 266,Hood Room 266,OPERATING,,,,,,,,
