oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Clark Hall,2082,2082-091-6001,6001.0,52826.0,"Hood Fume, 2082-150",150,150 Hood,OPERATING,,,,,,,,
,,2082-091-6002,6002.0,52828.0,"Hood Fume, 2082-159A",159A,159A Hood,HIBERNATION,,,,,,,,
,,2082-091-6003,6003.0,52829.0,"Hood Fume, 2082-179-N",179,179 Hood Room,HIBERNATION,,,,,,,,
,,2082-091-6004,6004.0,52831.0,"Hood Fume, 2082-179-S",179,179 Hood Room,HIBERNATION,,,,,,,,
,,2082-091-6005,6005.0,52833.0,"Hood Fume, 2082-185",185,185 Hood Room,OPERATING,,,,,,,,
,,2082-091-6006,6006.0,52834.0,"Hood Fume, 2082-188",188,188 Hood Room,OPERATING,,,,,,,,
,,2082-091-6007,6007.0,52883.0,"Hood,Fume, 2082-BC08",BC08,Bc08 Hood Room,OPERATING,,,,,,,,
,,2082-091-6008,6008.0,52836.0,"Hood,Fume, 2082-BC13",BC13,BC13 Hood Room,OPERATING,,,,,,,,
,,2082-091-6012,6012.0,52841.0,"Hood Fume, 2082-308D",308D,308D Hood Room,OPERATING,,,,,,,,
,,2082-091-6014,6014.0,52842.0,"Hood Fume, 2082-BA02",BA02,BA02 Hood Room,OPERATING,,,,,,,,
,,2082-091-6017,6017.0,52874.0,"Hood Fume, 2082-B6",BB06,B6 Hood Room,OPERATING,,,,,,,,
,,2082-091-6020,6020.0,52876.0,"Hood Fume, 2082-C5",BC05,C5 Hood Room,OPERATING,,,,,,,,
,,2082-091-6021,6021.0,52877.0,"Hood Fume, 2082-D12C",BD12C,C12C Hood Room,OPERATING,,,,,,,,
,,2082-091-6025,6025.0,52879.0,"Hood,Fume, 2082-BD21E",BD21E,BD21E Hood Room,OPERATING,,,,,,,,
,,2082-091-6026,6026.0,52880.0,"Hood Fume, 2082-E2",BE02,E2 Hood Room,OPERATING,,,,,,,,
,,2082-091-6029,6029.0,52881.0,"Hood Fume, 2082-F11-E",BF11,F11 Hood Room,HIBERNATION,,,,,,,,
,,2082-091-6030,6030.0,52882.0,"Hood Fume, 2082-F11-W",BF11,F11 Hood Room,HIBERNATION,,,,,,,,
,,2082-091-6031,6031.0,87121.0,"Hood,Fume, 2082-BF14, Chemical",BBF14,BF14,OPERATING,,,,,,,,
,,2082-091-6033,6033.0,52884.0,"Hood Fume, 2082-G15",BG15,G15 Hood Room,OPERATING,,,,,,,,
,,2082-091-6035,6035.0,52885.0,"Hood Fume, 2082-G7A",BG7A,G7A Hood Room,OPERATING,,,,,,,,
,,2082-091-6036,6036.0,52886.0,"Hood Fume, 2082-H2",BH02,H2 Hood Room,OPERATING,,,,,,,,
,,2082-091-6037,6037.0,52887.0,"Hood Fume, 2082-H7",BH07,H7 Hood Room,OPERATING,,,,,,,,
