oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Comstock Hall,1081,1081-091-6001,6001.0,53024.0,"Hood Fume, 1081-1104",Room 1104,Hood Room 1104,OPERATING,#comstock_lab_1104_fh_gev/fh_sash,#comstock_lab_1104_fh_gev/occ1,,,,,,
,,1081-091-6002,6002.0,53025.0,"Hood Fume, 1081-1105A",Room 1105A,Hood Room 1105A,OPERATING,,,,,,,,
,,1081-091-6003,6003.0,53026.0,"Hood Fume, 1081-1108",Room 1108,Hood Room 1108,OPERATING,,,,,,,,
,,1081-091-6004,6004.0,53027.0,"Hood Fume, 1081-1112",Room 1112,Hood Room 1112,OPERATING,,,,,,,,
,,1081-091-6005,6005.0,53028.0,"Hood Fume, 1081-1116",Room 1116,Hood Room 1116,OPERATING,,,,,,,,
,,1081-091-6006,6006.0,53029.0,"Hood Fume, 1081-1120",Room 1120,Hood Room 1120,OPERATING,,,,,,,,
,,1081-091-6007,6007.0,53030.0,"Hood Fume, 1081-2111",Room 2111,Hood Room 2111,OPERATING,,,,,,,,
,,1081-091-6008,6008.0,53031.0,"Hood Fume, 1081-3119",Room 3119,Hood Room 3119,OPERATING,,,,,,,,
,,1081-091-6009,6009.0,53032.0,"Hood Fume, 1081-3131A",Room 3131A,Hood Room 3131A,OPERATING,,,,,,,,
,,1081-091-6010,6010.0,54621.0,"Hood Fume, 1081-6129A",Room 6129A,Hood Room 6129A,OPERATING,,,,,,,,
,,1081-091-6012,6012.0,53034.0,"Hood Fume, 1081-4129",Room 4129,Hood Room 4129,OPERATING,,,,,,,,
,,1081-091-6013,6013.0,53043.0,"Hood Fume, 1081-4131",Room 4131,Hood Room 4131,OPERATING,,,,,,,,
,,1081-091-6014,6014.0,53044.0,"Hood Fume, 1081-4133",Room 4133,Hood Room 4133,OPERATING,,,,,,,,
,,1081-091-6018,6018.0,53048.0,"Hood,Fume, 1081-5129",Room 5129,Hood Room 5129,OPERATING,,,,,,,,
,,1081-091-6019,6019.0,53049.0,"Hood Fume, 1081-6119",Room 6119,Hood Room 6119,OPERATING,,,,,,,,
,,1081-091-6024,6024.0,53054.0,"Hood Fume, 1081-6129B",Room 6129,Hood Room 6129B,OPERATING,,,,,,,,
,,1081-091-6025,6025.0,53055.0,"Hood Fume, 1081-6129-N",Room 6129,Hood Room 6129,OPERATING,,,,,,,,
,,1081-091-6026,6026.0,53056.0,"Hood Fume, 1081-6129-S",Room 6129,Hood Room 6129,OPERATING,,,,,,,,
,,1081-091-6027,6027.0,53057.0,"Hood Fume, 1081-B145",Room B145,Hood Room B145,OPERATING,,,,,,,,
,,1081-091-6028,6028.0,53058.0,"Hood Fume, 1081-B149",Room B149,Hood Room B149,OPERATING,,,,,,,,
,,1081-091-6029,6029.0,97167.0,"Hood,Fume, 1081-5123",5123,5123,OPERATING,,,,,,,,
,,1081-091-6030,6030.0,97168.0,"Hood,Fume, 1081-5121A",5121A,5121A,OPERATING,,,,,,,,
,,1081-091-6031,6031.0,121211.0,"Hood,Fume, 1081-3127, Chemical",5123,5123,OPERATING,,,,,,,,
,,1081-091-6032,6032.0,52697.0,"Hood,Fume, 1081-2144B",2144B,2144B,OPERATING,,,,,,,,
