oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Dale R Corson Hall,1019E,1019E-091-6001,6001.0,53148.0,"Hood Fume, 1019E-E205",E205,Hood Room E205,OPERATING,,,,,,,,
,,1019E-091-6002,6002.0,53149.0,"Hood Fume, 1019E-E212",E212,Hood Room E212,OPERATING,,,,,,,,
,,1019E-091-6004,6004.0,53150.0,"Hood Fume, 1019E-E240",E240,Hood Room E240,OPERATING,,,,,,,,
,,1019E-091-6005,6005.0,53151.0,"Hood Fume, 1019E-E245",E245,Hood Room E245,OPERATING,,,,,,,,
,,1019E-091-6006,6006.0,53152.0,"Hood,Fume, 1019E-E248B",E248B,Hood Room E248B,OPERATING,,,,,,,,
,,1019E-091-6007,6007.0,53153.0,"Hood,Fume, 1019E-E304B",E304B,E304B,OPERATING,,,,,,,,
,,1019E-091-6010,6010.0,53154.0,"Hood Fume, 1019E-E310-01",E310,Hood Room E310,OPERATING,,,,,,,,
,,1019E-091-6011,6011.0,53155.0,"Hood Fume, 1019E-E310-02",E310,Hood Room E310,OPERATING,,,,,,,,
,,1019E-091-6012,6012.0,53156.0,"Hood Fume, 1019E-E331",E331,Hood Room E331,OPERATING,,,,,,,,
,,1019E-091-6013,6013.0,53157.0,"Hood,Fume, 1019E-E334",E334,E334,OPERATING,,,,,,,,
,,1019E-091-6014,6014.0,53158.0,"Hood Fume, 1019E-E340",E340,Hood Room E340,OPERATING,,,,,,,,
,,1019E-091-6015,6015.0,53159.0,"Hood Fume, 1019E-E405",E405,Hood Room E405,OPERATING,,,,,,,,
,,1019E-091-6017,6017.0,53160.0,"Hood Fume, 1019E-E419",E419,Hood Room E419,OPERATING,,,,,,,,
,,1019E-091-6018,6018.0,53161.0,"Hood Fume, 1019E-E446",E446,Hood Room E446,OPERATING,,,,,,,,
,,1019E-091-6019,6019.0,53162.0,"Hood Fume, 1019E-E450",E450,Hood Room E450,OPERATING,,,,,,,,
,,1019E-091-6021,6021.0,54645.0,"Hood Fume, 1019E-E429",E429,Hood Room E429,OPERATING,,,,,,,,
,,1019E-091-6022,6022.0,54646.0,"Hood Fume, 1019E-E439",E439,Hood Room E439,OPERATING,,,,,,,,
,,1019E-091-6023,6023.0,55841.0,"Hood,Fume, 1019E-E206",E206,Room E206,OPERATING,,,,,,,,
,,1019E-091-6024,6024.0,98685.0,"Hood,Fume, 1019E-E142-1",142,Hood Room 142,OPERATING,,,,,,,,
,,1019E-091-6025,6025.0,125478.0,"Hood,Fume, 1019E-E344-1",344,344,OPERATING,,,,,,,,
