oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Duffield Hall,2000,2000-091-6001,6001.0,53059.0,"Hood Fume, 2000-116-N",116,Hood Room 116,OPERATING,,,,,,,,
,,2000-091-6002,6002.0,53060.0,"Hood Fume, 2000-116-S",116,Hood Room 116,OPERATING,,,,,,,,
,,2000-091-6003,6003.0,53061.0,"Hood Fume, 2000-119",119,Hood Room 119,OPERATING,,,,,,,,
,,2000-091-6004,6004.0,53062.0,"Hood Fume, 2000-125-E",125,Hood Room 125,OPERATING,,,,,,,,
,,2000-091-6005,6005.0,53063.0,"Hood Fume, 2000-125-W",125,Hood Room 125,OPERATING,,,,,,,,
,,2000-091-6006,6005.0,53064.0,"Hood Fume, 2000-202",202,Hood Room 202,OPERATING,#duffield_hall/second_floor/ahu-1_vavs/lab_202/vav-1/fh_sash_pos,#duffield_hall/second_floor/ahu-1_vavs/lab_202/vav-1/occ1,,,,,,
,,2000-091-6007,6007.0,53065.0,"Hood Fume, 2000-207",207,Hood Room 207,OPERATING,,,,,,,,
,,2000-091-6008,6008.0,53066.0,"Hood Fume, 2000-209-01",209,Hood Room 209,OPERATING,,,,,,,,
,,2000-091-6009,6009.0,53067.0,"Hood Fume, 2000-209-02",209,Hood Room 209,OPERATING,,,,,,,,
,,2000-091-6010,6010.0,53068.0,"Hood Fume, 2000-212-01",212,Hood Room 212,OPERATING,,,,,,,,
,,2000-091-6011,6011.0,53069.0,"Hood Fume, 2000-212-02",212,Hood Room 212,OPERATING,,,,,,,,
,,2000-091-6012,6012.0,53070.0,"Hood Fume, 2000-213-01",213,Hood Room 213,OPERATING,,,,,,,,
,,2000-091-6013,6013.0,53071.0,"Hood Fume, 2000-213-02",213,Hood Room 213,OPERATING,,,,,,,,
,,2000-091-6014,6014.0,53072.0,"Hood Fume, 2000-213-03",213,Hood Room 213,OPERATING,,,,,,,,
,,2000-091-6015,6015.0,53073.0,"Hood Fume, 2000-216",216,Hood Room 216,OPERATING,,,,,,,,
,,2000-091-6016,6016.0,53769.0,"Hood Fume, 2000-224-01",224,Hood Room 224,OPERATING,,,,,,,,
,,2000-091-6017,6017.0,53770.0,"Hood Fume, 2000-224-02",224,Hood Room 224,OPERATING,,,,,,,,
,,2000-091-6018,6018.0,53771.0,"Hood Fume, 2000-227-01",227,Hood Room 227,OPERATING,,,,,,,,
,,2000-091-6019,6019.0,53772.0,"Hood Fume, 2000-227-02",227,Hood Room 227,OPERATING,,,,,,,,
,,2000-091-6020,6020.0,53773.0,"Hood Fume, 2000-227-03",227,Hood Room 227,OPERATING,,,,,,,,
,,2000-091-6021,6021.0,53774.0,"Hood Fume, 2000-231-01",231,Hood Room 231,OPERATING,,,,,,,,
,,2000-091-6022,6022.0,53775.0,"Hood Fume, 2000-231-02",231,Hood Room 231,OPERATING,,,,,,,,
,,2000-091-6023,6023.0,53776.0,"Hood Fume, 2000-234-01",234,Hood Room 234,OPERATING,,,,,,,,
,,2000-091-6024,6024.0,53777.0,"Hood Fume, 2000-234-02",234,Hood Room 234,OPERATING,,,,,,,,
,,2000-091-6025,6025.0,53778.0,"Hood Fume, 2000-238",238,Hood Room 238,OPERATING,,,,,,,,
,,2000-091-6026,6026.0,53779.0,"Hood,Fume, 2000-300",300,300,OPERATING,,,,,,,,
,,2000-091-6028,6028.0,53781.0,"Hood,Fume, 2000-324",324,Hood Room 324,OPERATING,,,,,,,,
,,2000-091-6029,6029.0,53782.0,"Hood Fume, 2000-327-01",327,Hood Room 327,OPERATING,,,,,,,,
,,2000-091-6030,6030.0,53783.0,"Hood Fume, 2000-327-02",327,Hood Room 327,OPERATING,,,,,,,,
,,2000-091-6031,6031.0,53784.0,"Hood Fume, 2000-331-01",331,Hood Room 331,OPERATING,,,,,,,,
,,2000-091-6032,6032.0,53785.0,"Hood Fume, 2000-331-02",331,Hood Room 331,OPERATING,,,,,,,,
,,2000-091-6033,6033.0,53786.0,"Hood Fume, 2000-331-03",331,Hood Room 331,OPERATING,,,,,,,,
,,2000-091-6034,6034.0,53787.0,"Hood Fume, 2000-SVC",SVC,Hood Room SVC,OPERATING,,,,,,,,
,,2000-091-6035,6035.0,119674.0,"Hood,Fume, 2000-208",208,Hood Room 208,OPERATING,,,,,,,,
,,2000-091-6036,6036.0,119787.0,"Hood,Fume, 2000-328-01",328,Hood Room 328,OPERATING,,,,,,,,
,,2000-091-6037,6037.0,119788.0,"Hood,Fume, 2000-328-02",328,Hood Room 328,OPERATING,,,,,,,,
,,2000-091-6038,6038.0,125471.0,"Hood,Fume, 2000-330",330,330,OPERATING,,,,,,,,
