oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Emerson Hall,1028E,1028E-091-6001,6001.0,52652.0,"Hood Fume, 1028E-142",Room 142,Hood Room 142,OPERATING,,,,,,,,
,,1028E-091-6002,6002.0,52653.0,"Hood Fume, 1028E-144",Room 144,Hood Room 144,OPERATING,,,,,,,,
,,1028E-091-6003,6003.0,52654.0,"Hood Fume, 1028E-146",Room 146,Hood Room 146,OPERATING,,,,,,,,
,,1028E-091-6004,6004.0,52655.0,"Hood Fume, 1028E-146B",Room 146B,Hood Room 146B,OPERATING,,,,,,,,
,,1028E-091-6005,6005.0,52656.0,"Hood Fume, 1028E-245",Room 245,Hood Room 245,OPERATING,,,,,,,,
,,1028E-091-6006,6006.0,52657.0,"Hood Fume, 1028E-263-01",Room 263,Hood Room 263,OPERATING,,,,,,,,
,,1028E-091-6007,6007.0,52658.0,"Hood Fume, 1028E-263-02",Room 263,Hood Room 263,OPERATING,,,,,,,,
,,1028E-091-6008,6008.0,52659.0,"Hood,Fume, 1028E-334-1",Room 334,Hood Room 334,OPERATING,,,,,,,,
,,1028E-091-6009,6009.0,52660.0,"Hood Fume, 1028E-336-01",Room 336,Hood Room 336,OPERATING,,,,,,,,
,,1028E-091-6010,6010.0,52661.0,"Hood Fume, 1028E-336-02",Room 336,Hood Room 336,OPERATING,,,,,,,,
,,1028E-091-6011,6011.0,52662.0,"Hood Fume, 1028E-341",Room 341,Hood Room 341,OPERATING,,,,,,,,
,,1028E-091-6012,6012.0,52663.0,"Hood Fume, 1028E-347",Room 347,Hood Room 347,OPERATING,,,,,,,,
,,1028E-091-6013,6013.0,52664.0,"Hood Fume, 1028E-G34-01",Room G34,Hood Room G34,OPERATING,,,,,,,,
,,1028E-091-6014,6014.0,52665.0,"Hood Fume, 1028E-G34-02",Room G34,Hood Room G34,OPERATING,,,,,,,,
,,1028E-091-6015,6015.0,52666.0,"Hood,Fume, 1028E-G35",Room G35,Hood Room G35,HIBERNATION,,,,,,,,
,,1028E-091-6016,6016.0,52667.0,"Hood Fume, 1028E-G47",Room G47,Hood Room G47,OPERATING,,,,,,,,
,,1028E-091-6017,6017.0,52668.0,"Hood Fume, 1028E-G50A",Room G50A,Hood Room G50A,OPERATING,,,,,,,,
,,1028E-091-6018,6018.0,52669.0,"Hood Fume, 1028E-G51",Room G51,Hood Room G51,OPERATING,,,,,,,,
,,1028E-091-6020,6020.0,119701.0,"Hood,Fume, 1028E-334-2",Room 334,Hood Room 334,OPERATING,,,,,,,,
,,1028E-091-6021,6021.0,119702.0,"Hood,Fume, 1028E-G40",Room G40,Hood Room G40,OPERATING,,,,,,,,
