oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Gnva Barton Laboratory,4935A,4935A-091-6001,6001.0,53987.0,"Hood Fume, 4935A-012",Room 012,Hood Room 012,OPERATING,,,,,,,,
,,4935A-091-6002,6002.0,53988.0,"Hood Fume, 4935A-020",Room 020,Hood Room 020,OPERATING,,,,,,,,
,,4935A-091-6003,6003.0,53989.0,"Hood Fume, 4935A-035",Room 035,Hood Room 035,OPERATING,,,,,,,,
,,4935A-091-6004,6004.0,53990.0,"Hood Fume, 4935A-043",Room 043,Hood Room 043,OPERATING,,,,,,,,
,,4935A-091-6005,6005.0,53991.0,"Hood Fume, 4935A-111",Room 111,Hood Room 111,OPERATING,,,,,,,,
,,4935A-091-6006,6006.0,53992.0,"Hood Fume, 4935A-117",Room 117,Hood Room 117,OPERATING,,,,,,,,
,,4935A-091-6007,6007.0,53993.0,"Hood Fume, 4935A-206",Room 206,Hood Room 206,OPERATING,,,,,,,,
,,4935A-091-6008,6008.0,53994.0,"Hood Fume, 4935A-207",Room 207,Hood Room 207,OPERATING,,,,,,,,
,,4935A-091-6009,6009.0,53995.0,"Hood Fume, 4935A-210",Room 210,Hood Room 210,OPERATING,,,,,,,,
,,4935A-091-6010,6010.0,53996.0,"Hood Fume, 4935A-215",Room 215,Hood Room 215,OPERATING,,,,,,,,
,,4935A-091-6011,6011.0,53997.0,"Hood Fume, 4935A-216",Room 216,Hood Room 216,OPERATING,,,,,,,,
,,4935A-091-6012,6012.0,53998.0,"Hood Fume, 4935A-218",Room 218,Hood Room 218,OPERATING,,,,,,,,
,,4935A-091-6013,6013.0,53999.0,"Hood Fume, 4935A-309",Room 309,Hood Room 309,OPERATING,,,,,,,,
,,4935A-091-6014,6014.0,54000.0,"Hood Fume, 4935A-319",Room 319,Hood Room 319,OPERATING,,,,,,,,
,,4935A-091-6015,6015.0,54001.0,"Hood Fume, 4935A-321",Room 321,Hood Room 321,OPERATING,,,,,,,,
,,4935A-091-6016,6016.0,54002.0,"Hood Fume, 4935A-322",Room 322,Hood Room 322,OPERATING,,,,,,,,
,,4935A-091-6017,6017.0,54003.0,"Hood Fume, 4935A-409",Room 409,Hood Room 409,OPERATING,,,,,,,,
,,4935A-091-6018,6018.0,54004.0,"Hood Fume, 4935A-411",Room 411,Hood Room 411,OPERATING,,,,,,,,
,,4935A-091-6019,6019.0,54005.0,"Hood Fume, 4935A-421",Room 421,Hood Room 421,OPERATING,,,,,,,,
,,4935A-091-6020,6020.0,54006.0,"Hood Fume, 4935A-510",Room 510,Hood Room 510,OPERATING,,,,,,,,
,,4935A-091-6021,6021.0,54007.0,"Hood Fume, 4935A-520",Room 520,Hood Room 520,OPERATING,,,,,,,,
,,4935A-091-6022,6022.0,54008.0,"Hood Fume, 4935A-611-C",Room 611,Hood Room 611,OPERATING,,,,,,,,
,,4935A-091-6023,6023.0,54009.0,"Hood Fume, 4935A-611-N",Room 611,Hood Room 611,OPERATING,,,,,,,,
,,4935A-091-6024,6024.0,54010.0,"Hood Fume, 4935A-611-S",Room 611,Hood Room 611,OPERATING,,,,,,,,
,,4935A-091-6025,6025.0,54011.0,"Hood Fume, 4935A-613",3,Hood Room 613,OPERATING,,,,,,,,
,,4935A-091-6026,6026.0,54012.0,"Hood Fume, 4935A-622-S",Room 622,Hood Room 622,OPERATING,,,,,,,,
,,4935A-091-6027,6027.0,54013.0,"Hood Fume, 4935A-622-W",Room 622,Hood Room 622,OPERATING,,,,,,,,
,,4935A-091-6028,6028.0,54014.0,"Hood Fume, 4935A-626",Room 626,Hood Room 626,OPERATING,,,,,,,,
