oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Gnva Food Research Laboratory,4934,4934-091-6001,6001.0,53956.0,"Hood Fume, 4934-103",Room 103,Hood Room 103,OPERATING,,,,,,,,
,,4934-091-6002,6002.0,53957.0,"Hood Fume, 4934-104",Room 104,Hood Room 104,OPERATING,,,,,,,,
,,4934-091-6003,6003.0,53958.0,"Hood Fume, 4934-109",Room 109,Hood Room 109,OPERATING,,,,,,,,
,,4934-091-6004,6004.0,53959.0,"Hood Fume, 4934-110",Room 110,Hood Room 110,OPERATING,,,,,,,,
,,4934-091-6005,6005.0,53960.0,"Hood Fume, 4934-115",Room 115,Hood Room 115,OPERATING,,,,,,,,
,,4934-091-6006,6006.0,53961.0,"Hood Fume, 4934-116",Room 116,Hood Room 116,OPERATING,,,,,,,,
,,4934-091-6007,6007.0,53962.0,"Hood Fume, 4934-121",Room 121,Hood Room 121,OPERATING,,,,,,,,
,,4934-091-6008,6008.0,53963.0,"Hood Fume, 4934-128",Room 128,Hood Room 128,OPERATING,,,,,,,,
,,4934-091-6009,6009.0,53964.0,"Hood Fume, 4934-129",Room 129,Hood Room 129,OPERATING,,,,,,,,
,,4934-091-6010,6010.0,53965.0,"Hood Fume, 4934-134",Room 134,Hood Room 134,OPERATING,,,,,,,,
,,4934-091-6011,6011.0,53966.0,"Hood Fume, 4934-135-E",Room 135,Hood Room 135,OPERATING,,,,,,,,
,,4934-091-6012,6012.0,53967.0,"Hood Fume, 4934-135-W",Room 135,Hood Room 135,OPERATING,,,,,,,,
,,4934-091-6013,6013.0,53968.0,"Hood Fume, 4934-147",Room 147,Hood Room 147,OPERATING,,,,,,,,
,,4934-091-6014,6014.0,53969.0,"Hood Fume, 4934-158",Room 158,Hood Room 158,OPERATING,,,,,,,,
,,4934-091-6015,6015.0,53970.0,"Hood Fume, 4934-203",Room 203,Hood Room 203,OPERATING,,,,,,,,
,,4934-091-6016,6016.0,53971.0,"Hood Fume, 4934-204",Room 204,Hood Room 204,OPERATING,,,,,,,,
,,4934-091-6017,6017.0,53972.0,"Hood Fume, 4934-205",Room 205,Hood Room 205,OPERATING,,,,,,,,
,,4934-091-6018,6018.0,53973.0,"Hood Fume, 4934-209-NE",Room 209,Hood Room 209,OPERATING,,,,,,,,
,,4934-091-6019,6019.0,53974.0,"Hood Fume, 4934-209-NW",Room 209,Hood Room 209,OPERATING,,,,,,,,
,,4934-091-6020,6020.0,53975.0,"Hood Fume, 4934-209-SE",Room 209,Hood Room 209,OPERATING,,,,,,,,
,,4934-091-6021,6021.0,53976.0,"Hood Fume, 4934-210",Room 210,Hood Room 210,OPERATING,,,,,,,,
,,4934-091-6022,6022.0,53977.0,"Hood Fume, 4934-213",Room 213,Hood Room 213,OPERATING,,,,,,,,
,,4934-091-6023,6023.0,53978.0,"Hood Fume, 4934-216",6,Hood Room 216,OPERATING,,,,,,,,
,,4934-091-6024,6024.0,53979.0,"Hood Fume, 4934-223",Room 223,Hood Room 223,OPERATING,,,,,,,,
,,4934-091-6025,6025.0,53980.0,"Hood Fume, 4934-229",Room 229,Hood Room 229,OPERATING,,,,,,,,
,,4934-091-6026,6026.0,53981.0,"Hood Fume, 4934-230",Room 230,Hood Room 230,OPERATING,,,,,,,,
,,4934-091-6027,6027.0,53982.0,"Hood Fume, 4934-232",Room 232,Hood Room 232,OPERATING,,,,,,,,
,,4934-091-6028,6028.0,53983.0,"Hood Fume, 4934-235",Room 235,Hood Room 235,OPERATING,,,,,,,,
,,4934-091-6029,6029.0,53984.0,"Hood Fume, 4934-238",Room 238,Hood Room 238,OPERATING,,,,,,,,
,,4934-091-6030,6030.0,53985.0,"Hood Fume, 4934-249",Room 249,Hood Room 249,OPERATING,,,,,,,,
,,4934-091-6031,6031.0,53986.0,"Hood Fume, 4934-G25",Room G25,Hood Room G25,OPERATING,,,,,,,,
