oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Human Ecology Building,1011,1011-091-6000,6000.0,97128.0,"Hood,Fume, 1011-107-1",107,107,OPERATING,,,,,,,,
,,1011-091-6001,6001.0,97129.0,"Hood,Fume, 1011-113-1",113,113,OPERATING,,,,,,,,
,,1011-091-6002,6002.0,97130.0,"Hood,Fume, 1011-113-2",113,113,OPERATING,,,,,,,,
,,1011-091-6003,6003.0,97131.0,"Hood,Fume, 1011-113-3",113,113,OPERATING,,,,,,,,
,,1011-091-6004,6004.0,97132.0,"Hood,Fume, 1011-113-4",113,113,OPERATING,,,,,,,,
,,1011-091-6005,6005.0,97133.0,"Hood,Fume, 1011-113-5",113,113,OPERATING,,,,,,,,
,,1011-091-6006,6006.0,97134.0,"Hood,Fume, 1011-113-6",113,113,OPERATING,,,,,,,,
,,1011-091-6007,6007.0,97135.0,"Hood,Fume, 1011-119-1",119,119,OPERATING,,,,,,,,
,,1011-091-6008,6008.0,97136.0,"Hood,Fume, 1011-141-1",141,141,OPERATING,,,,,,,,
,,1011-091-6009,6009.0,97137.0,"Hood,Fume, 1011-141-2",141,141,OPERATING,,,,,,,,
,,1011-091-6010,6010.0,97138.0,"Hood,Fume, 1011-146-1",146,146,OPERATING,,,,,,,,
,,1011-091-6011,6011.0,97139.0,"Hood,Fume, 1011-151-1",151,151,OPERATING,,,,,,,,
,,1011-091-6012,6012.0,97140.0,"Hood,Fume, 1011-151-2",151,151,OPERATING,,,,,,,,
,,1011-091-6013,6013.0,97141.0,"Hood,Fume, 1011-151-3",151,151,OPERATING,,,,,,,,
,,1011-091-6014,6014.0,97142.0,"Hood,Fume, 1011-155-1, Chemical",155,155,OPERATING,,,,,,,,
,,1011-091-6015,6015.0,97143.0,"Hood,Fume, 1011-155-2, Chemical",155,155,OPERATING,,,,,,,,
,,1011-091-6016,6016.0,97144.0,"Hood,Fume, 1011-155-3, Chemical",155,155,OPERATING,,,,,,,,
,,1011-091-6017,6017.0,97145.0,"Hood,Fume, 1011-207-1",207,207,OPERATING,,,,,,,,
,,1011-091-6018,6018.0,97146.0,"Hood,Fume, 1011-207-2",207,207,OPERATING,,,,,,,,
,,1011-091-6019,6019.0,97147.0,"Hood,Fume, 1011-207-3",207,207,OPERATING,,,,,,,,
,,1011-091-6020,6020.0,97148.0,"Hood,Fume, 1011-213-1",213,213,OPERATING,,,,,,,,
,,1011-091-6021,6021.0,97149.0,"Hood,Fume, 1011-213-2",213,213,OPERATING,,,,,,,,
,,1011-091-6022,6022.0,97150.0,"Hood,Fume, 1011-213-3",213,213,OPERATING,,,,,,,,
,,1011-091-6023,6023.0,97151.0,"Hood,Fume, 1011-218-1",218,218,OPERATING,,,,,,,,
,,1011-091-6024,6024.0,97152.0,"Hood,Fume, 1011-218-2",218,218,OPERATING,,,,,,,,
,,1011-091-6025,6025.0,97153.0,"Hood,Fume, 1011-219-1",219,219,HIBERNATION,,,,,,,,
,,1011-091-6026,6026.0,97154.0,"Hood,Fume, 1011-219-2",219,219,HIBERNATION,,,,,,,,
,,1011-091-6027,6027.0,97155.0,"Hood,Fume, 1011-219-3",219,219,HIBERNATION,,,,,,,,
,,1011-091-6028,6028.0,97156.0,"Hood,Fume, 1011-221-1",221,221,OPERATING,,,,,,,,
,,1011-091-6029,6029.0,97157.0,"Hood,Fume, 1011-221-2",221,221,OPERATING,,,,,,,,
,,1011-091-6030,6030.0,97158.0,"Hood,Fume, 1011-221-3",221,221,OPERATING,,,,,,,,
,,1011-091-6031,6031.0,97159.0,"Hood,Fume, 1011-245-1",245,245,HIBERNATION,,,,,,,,
,,1011-091-6032,6032.0,97160.0,"Hood,Fume, 1011-251-1",251,251,OPERATING,,,,,,,,
,,1011-091-6033,6033.0,97161.0,"Hood,Fume, 1011-256-1",256,256,OPERATING,,,,,,,,
,,1011-091-6034,6034.0,97162.0,"Hood,Fume, 1011-259-1",259,259,OPERATING,,,,,,,,
,,1011-091-6035,6035.0,97163.0,"Hood,Fume, 1011-259-2",259,259,OPERATING,,,,,,,,
,,1011-091-6036,6036.0,97164.0,"Hood,Fume, 1011-259-3",259,259,OPERATING,,,,,,,,
