oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Kimball Hall,2037K,2037K-091-6001,6001.0,52734.0,"Hood Fume, 2037K-174A-1",Room 174A,Hood Room 174A,OPERATING,,,,,,,,
,,2037K-091-6003,6003.0,119768.0,"Hood,Fume, 2037K-290K 80 FPM",Room 290K,Hood Room 290K,OPERATING,,,,,,,,
,,2037K-091-6004,6004.0,119769.0,"Hood,Fume, 2037K-290J-1 80 FPM",Room 290J,Hood Room 290J,OPERATING,,,,,,,,
,,2037K-091-6005,6005.0,52736.0,"Hood Fume, 2037K-177-E",Room 177,Hood Room 177,OPERATING,,,,,,,,
,,2037K-091-6006,6006.0,52737.0,"Hood Fume, 2037K-177-W",Room 177,Hood Room 177,OPERATING,,,,,,,,
,,2037K-091-6008,6008.0,119770.0,"Hood,Fume, 2037K-290F-1, 80 FPM",Room 290F,Hood Room 290F,OPERATING,,,,,,,,
,,2037K-091-6009,6009.0,119771.0,"Hood,Fume, 2037K-290F-2, 80 FPM",Room 290F,Hood Room 290F,OPERATING,,,,,,,,
,,2037K-091-6010,6010.0,119772.0,"Hood,Fume, 2037K-390K-1, 80 FPM",Room 390K,Hood Room 390K,OPERATING,,,,,,,,
,,2037K-091-6011,6011.0,119773.0,"Hood,Fume, 2037K-390K-2, 80 FPM",Room 390K,Hood Room 390K,OPERATING,,,,,,,,
,,2037K-091-6012,6012.0,119774.0,"Hood,Fume, 2037K-390F-1, 80 FPM",Room 390F,Hood Room 390F,OPERATING,,,,,,,,
,,2037K-091-6013,6013.0,119775.0,"Hood,Fume, 2037K-390F-2, 80 FPM",Room 390F,Hood Room 390F,OPERATING,,,,,,,,
,,2037K-091-6014,6014.0,121385.0,"Hood,Fume, 2037K-290J-2 80 FPM",Room 290J,Hood Room 290J,OPERATING,,,,,,,,
,,2037K-091-6015,6015.0,121386.0,"Hood,Fume, 2037K-290G-1 80 FPM",Room 290G,Hood Room 290G,OPERATING,,,,,,,,
,,2037K-091-6016,6016.0,121387.0,"Hood,Fume, 2037K-290G-2 80 FPM",Room 290G,Hood Room 290G,OPERATING,,,,,,,,
