oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Kinzelberg Hall,2032A,2032A-091-6001,6001.0,53843.0,"Hood Fume, 2032A-134",Room 134,Hood Room 134,OPERATING,,,,,,,,
,,2032A-091-6002,6002.0,53844.0,"Hood Fume, 2032A-135",Room 135,Hood Room 135,OPERATING,,,,,,,,
,,2032A-091-6004,6004.0,53845.0,"Hood Fume, 2032A-138-E",Room 138,Hood Room 138,OPERATING,,,,,,,,
,,2032A-091-6005,6005.0,53846.0,"Hood Fume, 2032A-138-W",Room 138,Hood Room 138,OPERATING,,,,,,,,
,,2032A-091-6006,6006.0,53847.0,"Hood Fume, 2032A-139-E",Room 139,Hood Room 139,OPERATING,,,,,,,,
,,2032A-091-6007,6007.0,53849.0,"Hood Fume, 2032A-139-W",Room 139,Hood Room 139,OPERATING,,,,,,,,
,,2032A-091-6008,6008.0,53850.0,"Hood Fume, 2032A-140",Room 140,Hood Room 140,OPERATING,,,,,,,,
,,2032A-091-6009,6009.0,53851.0,"Hood Fume, 2032A-141",Room 141,Hood Room 141,OPERATING,,,,,,,,
,,2032A-091-6010,6010.0,53853.0,"Hood Fume, 2032A-144",Room 144,Hood Room 144,OPERATING,,,,,,,,
,,2032A-091-6011,6011.0,53854.0,"Hood Fume, 2032A-145",Room 145,Hood Room 145,OPERATING,,,,,,,,
,,2032A-091-6012,6012.0,53855.0,"Hood Fume, 2032A-234",Room 234,Hood Room 234,OPERATING,,,,,,,,
,,2032A-091-6013,6013.0,53856.0,"Hood Fume, 2032A-235-E",Room 235,Hood Room 235,HIBERNATION,,,,,,,,
,,2032A-091-6014,6014.0,53857.0,"Hood Fume, 2032A-235-W",Room 235,Hood Room 235,OPERATING,,,,,,,,
,,2032A-091-6015,6015.0,53858.0,"Hood Fume, 2032A-238-E",Room 238,Hood Room 238,OPERATING,,,,,,,,
,,2032A-091-6016,6016.0,53860.0,"Hood Fume, 2032A-238-W",Room 238,Hood Room 238,OPERATING,,,,,,,,
,,2032A-091-6017,6017.0,53861.0,"Hood Fume, 2032A-239-E",Room 239,Hood Room 239,HIBERNATION,,,,,,,,
,,2032A-091-6018,6018.0,53862.0,"Hood Fume, 2032A-239-W",Room 239,Hood Room 239,HIBERNATION,,,,,,,,
,,2032A-091-6020,6020.0,53864.0,"Hood,Fume, 2032A-240",Room 240,Hood Room 240,HIBERNATION,,,,,,,,
,,2032A-091-6021,6021.0,53865.0,"Hood Fume, 2032A-241",Room 241,Hood Room 241,OPERATING,,,,,,,,
,,2032A-091-6023,6023.0,53867.0,"Hood Fume, 2032A-245-E",Room 245,Hood Room 245,OPERATING,,,,,,,,
,,2032A-091-6024,6024.0,53868.0,"Hood Fume, 2032A-245-W",Room 245,Hood Room 245,OPERATING,,,,,,,,
,,2032A-091-6025,6025.0,53869.0,"Hood Fume, 2032A-334",Room 334,Hood Room 334,OPERATING,,,,,,,,
,,2032A-091-6026,6026.0,53870.0,"Hood Fume, 2032A-335",Room 335,Hood Room 335,OPERATING,,,,,,,,
,,2032A-091-6027,6027.0,53871.0,"Hood Fume, 2032A-338-E",Room 338,Hood Room 338,HIBERNATION,,,,,,,,
,,2032A-091-6028,6028.0,53872.0,"Hood Fume, 2032A-338-W",Room 338,Hood Room 338,OPERATING,,,,,,,,
,,2032A-091-6029,6029.0,53873.0,"Hood Fume, 2032A-339-E",Room 339,Hood Room 339,OPERATING,,,,,,,,
,,2032A-091-6030,6030.0,53874.0,"Hood Fume, 2032A-339-W",Room 339,Hood Room 339,OPERATING,,,,,,,,
,,2032A-091-6031,6031.0,53875.0,"Hood Fume, 2032A-340-E",Room 340,Hood Room 340,HIBERNATION,,,,,,,,
,,2032A-091-6032,6032.0,53876.0,"Hood Fume, 2032A-340-W",Room 340,Hood Room 340,OPERATING,,,,,,,,
,,2032A-091-6033,6033.0,53877.0,"Hood Fume, 2032A-341-E",Room 341,Hood Room 341,OPERATING,,,,,,,,
,,2032A-091-6034,6034.0,53878.0,"Hood Fume, 2032A-341-W",Room 341,Hood Room 341,HIBERNATION,,,,,,,,
,,2032A-091-6035,6035.0,53879.0,"Hood Fume, 2032A-344",Room 344,Hood Room 344,OPERATING,,,,,,,,
,,2032A-091-6036,6036.0,53880.0,"Hood Fume, 2032A-345",Room 345,Hood Room 345,HIBERNATION,,,,,,,,
