oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Morrison Hall,1064,1064-091-6001,6001.0,53256.0,"Hood,Fume, 1064-210",Room 210,HOOD ROOM 210,OPERATING,,,,,,,,
,,1064-091-6002,6002.0,53260.0,"Hood Fume, 1064-209",Room 209,Room 209,OPERATING,,,,,,,,
,,1064-091-6003,6003.0,53262.0,"Hood Fume, 1064-221",Room 221,Room 221,OPERATING,,,,,,,,
,,1064-091-6004,6004.0,53264.0,"Hood Fume, 1064-230",Room 230,Room 230,OPERATING,,,,,,,,
,,1064-091-6005,6005.0,53265.0,"Hood Fume, 1064-244",ROOM 244,HOOD ROOM 244,OPERATING,,,,,,,,
,,1064-091-6006,6006.0,53267.0,"Hood Fume, 1064-246-01",ROOM 246,HOOD ROOM 246,OPERATING,,,,,,,,
,,1064-091-6007,6007.0,53269.0,"Hood Fume, 1064-246-02",ROOM 246,HOOD ROOM 246,OPERATING,,,,,,,,
,,1064-091-6008,6008.0,53271.0,"Hood,Fume, 1064-271-1",ROOM 271,HOOD ROOM 271,OPERATING,,,,,,,,
,,1064-091-6009,6009.0,53274.0,"Hood,Fume, 1064-271-2",ROOM 271,HOOD ROOM 271,OPERATING,,,,,,,,
,,1064-091-6010,6010.0,53275.0,"Hood Fume, 1064-280-01",ROOM 280,HOOD ROOM 280,HIBERNATION,,,,,,,,
,,1064-091-6011,6011.0,53278.0,"Hood Fume, 1064-280-02",ROOM 280,HOOD ROOM 280,OPERATING,,,,,,,,
,,1064-091-6012,6012.0,53279.0,"Hood,Fume, 1064-280-3",ROOM 280,HOOD ROOM 280,OPERATING,,,,,,,,
,,1064-091-6013,6013.0,53280.0,"Hood,Fume, 1062-280-4",ROOM 280,HOOD ROOM 280,OPERATING,,,,,,,,
,,1064-091-6014,6014.0,53281.0,"Hood,Fume, 1064-287-1",ROOM 287,HOOD ROOM 287,OPERATING,,,,,,,,
,,1064-091-6016,6016.0,53284.0,"Hood Fume, 1064-288-01",ROOM 288,HOOD ROOM 288,HIBERNATION,,,,,,,,
,,1064-091-6017,6017.0,53287.0,"Hood Fume, 1064-288-02",ROOM 288,HOOD ROOM 288,OPERATING,,,,,,,,
,,1064-091-6018,6018.0,53290.0,"Hood Fume, 1064-288-03",ROOM 288,HOOD ROOM 288,OPERATING,,,,,,,,
,,1064-091-6019,6019.0,53293.0,"Hood Fume, 1064-288-04",ROOM 288-04,HOOD ROOM 288,OPERATING,,,,,,,,
,,1064-091-6020,6020.0,53294.0,"Hood,Fume, 1064-289-1",ROOM 289,HOOD ROOM 289,OPERATING,,,,,,,,
,,1064-091-6021,6021.0,53295.0,"Hood,Fume, 1064-289-2",ROOM 289,HOOD ROOM 289,OPERATING,,,,,,,,
,,1064-091-6022,6022.0,53298.0,"Hood Fume, 1064-293",ROOM 293,HOOD ROOM 293,HIBERNATION,,,,,,,,
,,1064-091-6024,6024.0,53300.0,"Hood Fume, 1064-295-01",ROOM 295,HOOD ROOM 295,OPERATING,,,,,,,,
,,1064-091-6025,6025.0,53301.0,"Hood Fume, 1064-295-02",ROOM 295,HOOD ROOM 295,OPERATING,,,,,,,,
,,1064-091-6026,6026.0,53302.0,"Hood Fume, 1064-295-03",ROOM 295,HOOD ROOM 295,OPERATING,,,,,,,,
,,1064-091-6027,6027.0,53303.0,"Hood Fume, 1064-301",ROOM 301,HOOD ROOM 301,OPERATING,,,,,,,,
,,1064-091-6028,6028.0,53304.0,"Hood,Fume, 1064-303-1",ROOM 303,HOOD ROOM 303,OPERATING,,,,,,,,
,,1064-091-6029,6029.0,53310.0,"Hood,Fume, 1064-303-2",ROOM 303,HOOD ROOM 303,OPERATING,,,,,,,,
,,1064-091-6030,6030.0,53312.0,"Hood Fume, 1064-304",ROOM 304,HOOD ROOM 304,OPERATING,,,,,,,,
,,1064-091-6031,6031.0,53314.0,"Hood Fume, 1064-305",ROOM 305,HOOD ROOM 305,OPERATING,,,,,,,,
,,1064-091-6032,6032.0,53316.0,"Hood Fume, 1064-306-01",ROOM 306,HOOD ROOM 306,HIBERNATION,,,,,,,,
,,1064-091-6033,6035.0,53318.0,"Hood Fume, 1064-306-02",ROOM 306,HOOD ROOM 306,HIBERNATION,,,,,,,,
,,1064-091-6036,6036.0,53322.0,"Hood Fume, 1064-314-01",ROOM 314,HOOD ROOM 314,OPERATING,,,,,,,,
,,1064-091-6037,6037.0,53323.0,"Hood Fume, 1064-314-02",ROOM 314,HOOD ROOM 314,OPERATING,,,,,,,,
,,1064-091-6038,6038.0,53324.0,"Hood Fume, 1064-421",ROOM 421,HOOD ROOM 421,HIBERNATION,,,,,,,,
,,1064-091-6039,6039.0,53325.0,"Hood Fume, 1064-431",ROOM 431,HOOD ROOM 431,OPERATING,,,,,,,,
,,1064-091-6040,6040.0,53326.0,"Hood,Fume, 1064-433-1",ROOM 433,HOOD ROOM 433,OPERATING,,,,,,,,
,,1064-091-6041,6041.0,53327.0,"Hood,Fume, 1064-433-2",ROOM 433,HOOD ROOM 433,OPERATING,,,,,,,,
,,1064-091-6043,6043.0,53329.0,"Hood,Fume, 1064-437",437,437,OPERATING,,,,,,,,
,,1064-091-6044,6044.0,53330.0,"Hood,Fume, 1604-443A-2",ROOM 443A,HOOD ROOM 443A,HIBERNATION,,,,,,,,
,,1064-091-6045,6045.0,53331.0,"Hood,Fume, 1064-443A-1",Room 443A,HOOD ROOM 443A,OPERATING,,,,,,,,
,,1064-091-6046,6046.0,53332.0,"Hood,Fume, 1064-443A-3",ROOM 443A,HOOD ROOM 443A,OPERATING,,,,,,,,
,,1064-091-6047,6047.0,53333.0,"Hood,Fume, 1064-443B",ROOM 443B,HOOD ROOM 443B,OPERATING,,,,,,,,
,,1064-091-6049,6049.0,53334.0,"Hood Fume, 1064-B65",ROOM B65,HOOD ROOM B65,HIBERNATION,,,,,,,,
,,1064-091-6050,6050.0,98841.0,"Hood,Fume, 1064-B61A-01",Lab B61A,Lab B61A,HIBERNATION,,,,,,,,
,,1064-091-6051,6051.0,98842.0,"Hood,Fume, 1064-B61A-02",Lab B61A,Lab B61A,OPERATING,,,,,,,,
,,1064-091-6052,6052.0,98843.0,"Hood,Fume, 1064-B68A-01",Lab B68A,Lab B68A,OPERATING,,,,,,,,
,,1064-091-6053,6053.0,98844.0,"Hood,Fume, 1064-B68A-02",Lab B68A,Lab B68A,OPERATING,,,,,,,,
,,1064-091-6054,6054.0,102425.0,"Hood,Fume, 1064-402",Room 402,Hood Room 402,HIBERNATION,,,,,,,,
,,1064-091-6055,6055.0,102426.0,"Hood,Fume, 1064-409",Room 409,Hood Room 409,OPERATING,,,,,,,,
