oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
NYS Veterinary Diagnostic Lab,1166,1166-091-6000,6000.0,86972.0,"Hood,Fume, 1166-A3248",A3248,A3248,OPERATING,,,,,,,,
,,1166-091-6001,6001.0,86973.0,"Hood,Fume, 1166-A3111A",A3111A,A3111A,OPERATING,,,,,,,,
,,1166-091-6002,6002.0,86974.0,"Hood,Fume, 1166-A2237B",A2237B,A2237B,OPERATING,,,,,,,,
,,1166-091-6003,6003.0,86975.0,"Hood,Fume, 1166-A2237-04",A2237,A2237,OPERATING,,,,,,,,
,,1166-091-6004,6004.0,86976.0,"Hood,Fume, 1166-A2337-03",A2337,A2337,OPERATING,,,,,,,,
,,1166-091-6005,6005.0,86977.0,"Hood,Fume, 1166-A2337-02",A2337,A2337,OPERATING,,,,,,,,
,,1166-091-6006,6006.0,86978.0,"Hood,Fume, 1166-A2337-01",A2337,A2337,OPERATING,,,,,,,,
,,1166-091-6007,6007.0,86979.0,"Hood,Fume, 1166-A2111D",A2111D,A2111D,OPERATING,,,,,,,,
,,1166-091-6008,6008.0,86980.0,"Hood,Fume, 1166-A1133",A1133,A1133,OPERATING,,,,,,,,
,,1166-091-6009,6009.0,86981.0,"Hood,Fume, 1166-A1111-03",A1111-03,A1111,OPERATING,,,,,,,,
,,1166-091-6010,6010.0,86982.0,"Hood,Fume, 1166-A1111-02",A1111-02,A1111,OPERATING,,,,,,,,
,,1166-091-6011,6011.0,86983.0,"Hood,Fume, 1166-A1111-01",A1111-01,A1111,OPERATING,,,,,,,,
,,1166-091-6012,6012.0,86984.0,"Hood,Fume, 1166-A1109",A1109,A1109,OPERATING,,,,,,,,
