oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Olin Hall,2024,2024-091-6001,6001.0,54042.0,"Hood Fume, 2024-101",101,101 Hood Room,OPERATING,,,,,,,,
,,2024-091-6002,6002.0,54043.0,"Hood Fume, 2024-102",102,102 Hood Room,OPERATING,,,,,,,,
,,2024-091-6003,6003.0,54044.0,"Hood Fume, 2024-103",103,103 Hood Room,OPERATING,,,,,,,,
,,2024-091-6004,6004.0,54045.0,"Hood Fume, 2024-104",104,104 Hood Room,OPERATING,,,,,,,,
,,2024-091-6005,6005.0,54046.0,"Hood Fume, 2024-105",105,105 Hood Room,OPERATING,,,,,,,,
,,2024-091-6006,6006.0,54047.0,"Hood Fume, 2024-106",106,106 Hood Room,HIBERNATION,,,,,,,,
,,2024-091-6007,6007.0,54048.0,"Hood,Fume, 2024-107-A",107,107 Hood Room,OPERATING,,,,,,,,
,,2024-091-6008,6008.0,54049.0,"Hood Fume, 2024-108",108,108 Hood Room,OPERATING,,,,,,,,
,,2024-091-6009,6009.0,54050.0,"Hood Fume, 2024-110",110,110 Hood Room,OPERATING,,,,,,,,
,,2024-091-6010,6010.0,54051.0,"Hood Fume, 2024-111",111,111 Hood Room,OPERATING,,,,,,,,
,,2024-091-6011,6011.0,54052.0,"Hood,Fume, 2024-202",202,202 Hood Room,OPERATING,,,,,,,,
,,2024-091-6014,6014.0,54055.0,"Hood,Fume, 2024-203",203,203 Hood Room,OPERATING,,,,,,,,
,,2024-091-6015,6015.0,54056.0,"Hood,Fume, 2024-204",204,204 Hood Room,OPERATING,,,,,,,,
,,2024-091-6016,6016.0,54057.0,"Hood,Fume, 2024-205",205,205 Hood Room,OPERATING,,,,,,,,
,,2024-091-6019,6019.0,54060.0,"Hood Fume, 2024-207",207,207 Hood Room,OPERATING,,,,,,,,
,,2024-091-6021,6021.0,54062.0,"Hood Fume, 2024-209",209,209 Hood Room,OPERATING,,,,,,,,
,,2024-091-6022,6022.0,54063.0,"Hood Fume, 2024-210",210,210 Hood Room,OPERATING,,,,,,,,
,,2024-091-6023,6023.0,54064.0,"Hood Fume, 2024-211",211,211 Hood Room,OPERATING,,,,,,,,
,,2024-091-6024,6024.0,54065.0,"Hood Fume, 2024-212",212,212 Hood Room,OPERATING,,,,,,,,
,,2024-091-6025,6025.0,54066.0,"Hood Fume, 2024-230",230,230 Hood Room,OPERATING,,,,,,,,
,,2024-091-6026,6026.0,54067.0,"Hood Fume, 2024-301",301,301 Hood Room,OPERATING,,,,,,,,
,,2024-091-6027,6027.0,54068.0,"Hood Fume, 2024-302",302,302 Hood Room,OPERATING,,,,,,,,
,,2024-091-6028,6028.0,54069.0,"Hood Fume, 2024-303",303,303 Hood Room,OPERATING,,,,,,,,
,,2024-091-6029,6029.0,54070.0,"Hood Fume, 2024-304",304,304 Hood Room,OPERATING,,,,,,,,
,,2024-091-6030,6030.0,54071.0,"Hood,Fume, 2024-305",305,305 Hood Room,OPERATING,,,,,,,,
,,2024-091-6031,6031.0,54072.0,"Hood Fume, 2024-305-L",305,305 Hood Room,OPERATING,,,,,,,,
,,2024-091-6032,6032.0,54073.0,"Hood Fume, 2024-306",306,306 Hood Room,OPERATING,,,,,,,,
,,2024-091-6033,6033.0,54074.0,"Hood Fume, 2024-307",307,307 Hood Room,OPERATING,,,,,,,,
,,2024-091-6034,6034.0,54075.0,"Hood Fume, 2024-308",308,308 Hood Room,OPERATING,,,,,,,,
,,2024-091-6035,6035.0,54076.0,"Hood Fume, 2024-309",309,309 Hood Room,OPERATING,,,,,,,,
,,2024-091-6036,6036.0,54077.0,"Hood Fume, 2024-310",310,310 Hood Room,OPERATING,,,,,,,,
,,2024-091-6037,6037.0,54078.0,"Hood Fume, 2024-311",311,311 Hood Room,OPERATING,,,,,,,,
,,2024-091-6038,6038.0,54079.0,"Hood Fume, 2024-344",344,344 Hood Room,OPERATING,,,,,,,,
,,2024-091-6039,6039.0,54080.0,"Hood,Fume, 2024-B01-1",B01,B01 Hood Room,OPERATING,,,,,,,,
,,2024-091-6040,6040.0,54081.0,"Hood Fume, 2024-B02",B02,B02 Hood Room,OPERATING,,,,,,,,
,,2024-091-6041,6041.0,54082.0,"Hood Fume, 2024-B05-E",B05,B05 Hood Room,OPERATING,,,,,,,,
,,2024-091-6042,6042.0,54083.0,"Hood Fume, 2024-B05-W",B05,B05,OPERATING,,,,,,,,
,,2024-091-6044,6044.0,55869.0,"Hood,Fume, 2024-B04-N",B04-N,B04-N,OPERATING,,,,,,,,
,,2024-091-6045,6045.0,55870.0,"Hood,Fume, 2024-B04-S",B04-N,B04,OPERATING,,,,,,,,
,,2024-091-6047,6047.0,102312.0,"Hood,Fume, 2024-B06",B06,B06,OPERATING,,,,,,,,
,,2024-091-6048,6048.0,110128.0,"Hood,Fume, 2024-107-B",107,107,OPERATING,,,,,,,,
,,2024-091-6049,6049.0,128958.0,"Hood,Fume, 2024-267-1",267,267,OPERATING,,,,,,,,
,,2024-091-6050,6050.0,128959.0,"Hood,Fume, 2024-267-2",267,267,OPERATING,,,,,,,,
,,2024-091-6051,6051.0,128960.0,"Hood,Fume, 2024-267-3",267,267,OPERATING,,,,,,,,
,,2024-091-6052,6052.0,128961.0,"Hood,Fume, 2024-267-4",267,267,OPERATING,,,,,,,,
,,2024-091-6053,6053.0,128962.0,"Hood,Fume, 2024-267-5",267,267,OPERATING,,,,,,,,
,,2024-091-6054,6054.0,128963.0,"Hood,Fume, 2024-267-6",267,267,OPERATING,,,,,,,,
,,2024-091-6055,6055.0,128964.0,"Hood,Fume, 2024-276D-1",276D,276D,OPERATING,,,,,,,,
,,2024-091-6056,6056.0,128965.0,"Hood,Fume, 2024-276D-2",276D,276D,OPERATING,,,,,,,,
,,2024-091-6057,6057.0,128966.0,"Hood,Fume, 2024-367-1",367,367,OPERATING,,,,,,,,
,,2024-091-6058,6058.0,128967.0,"Hood,Fume, 2024-367-2",367,367,OPERATING,,,,,,,,
,,2024-091-6059,6059.0,128968.0,"Hood,Fume, 2024-367-3",367,367,OPERATING,,,,,,,,
,,2024-091-6061,6061.0,128969.0,"Hood,Fume, 2024-367D-1",367D,367D,OPERATING,,,,,,,,
,,2024-091-6062,6062.0,128970.0,"Hood,Fume, 2024-367F-1",367F,367F,OPERATING,,,,,,,,
,,2024-091-6063,6063.0,119785.0,"Hood,Fume, 2024-B01-2",B01,B01,OPERATING,,,,,,,,
