oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Physical Sciences Building,2076,2076-091-6000,6000.0,86986.0,"Hood,Fume, 2076-111-01",111,111,OPERATING,,,,,,,,
,,2076-091-6001,6001.0,86987.0,"Hood,Fume, 2076-111-02",111,111,OPERATING,,,,,,,,
,,2076-091-6002,6002.0,86988.0,"Hood,Fume, 2076-111-03",111,111,OPERATING,,,,,,,,
,,2076-091-6003,6003.0,86989.0,"Hood,Fume, 2076-111-04",111,111,OPERATING,,,,,,,,
,,2076-091-6004,6004.0,86990.0,"Hood,Fume, 2076-111-05",111,111,OPERATING,,,,,,,,
,,2076-091-6005,6005.0,86991.0,"Hood,Fume, 2076-111-06",111,111,OPERATING,,,,,,,,
,,2076-091-6006,6006.0,86992.0,"Hood,Fume, 2076-111-07",111,111,OPERATING,,,,,,,,
,,2076-091-6007,6007.0,86993.0,"Hood,Fume, 2076-111-08",111,111,OPERATING,,,,,,,,
,,2076-091-6008,6008.0,86994.0,"Hood,Fume, 2076-111-09",111,111,OPERATING,,,,,,,,
,,2076-091-6009,6009.0,86995.0,"Hood,Fume, 2076-111-10",111,111,OPERATING,,,,,,,,
,,2076-091-6010,6010.0,86996.0,"Hood,Fume, 2076-111-11",111,111,OPERATING,,,,,,,,
,,2076-091-6011,6011.0,86997.0,"Hood,Fume, 2076-101-01",101,101,OPERATING,,,,,,,,
,,2076-091-6012,6012.0,86998.0,"Hood,Fume, 2076-101-02",101,101,OPERATING,,,,,,,,
,,2076-091-6013,6013.0,86999.0,"Hood,Fume, 2076-101-03",101,101,OPERATING,,,,,,,,
,,2076-091-6014,6014.0,87000.0,"Hood,Fume, 2076-101-04",101,101,OPERATING,,,,,,,,
,,2076-091-6015,6015.0,87001.0,"Hood,Fume, 2076-101-05",101,101,OPERATING,,,,,,,,
,,2076-091-6016,6016.0,87002.0,"Hood,Fume, 2076-101-06",101,101,OPERATING,,,,,,,,
,,2076-091-6017,6017.0,87003.0,"Hood,Fume, 2076-101-07",101,101,OPERATING,,,,,,,,
,,2076-091-6018,6018.0,87004.0,"Hood,Fume, 2076-101-08",101,101,OPERATING,,,,,,,,
,,2076-091-6019,6019.0,87005.0,"Hood,Fume, 2076-101-09",101,101,OPERATING,,,,,,,,
,,2076-091-6020,6020.0,87006.0,"Hood,Fume, 2076-101-10",101,101,OPERATING,,,,,,,,
,,2076-091-6021,6021.0,87007.0,"Hood,Fume, 2076-101-11",101,101,OPERATING,,,,,,,,
,,2076-091-6022,6022.0,87008.0,"Hood,Fume, 2076-105-01",105,105,OPERATING,,,,,,,,
,,2076-091-6023,6023.0,87009.0,"Hood,Fume, 2076-105-02",105,105,OPERATING,,,,,,,,
,,2076-091-6024,6024.0,87010.0,"Hood,Fume, 2076-105-03",105,105,OPERATING,,,,,,,,
,,2076-091-6025,6025.0,87011.0,"Hood,Fume, 2076-105-04",105,105,OPERATING,,,,,,,,
,,2076-091-6026,6026.0,87012.0,"Hood,Fume, 2076-105-05",105,105,OPERATING,,,,,,,,
,,2076-091-6027,6027.0,87013.0,"Hood,Fume, 2076-105-06",105,105,OPERATING,,,,,,,,
,,2076-091-6028,6028.0,87014.0,"Hood,Fume, 2076-105-07",105,105,OPERATING,,,,,,,,
,,2076-091-6029,6029.0,87015.0,"Hood,Fume, 2076-105-08",105,105,OPERATING,,,,,,,,
,,2076-091-6030,6030.0,87016.0,"Hood,Fume, 2076-105-09",105,105,OPERATING,,,,,,,,
,,2076-091-6031,6031.0,87017.0,"Hood,Fume, 2076-105-10",105,105,OPERATING,,,,,,,,
,,2076-091-6032,6032.0,87018.0,"Hood,Fume, 2076-105-11",105,105,OPERATING,,,,,,,,
,,2076-091-6033,6033.0,87019.0,"Hood,Fume, 2076-104, Chemical",104,104,OPERATING,,,,,,,,
,,2076-091-6034,6034.0,87020.0,"Hood,Fume, 2076-104A, Chemical",104A,104A,OPERATING,,,,,,,,
,,2076-091-6035,6035.0,87021.0,"Hood,Fume, 2076-104C, Chemical",104C,104C,OPERATING,,,,,,,,
,,2076-091-6036,6036.0,87022.0,"Hood,Fume, 2076-122",122,122,OPERATING,,,,,,,,
,,2076-091-6037,6037.0,87023.0,"Hood,Fume, 2076-125",125,125,OPERATING,,,,,,,,
,,2076-091-6038,6038.0,87024.0,"Hood,Fume, 2076-127",127,127,OPERATING,,,,,,,,
,,2076-091-6050,6050.0,87036.0,"Hood,Fume, 2076-115-01",115,115,OPERATING,,,,,,,,
,,2076-091-6051,6051.0,87037.0,"Hood,Fume, 2076-115-02",115,115,OPERATING,,,,,,,,
,,2076-091-6052,6052.0,87038.0,"Hood,Fume, 2076-115-03",115,115,OPERATING,,,,,,,,
,,2076-091-6053,6053.0,87039.0,"Hood,Fume, 2076-115-04",115,115,OPERATING,,,,,,,,
,,2076-091-6054,6054.0,87040.0,"Hood,Fume, 2076-115-05",115,115,OPERATING,,,,,,,,
,,2076-091-6055,6055.0,87041.0,"Hood,Fume, 2076-115-06",115,115,OPERATING,,,,,,,,
,,2076-091-6056,6056.0,87042.0,"Hood,Fume, 2076-115-07",115,115,OPERATING,,,,,,,,
,,2076-091-6057,6057.0,87043.0,"Hood,Fume, 2076-115-08",115,115,OPERATING,,,,,,,,
,,2076-091-6058,6058.0,87044.0,"Hood,Fume, 2076-115-09",115,115,OPERATING,,,,,,,,
,,2076-091-6059,6059.0,87045.0,"Hood,Fume, 2076-115-10",115,115,OPERATING,,,,,,,,
,,2076-091-6060,6060.0,87046.0,"Hood,Fume, 2076-115-11",115,115,OPERATING,,,,,,,,
,,2076-091-6061,6061.0,87047.0,"Hood,Fume, 2076-118-01",118,118,OPERATING,,,,,,,,
,,2076-091-6062,6062.0,87048.0,"Hood,Fume, 2076-118-02",118,118,OPERATING,,,,,,,,
,,2076-091-6063,6063.0,87049.0,"Hood,Fume, 2076-118-03",118,118,OPERATING,,,,,,,,
,,2076-091-6064,6064.0,87050.0,"Hood,Fume, 2076-118-04",118,118,OPERATING,,,,,,,,
,,2076-091-6065,6065.0,87051.0,"Hood,Fume, 2076-118-05",118,118,OPERATING,,,,,,,,
,,2076-091-6066,6066.0,87052.0,"Hood,Fume, 2076-118-06",118,118,OPERATING,,,,,,,,
,,2076-091-6067,6067.0,87053.0,"Hood,Fume, 2076-118-07",118,118,OPERATING,,,,,,,,
,,2076-091-6068,6068.0,87054.0,"Hood,Fume, 2076-118-08",118,118,OPERATING,,,,,,,,
,,2076-091-6069,6069.0,87055.0,"Hood,Fume, 2076-118-09",118,118,OPERATING,,,,,,,,
,,2076-091-6070,6070.0,87056.0,"Hood,Fume, 2076-118-10",118,118,OPERATING,,,,,,,,
,,2076-091-6071,6071.0,87057.0,"Hood,Fume, 2076-118-11",118,118,OPERATING,,,,,,,,
,,2076-091-6072,6072.0,87058.0,"Hood,Fume, 2076-G02",G02,G02,OPERATING,,,,,,,,
,,2076-091-6073,6073.0,87059.0,"Hood,Fume, 2076-G10",G10,G10,HIBERNATION,,,,,,,,
,,2076-091-6074,6074.0,87060.0,"Hood,Fume, 2076-G14",G14,G14,OPERATING,,,,,,,,
,,2076-091-6075,6075.0,87061.0,"Hood,Fume, 2076-G35",G35,G35,OPERATING,,,,,,,,
,,2076-091-6076,6076.0,87062.0,"Hood,Fume, 2076-G41-A, Chemical",G41,G41,OPERATING,,,,,,,,
,,2076-091-6077,6077.0,87063.0,"Hood,Fume, 2076-G48",G48,G48,OPERATING,,,,,,,,
,,2076-091-6078,6078.0,87064.0,"Hood,Fume, 2076-G54",G54,G54,OPERATING,,,,,,,,
,,2076-091-6079,6079.0,87065.0,"Hood,Fume, 2076-G61",G61,G61,OPERATING,,,,,,,,
,,2076-091-6080,6080.0,87066.0,"Hood,Fume, 2076-G65",G65,G65,OPERATING,,,,,,,,
