oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Plant Science Building,1022,1022-091-6004,6004.0,52513.0,"Hood Fume, 1022-105",Room 105,Hood Rm 105,HIBERNATION,,,,,,,,
,,1022-091-6005,6005.0,52514.0,"Hood Fume, 1022-123-E",Room 123E,Hood Rm 123E,OPERATING,,,,,,,,
,,1022-091-6006,6006.0,52517.0,"Hood Fume, 1022-144",Room 144,Hood Rm 144,OPERATING,,,,,,,,
,,1022-091-6007,6007.0,52518.0,"Hood Fume, 1022-146",Room 146,Hood Rm 146,OPERATING,,,,,,,,
,,1022-091-6008,6008.0,52519.0,"Hood Fume, 1022-147",Room 147,Hood Rm 147,OPERATING,,,,,,,,
,,1022-091-6009,6009.0,52520.0,"Hood Fume, 1022-202",Room 202,Hood Rm 202,OPERATING,,,,,,,,
,,1022-091-6011,6011.0,52522.0,"Hood Fume, 1022-203-H",Room 203-H,Hood Rm 203-H,OPERATING,,,,,,,,
,,1022-091-6012,6012.0,52523.0,"Hood Fume, 1022-207",Room 207,Hood Rm 207,OPERATING,,,,,,,,
,,1022-091-6013,6013.0,52524.0,"Hood Fume, 1022-227",Room 227,Hood Rm 227,OPERATING,,,,,,,,
,,1022-091-6014,6014.0,52525.0,"Hood Fume, 1022-230",Room 230,Hood Rm 230,OPERATING,,,,,,,,
,,1022-091-6015,6015.0,52526.0,"Hood Fume, 1022-239A",Room 239A,Hood Rm 239A,OPERATING,,,,,,,,
,,1022-091-6016,6016.0,52530.0,"Hood Fume, 1022-240",Room 240,Hood Rm 240,HIBERNATION,,,,,,,,
,,1022-091-6018,6018.0,52532.0,"Hood Fume, 1022-242B-H",Room 242B-H,Hood Rm 242B-H,OPERATING,,,,,,,,
,,1022-091-6019,6019.0,52533.0,"Hood Fume, 1022-250",Room 250,Hood Rm 250,OPERATING,,,,,,,,
,,1022-091-6020,6020.0,52534.0,"Hood Fume, 1022-253",Room 253,Hood Rm 253,OPERATING,,,,,,,,
,,1022-091-6021,6021.0,52535.0,"Hood Fume, 1022-262-E",Room 262-E,Hood Rm 262-E,OPERATING,,,,,,,,
,,1022-091-6022,6022.0,52536.0,"Hood Fume, 1022-262-W",Room 262-W,Hood Rm 262-W,OPERATING,,,,,,,,
,,1022-091-6023,6023.0,52537.0,"Hood Fume, 1022-302",Room 302,Hood Rm 302,OPERATING,,,,,,,,
,,1022-091-6025,6025.0,52539.0,"Hood Fume, 1022-304-01",Room 304-01,Hood Rm 304-01,OPERATING,,,,,,,,
,,1022-091-6026,6026.0,52540.0,"Hood Fume, 1022-341A",Room 341A,Hood Rm 341A,OPERATING,,,,,,,,
,,1022-091-6029,6029.0,52543.0,"Hood Fume, 1022-344",Room 344,Hood Rm 344,OPERATING,,,,,,,,
,,1022-091-6030,6030.0,52544.0,"Hood Fume, 1022-353",Room 353,Hood Rm 353,HIBERNATION,,,,,,,,
,,1022-091-6031,6031.0,52545.0,"Hood Fume, 1022-401-H",Room 401-H,Hood Rm 401-H,OPERATING,,,,,,,,
,,1022-091-6033,6033.0,52547.0,"Hood Fume, 1022-405-H",Room 405-H,Hood Rm 405-H,DECOMMISSIONED,,,,,,,,
,,1022-091-6034,6034.0,52548.0,"Hood Fume, 1022-413-H",Room 413-H,Hood Rm 413-H,OPERATING,,,,,,,,
,,1022-091-6035,6035.0,52549.0,"Hood Fume, 1022-427-H",Room 427-H,Hood Rm 427-H,OPERATING,,,,,,,,
,,1022-091-6036,6036.0,52550.0,"Hood Fume, 1022-430",Room 430,Hood Rm 430,OPERATING,,,,,,,,
,,1022-091-6037,6037.0,52551.0,"Hood Fume, 1022-433",Room 433,Hood Rm 433,OPERATING,,,,,,,,
,,1022-091-6038,6038.0,52552.0,"Hood Fume, 1022-434-H",Room 434-H,Hood Rm 434-H,OPERATING,,,,,,,,
,,1022-091-6044,6044.0,52507.0,"Hood Fume, 1022-021B",Room G021B,Hood Rm G021B,HIBERNATION,,,,,,,,
,,1022-091-6045,6045.0,52777.0,"Hood Fume, 1022-040",Room G040,Hood Rm G040,OPERATING,,,,,,,,
,,1022-091-6046,6046.0,52509.0,"Hood Fume, 1022-041",Room G041,Hood Rm G041,OPERATING,,,,,,,,
,,1022-091-6048,6048.0,52515.0,"Hood,Fume, 1022-211",Room 211,Hood Rm 211,OPERATING,,,,,,,,
,,1022-091-6052,60052.0,99196.0,"Hood,Fume, 1022-303F-01",Lab Room 303F,Hood Lab Room 303F,OPERATING,,,,,,,,
,,1022-091-6053,60052.0,99198.0,"Hood,Fume, 1022-303G-01",Lab Room 303F,Hood Lab Room 303G,OPERATING,,,,,,,,
,,1022-091-6054,6054.0,116257.0,"Hood,Fume, 1022-102B, Chemical",102B,102B,OPERATING,,,,,,,,
,,1022-091-6055,6055.0,116258.0,"Hood,Fume, 1022-G09, Chemical",G09,G09,OPERATING,,,,,,,,
