oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Riley-Robb Hall,1062,1062-091-6001,6001.0,52782.0,"Hood Fume, 1062-140",Room 140,Hood Room 140,OPERATING,,,,,,,,
,,1062-091-6002,6002.0,52783.0,"Hood Fume, 1062-141-01",Room 141,Hood Room 141,OPERATING,,,,,,,,
,,1062-091-6003,6003.0,52784.0,"Hood Fume, 1062-141-02",Room 141,Hood Room 141,OPERATING,,,,,,,,
,,1062-091-6004,6004.0,52785.0,"Hood Fume, 1062-144",Room 144,Hood Room 144,OPERATING,,,,,,,,
,,1062-091-6005,6005.0,52786.0,"Hood Fume, 1062-145-01",Room 145,Hood Room 145,OPERATING,,,,,,,,
,,1062-091-6006,6006.0,52787.0,"Hood Fume, 1062-145-02",Room 145,Hood Room 145,OPERATING,,,,,,,,
,,1062-091-6007,6007.0,52788.0,"Hood Fume, 1062-149-01",Room 149,Hood Room 149,OPERATING,,,,,,,,
,,1062-091-6008,6008.0,52789.0,"Hood Fume, 1062-149-02",Room 149,Hood Room 149,OPERATING,,,,,,,,
,,1062-091-6009,6009.0,52790.0,"Hood Fume, 1062-153-01",Room 153,Hood Room 153,OPERATING,,,,,,,,
,,1062-091-6010,6010.0,52791.0,"Hood Fume, 1062-153-02",Room 153,Hood Room 153,HIBERNATION,,,,,,,,
,,1062-091-6011,6011.0,52797.0,"Hood Fume, 1062-246-1",Room 246,Hood Room 246,DECOMMISSIONED,,,,,,,,
,,1062-091-6012,6012.0,52792.0,"Hood Fume, 1062-158",Room 158,Hood Room 158,OPERATING,,,,,,,,
,,1062-091-6013,6013.0,52793.0,"Hood Fume, 1062-170",Room 170,Hood Room 170,DECOMMISSIONED,,,,,,,,
,,1062-091-6014,6014.0,52794.0,"Hood Fume, 1062-171",Room 171,Hood Room 171,HIBERNATION,,,,,,,,
,,1062-091-6015,6015.0,52795.0,"Hood Fume, 1062-174-01",Room 174,Hood Room 174,HIBERNATION,,,,,,,,
,,1062-091-6016,6016.0,52796.0,"Hood Fume, 1062-174-02",Room 174,Hood Room 174,HIBERNATION,,,,,,,,
,,1062-091-6017,6017.0,52799.0,"Hood Fume, 1062-B40",Room B40,Hood Room B40,OPERATING,,,,,,,,
,,1062-091-6018,6018.0,52800.0,"Hood Fume, 1062-B44",Room B44,Hood Room B44,OPERATING,,,,,,,,
,,1062-091-6019,6019.0,52801.0,"Hood Fume, 1062-B45-01",Room B45,Hood Room B45,OPERATING,,,,,,,,
,,1062-091-6020,6020.0,52802.0,"Hood Fume, 1062-B45-02",Room B45,Hood Room B45,OPERATING,,,,,,,,
,,1062-091-6021,6021.0,52803.0,"Hood Fume, 1062-B49-01",Room B49,Hood Room B49,OPERATING,,,,,,,,
,,1062-091-6022,6022.0,52804.0,"Hood Fume, 1062-B49-02",Room B49,Hood Room B49,OPERATING,,,,,,,,
,,1062-091-6023,6023.0,52805.0,"Hood Fume, 1062-B53-01",Room B53,Hood Room B53,OPERATING,,,,,,,,
,,1062-091-6024,6024.0,52806.0,"Hood Fume, 1062-B53-02",Room B53,Hood Room B53,OPERATING,,,,,,,,
,,1062-091-6025,6025.0,52807.0,"Hood Fume, 1062-B56",Room B56,Hood Room B56,HIBERNATION,,,,,,,,
,,1062-091-6026,6026.0,52808.0,"Hood Fume, 1062-B58",Room B58,Hood Room B58,OPERATING,,,,,,,,
,,1062-091-6027,6027.0,52798.0,"Hood Fume, 1062-246-2",Room 246,Hood Room 246,DECOMMISSIONED,,,,,,,,
,,1062-091-6028,6028.0,52809.0,"Hood Fume, 1062-B78",Room B78,Hood Room B78,OPERATING,,,,,,,,
,,1062-091-6029,6029.0,98853.0,"Hood,Fume, 1062-B74-01",Lab B74,Lab B74,OPERATING,,,,,,,,
,,1062-091-6030,6030.0,98854.0,"Hood,Fume, 1062-B74-02",Lab B74,Lab B74,HIBERNATION,,,,,,,,
,,1062-091-6031,6031.0,98855.0,"Hood,Fume, 1062-B80-A",Lab B80,Lab B80,OPERATING,,,,,,,,
,,1062-091-6032,6032.0,98856.0,"Hood,Fume, 1062-B77",Lab B77,Lab B77,OPERATING,,,,,,,,
,,1062-091-6033,6033.0,98857.0,"Hood,Fume, 1062-B85-01",Lab B85,Lab B85,HIBERNATION,,,,,,,,
,,1062-091-6034,6034.0,98858.0,"Hood,Fume, 1062-B85-02",Lab B85,Lab B85,OPERATING,,,,,,,,
,,1062-091-6035,6035.0,102424.0,"Hood,Fume, 1062-B68",Room B68,Hood Room B68,OPERATING,,,,,,,,
,,1062-091-6036,6036.0,102606.0,"Hood,Fume, 1062-B71-1",Lab B71,Lab B71,HIBERNATION,,,,,,,,
,,1062-091-6037,6037.0,102607.0,"Hood,Fume, 1062-B71-2",Lab B71,Lab B71,OPERATING,,,,,,,,
,,1062-091-6038,6038.0,102608.0,"Hood,Fume, 1062-B73-3",Lab B73,Lab B73,OPERATING,,,,,,,,
,,1062-091-6039,6039.0,102609.0,"Hood,Fume, 1062-B73-4",Lab B73,Lab B73,OPERATING,,,,,,,,
,,1062-091-6040,6001.0,52553.0,"Hood,Fume, 1062-B68-2",Room B68,Hood Room B68,OPERATING,,,,,,,,
,,1062-091-6041,6041.0,125460.0,"Hood,Fume, 1062-B80-B",B80,B80,OPERATING,,,,,,,,
