oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Robert W Holley Ctr Ag Health,2725,2725-091-6001,6001.0,53411.0,"Hood Fume, 2725-101",Room 101,Hood Room 101,OPERATING,,,,,,,,
,,2725-091-6002,6002.0,53412.0,"Hood Fume, 2725-105",Room 105,Hood Room 105,OPERATING,,,,,,,,
,,2725-091-6003,6003.0,53413.0,"Hood Fume, 2725-135",Room 135,Hood Room 135,OPERATING,,,,,,,,
,,2725-091-6004,6004.0,53414.0,"Hood Fume, 2725-138",Room 138,Hood Room 138,OPERATING,,,,,,,,
,,2725-091-6005,6005.0,53415.0,"Hood Fume, 2725-139",Room 139,Hood Room 139,OPERATING,,,,,,,,
,,2725-091-6007,6007.0,53416.0,"Hood Fume, 2725-1A",Room 1A,Hood Room 1A,OPERATING,,,,,,,,
,,2725-091-6008,6008.0,53417.0,"Hood Fume, 2725-201",Room 201,Hood Room 201,OPERATING,,,,,,,,
,,2725-091-6009,6009.0,53418.0,"Hood Fume, 2725-204",Room 204,Hood Room 204,OPERATING,,,,,,,,
,,2725-091-6010,6010.0,53419.0,"Hood Fume, 2725-205H",Room 205H,Hood Room 205H,OPERATING,,,,,,,,
,,2725-091-6011,6010.0,53420.0,"Hood Fume, 2725-213",Room 213,Hood Room 213,OPERATING,,,,,,,,
,,2725-091-6012,6012.0,53421.0,"Hood Fume, 2725-228",Room 228,Hood Room 228,OPERATING,,,,,,,,
,,2725-091-6013,6013.0,53422.0,"Hood Fume, 2725-229",Room 229,Hood Room 229,OPERATING,,,,,,,,
,,2725-091-6014,6014.0,53423.0,"Hood Fume, 2725-235",Room 235,Hood Room 235,OPERATING,,,,,,,,
,,2725-091-6015,6015.0,53424.0,"Hood Fume, 2725-238",Room 238,Hood Room 238,OPERATING,,,,,,,,
,,2725-091-6016,6016.0,53425.0,"Hood Fume, 2725-239",Room 239,Hood Room 239,OPERATING,,,,,,,,
,,2725-091-6017,6017.0,53426.0,"Hood Fume, 2725-303",Room 303,Hood Room 303,OPERATING,,,,,,,,
,,2725-091-6018,6018.0,53427.0,"Hood Fume, 2725-335",Room 335,Hood Room 335,OPERATING,,,,,,,,
,,2725-091-6019,6019.0,53428.0,"Hood Fume, 2725-339",Room 339,Hood Room 339,OPERATING,,,,,,,,
,,2725-091-6020,6020.0,53429.0,"Hood Fume, 2725-G13",Room G-13,Hood Room G-13,OPERATING,,,,,,,,
