oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
ST Olin,2083,2083-091-6001,6001.0,53480.0,"Hood,Fume, 2083-162-1",162,162,HIBERNATION,,,,,,,,
,,2083-091-6002,6002.0,53481.0,"Hood,Fume, 2083-162-2",162,162,OPERATING,,,,,,,,
,,2083-091-6003,6003.0,53482.0,"Hood Fume, 2083-165",165,165,OPERATING,,,,,,,,
,,2083-091-6006,6006.0,53485.0,"Hood,Fume, 2083-170-1",170,170,OPERATING,,,,,,,,
,,2083-091-6007,6007.0,53486.0,"Hood,Fume, 2083-170-2",170,170,OPERATING,,,,,,,,
,,2083-091-6008,6008.0,53487.0,"Hood,Fume, 2083-172-1",172,172,OPERATING,,,,,,,,
,,2083-091-6009,6009.0,53609.0,"Hood,Fume, 2083-172-2",172,172,OPERATING,,,,,,,,
,,2083-091-6010,6010.0,53489.0,"Hood,Fume, 2083-178-1",178,178,OPERATING,,,,,,,,
,,2083-091-6011,6011.0,53490.0,"Hood,Fume, 2083-178-2",178,178,OPERATING,,,,,,,,
,,2083-091-6012,6012.0,53491.0,"Hood,Fume, 2083-178-3",178,178,OPERATING,,,,,,,,
,,2083-091-6013,6013.0,53492.0,"Hood Fume, 2083-262",262,262,OPERATING,,,,,,,,
,,2083-091-6014,6014.0,53493.0,"Hood,Fume, 2083-263-1",263,263,OPERATING,,,,,,,,
,,2083-091-6022,6022.0,53501.0,"Hood Fume, 2083-278",278,278,OPERATING,,,,,,,,
,,2083-091-6037,6037.0,53640.0,"Hood,Fume, 2083-372-1",372,372,OPERATING,,,,,,,,
,,2083-091-6038,6038.0,53641.0,"Hood,Fume, 2083-372-2",372,372,OPERATING,,,,,,,,
,,2083-091-6039,6039.0,53518.0,"Hood,Fume, 2083-372-3",372,372,OPERATING,,,,,,,,
,,2083-091-6042,6042.0,53521.0,"Hood,Fume, 2083-462-1",462,462,OPERATING,,,,,,,,
,,2083-091-6043,6043.0,53646.0,"Hood,Fume, 2083-462-2",462,462,OPERATING,,,,,,,,
,,2083-091-6044,6044.0,53523.0,"Hood,Fume, 2083-462-3",462,462,OPERATING,,,,,,,,
,,2083-091-6045,6045.0,53524.0,"Hood,Fume, 2083-463",463,463,HIBERNATION,,,,,,,,
,,2083-091-6048,6048.0,53650.0,"Hood,Fume, 2083-470-1",470,470,OPERATING,,,,,,,,
,,2083-091-6049,6049.0,53528.0,"Hood,Fume, 2083-470-2",470,470,OPERATING,,,,,,,,
,,2083-091-6050,6050.0,53652.0,"Hood,Fume, 2083-470-3",470,470,OPERATING,,,,,,,,
,,2083-091-6051,6051.0,53653.0,"Hood,Fume, 2083-471-1",471,471,OPERATING,,,,,,,,
,,2083-091-6052,6052.0,53654.0,"Hood,Fume, 2083-471-2",471,471,OPERATING,,,,,,,,
,,2083-091-6054,6054.0,53533.0,"Hood,Fume, 2083-471-4",471,471,OPERATING,,,,,,,,
,,2083-091-6055,6055.0,53534.0,"Hood,Fume, 2083-472-1",472,472,OPERATING,,,,,,,,
,,2083-091-6056,6056.0,53658.0,"Hood,Fume, 2083-472-2",472,472,OPERATING,,,,,,,,
,,2083-091-6057,6057.0,53659.0,"Hood,Fume, 2083-472-3",472,472,OPERATING,,,,,,,,
,,2083-091-6058,6058.0,53537.0,"Hood,Fume, 2083-472-4",472,472,OPERATING,,,,,,,,
,,2083-091-6059,6059.0,53538.0,"Hood,Fume, 2083-475-1",475,475,OPERATING,,,,,,,,
,,2083-091-6060,6060.0,53539.0,"Hood,Fume, 2083-475-2",475,475,OPERATING,,,,,,,,
,,2083-091-6061,6061.0,53540.0,"Hood,Fume, 2083-475-3",475,475,OPERATING,,,,,,,,
,,2083-091-6062,6062.0,53664.0,"Hood,Fume, 2083-475-4",475,475,OPERATING,,,,,,,,
,,2083-091-6063,6063.0,53542.0,"Hood,Fume, 2083-480-0",480,480,OPERATING,,,,,,,,
,,2083-091-6064,6064.0,53543.0,"Hood,Fume, 2083-480-2",480,480,OPERATING,,,,,,,,
,,2083-091-6065,6065.0,53667.0,"Hood,Fume, 2083-480-3",480,480,OPERATING,,,,,,,,
,,2083-091-6066,6066.0,53668.0,"Hood,Fume, 2083-480-4",480,480,OPERATING,,,,,,,,
,,2083-091-6067,6067.0,53546.0,"Hood,Fume, 2083-562A-1",562A,562A,OPERATING,,,,,,,,
,,2083-091-6068,6068.0,53670.0,"Hood,Fume, 2083-562A-2",562A,562A,OPERATING,,,,,,,,
,,2083-091-6069,6069.0,53549.0,"Hood,Fume, 2083-562A-3",562A,562A,OPERATING,,,,,,,,
,,2083-091-6070,6070.0,53672.0,"Hood,Fume, 2083-562A-4",562A,562A,OPERATING,,,,,,,,
,,2083-091-6071,6071.0,53673.0,"Hood,Fume, 2083-565A-1",565A,565A,OPERATING,,,,,,,,
,,2083-091-6072,6072.0,53674.0,"Hood,Fume, 2083-565A-2",565A,565A,OPERATING,,,,,,,,
,,2083-091-6073,6073.0,53675.0,"Hood,Fume, 2083-565A-3",565A,565A,OPERATING,,,,,,,,
,,2083-091-6074,6074.0,53676.0,"Hood,Fume, 2083-565A-4",565A,565A,OPERATING,,,,,,,,
,,2083-091-6075,6075.0,53555.0,"Hood,Fume, 2083-565A-5",565A,565A,OPERATING,,,,,,,,
,,2083-091-6076,6076.0,53677.0,"Hood,Fume, 2083-565A-6",565A,565A,OPERATING,,,,,,,,
,,2083-091-6077,6077.0,53558.0,"Hood,Fume, 2083-570A-1",570A,570A,OPERATING,,,,,,,,
,,2083-091-6078,6078.0,53680.0,"Hood,Fume, 2083-570A-2",570A,570A,OPERATING,,,,,,,,
,,2083-091-6079,6079.0,53560.0,"Hood,Fume, 2083-570A-3",570A,570A,OPERATING,,,,,,,,
,,2083-091-6080,6080.0,53682.0,"Hood,Fume, 2083-570A-4",570A,570A,OPERATING,,,,,,,,
,,2083-091-6081,6081.0,53685.0,"Hood,Fume, 2083-571-1",571,571,OPERATING,,,,,,,,
,,2083-091-6082,6082.0,53563.0,"Hood,Fume, 2083-571-2",571,571,OPERATING,,,,,,,,
,,2083-091-6083,6083.0,53687.0,"Hood,Fume, 2083-571-3",571,571,OPERATING,,,,,,,,
,,2083-091-6084,6084.0,53565.0,"Hood,Fume, 2083-571-4",571,571,OPERATING,,,,,,,,
,,2083-091-6085,6085.0,53566.0,"Hood,Fume, 2083-572-1",572,572,OPERATING,,,,,,,,
,,2083-091-6086,6086.0,53690.0,"Hood,Fume, 2083-572-2",572,572,OPERATING,,,,,,,,
,,2083-091-6087,6087.0,53691.0,"Hood,Fume, 2083-572-3",572A,572A,OPERATING,,,,,,,,
,,2083-091-6088,6088.0,53692.0,"Hood,Fume, 2083-572-4",572A,572A,OPERATING,,,,,,,,
,,2083-091-6090,6090.0,53694.0,"Hood,Fume, 2083-575-1",575,575,OPERATING,,,,,,,,
,,2083-091-6091,6091.0,53695.0,"Hood,Fume, 2083-575-2",575,575,OPERATING,,,,,,,,
,,2083-091-6092,6092.0,53696.0,"Hood,Fume, 2083-575-3",575,575,OPERATING,,,,,,,,
,,2083-091-6117,6117.0,53721.0,"Hood,Fume, 2083-G61-1",G61,G61,OPERATING,,,,,,,,
,,2083-091-6118,6118.0,53599.0,"Hood,Fume, 2083-G65-1",G65,G65,OPERATING,,,,,,,,
,,2083-091-6119,6119.0,53600.0,"Hood,Fume, 2083-G67-1",G67,G67,OPERATING,,,,,,,,
,,2083-091-6120,6120.0,53601.0,"Hood,Fume, 2083-G75B-1",G75B,G75B,OPERATING,,,,,,,,
,,2083-091-6121,6121.0,55747.0,"Hood,Fume, 2083-272",272A,272A,OPERATING,,,,,,,,
,,2083-091-6122,6122.0,55746.0,"Hood,Fume, 2083-275A",275A,275A,OPERATING,,,,,,,,
,,2083-091-6123,6123.0,73910.0,"Hood,Fume, 2083-662A",662A,662A,OPERATING,,,,,,,,
,,2083-091-6124,6124.0,73847.0,"Hood Fume, 2083-677",677,677,OPERATING,,,,,,,,
,,2083-091-6125,6125.0,73782.0,"Hood,Fume, 2038-668A",668A,668A,OPERATING,,,,,,,,
,,2083-091-6126,6126.0,73953.0,"Hood,Fume, 2083-676-1, Chemical",676,676,OPERATING,,,,,,,,
,,2083-091-6127,6127.0,96796.0,"Hood,Fume, 2083-676-2",676,676,OPERATING,,,,,,,,
,,2083-091-6128,6128.0,118339.0,"Hood,Fume, 2083-364A-1, 80 FPM, Chemical",364A,364A,OPERATING,,,,,,,,
,,2083-091-6129,6129.0,118340.0,"Hood,Fume, 2083-364A-2, 80 FPM, Chemical",364A,364A,OPERATING,,,,,,,,
,,2083-091-6130,6130.0,118341.0,"Hood,Fume, 2083-364A-3, 80 FPM, Chemical",364A,364A,OPERATING,,,,,,,,
,,2083-091-6131,6131.0,118342.0,"Hood,Fume, 2083-364A-4, 80 FPM, Chemical",364A,364A,OPERATING,,,,,,,,
,,2083-091-6132,6132.0,118343.0,"Hood,Fume, 2083-370A-1 80 FPM, Chemical",370A,370A,OPERATING,,,,,,,,
,,2083-091-6133,6133.0,118344.0,"Hood,Fume, 2083-370A-2 80 FPM, Chemical",370A,370A,OPERATING,,,,,,,,
,,2083-091-6134,6134.0,118345.0,"Hood,Fume, 2083-370A-3 80 FPM, Chemical",370A,370A,OPERATING,,,,,,,,
,,2083-091-6135,6135.0,118346.0,"Hood,Fume, 2083-370A-4 80 FPM, Chemical",370A,370A,OPERATING,,,,,,,,
,,2083-091-6136,6136.0,118347.0,"Hood,Fume, 2083-361A-1 80 FPM, Chemical",361A,361A,OPERATING,,,,,,,,
,,2083-091-6137,6137.0,118348.0,"Hood,Fume, 2083-361A-2 80 FPM, Chemical",361A,361A,OPERATING,,,,,,,,
,,2083-091-6138,6138.0,118349.0,"Hood,Fume, 2083-361A-3 80 FPM, Chemical",361A,361A,OPERATING,,,,,,,,
,,2083-091-6139,6139.0,118350.0,"Hood,Fume, 2083-361A-4 80 FPM, Chemical",361A,361A,OPERATING,,,,,,,,
,,2083-091-6140,6140.0,118351.0,"Hood,Fume, 2083-365A-1 80 FPM, Chemical",365A,365A,OPERATING,,,,,,,,
,,2083-091-6141,6141.0,118352.0,"Hood,Fume, 2083-365A-2 80 FPM, Chemical",365A,365A,OPERATING,,,,,,,,
,,2083-091-6142,6142.0,118353.0,"Hood,Fume, 2083-365A-3 80 FPM, Chemical",365A,365A,OPERATING,,,,,,,,
