oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Seeley G Mudd Hall,1019W,1019W-091-6001,6001.0,53163.0,"Hood Fume, 1019W-W112",W112,Hood Room W112,OPERATING,,,,,,,,
,,1019W-091-6002,6002.0,53164.0,"Hood,Fume, 1019W-347B",347B,347B,OPERATING,,,,,,,,
,,1019W-091-6003,6003.0,53165.0,"Hood,Fume, 1019W-W203",W120,W120,OPERATING,,,,,,,,
,,1019W-091-6004,6004.0,53167.0,"Hood Fume, 1019W-W129",W129,W129,OPERATING,,,,,,,,
,,1019W-091-6005,6005.0,53168.0,"Hood Fume, 1019W-W153",W153,W153,OPERATING,,,,,,,,
,,1019W-091-6009,6009.0,53172.0,"Hood Fume, 1019W-W220",W220,W220,OPERATING,,,,,,,,
,,1019W-091-6010,6010.0,53173.0,"Hood Fume, 1019W-W233-01",W233,W233,OPERATING,,,,,,,,
,,1019W-091-6011,6011.0,53174.0,"Hood Fume, 1019W-W233-02",W233,W233,OPERATING,,,,,,,,
,,1019W-091-6012,6012.0,53175.0,"Hood Fume, 1019W-W243",W243,W243,OPERATING,,,,,,,,
,,1019W-091-6013,6013.0,53176.0,"Hood Fume, 1019W-W244",W244,W244,OPERATING,,,,,,,,
,,1019W-091-6015,6015.0,53179.0,"Hood Fume, 1019W-W314",W314,W314,OPERATING,,,,,,,,
,,1019W-091-6016,6016.0,53180.0,"Hood Fume, 1019W-W350",W350,W350,OPERATING,,,,,,,,
,,1019W-091-6017,6017.0,53181.0,"Hood,Fume, 1019W-W308",W355,W355,OPERATING,,,,,,,,
,,1019W-091-6018,6018.0,54622.0,"Hood Fume, 1019W-W327",W327,W327,OPERATING,,,,,,,,
,,1019W-091-6019,6019.0,54623.0,"Hood Fume, 1019W-W354",W354,W354,OPERATING,,,,,,,,
,,1019W-091-6021,6021.0,102954.0,"Hood,Fume, 1019W-W117",W117,W117,OPERATING,,,,,,,,
