oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Snee Hall,2049,2049-091-6001,6001.0,53827.0,"Hood Fume, 2049-1162",Room 1162,Hood Room 1162,OPERATING,,,,,,,,
,,2049-091-6002,6002.0,53828.0,"Hood,Fume, 2049-3146A-N",Room 3146A,Hood Room 3146A-N,OPERATING,,,,,,,,
,,2049-091-6003,6003.0,53829.0,"Hood,Fume, 2049-3146A-S",Room 3146A,Hood Room 3146A-S,HIBERNATION,,,,,,,,
,,2049-091-6004,6004.0,53830.0,"Hood Fume, 2049-3158",Room 3158,Hood Room 3158,OPERATING,,,,,,,,
,,2049-091-6005,6005.0,53831.0,"Hood,Fume, 2049-4146A",Room 4146,Hood Room 4146,OPERATING,,,,,,,,
,,2049-091-6006,6006.0,53832.0,"Hood Fume, 2049-4158",Room 4158,Hood Room 4158,OPERATING,,,,,,,,
,,2049-091-6007,6007.0,53833.0,"Hood Fume, 2049-4160",Room 4160,Hood Room 4160,OPERATING,,,,,,,,
,,2049-091-6008,6008.0,53834.0,"Hood Fume, 2049-4161B-E",Room 4161B,Hood Room 4161B-E,OPERATING,,,,,,,,
,,2049-091-6009,6009.0,53835.0,"Hood Fume, 2049-4161B-W",Room 4161B,Hood Room 4161B-W,OPERATING,,,,,,,,
,,2049-091-6011,6011.0,102120.0,"Hood,Fume, 2049-4146B",Room 4146B,Hood Room 4146B,OPERATING,,,,,,,,
,,2049-091-6012,6012.0,116263.0,"Hood,Fume, Vertical Downdraft, 2049-4158-1, Chemical, Perchlo: Yes",Room 4158,Hood Room 4158,DECOMMISSIONED,,,,,,,,
,,2049-091-6013,6013.0,116264.0,"Hood,Fume, Vertical Downdraft, 2049-4158-2, Chemical, Perchlo: Yes",Room 4158,Hood Room 4158,DECOMMISSIONED,,,,,,,,
,,2049-091-6014,6014.0,118358.0,"Hood,Fume, 2049-4161C-1",Room 4161C,Hood Room 4161C,OPERATING,,,,,,,,
,,2049-091-6015,6015.0,118359.0,"Hood,Fume, 2049-4161C-2",Room 4161C,Hood Room 4161C,OPERATING,,,,,,,,
