oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Stocking Hall,1041A,1041A-091-6000,6000.0,107732.0,"Hood,Fume, 1041A-250B",Room 250B,Hood Room 250B,OPERATING,,,,,,,,
,,1041A-091-6001,6001.0,107733.0,"Hood,Fume, 1041A-250C",Room 250C,Hood Room 250C,OPERATING,,,,,,,,
,,1041A-091-6002,6002.0,107734.0,"Hood,Fume, 1041A-252B",Room 252B,Hood Room 252B,OPERATING,,,,,,,,
,,1041A-091-6003,6003.0,107735.0,"Hood,Fume, 1041A-252C",Room 252C,Hood Room 252C,OPERATING,,,,,,,,
,,1041A-091-6004,6004.0,107736.0,"Hood,Fume, 1041A-253B",Room 253B,Hood Room 253B,OPERATING,,,,,,,,
,,1041A-091-6005,6005.0,107737.0,"Hood,Fume, 1041A-253C",Room 253C,Hood Room 253C,OPERATING,,,,,,,,
,,1041A-091-6006,6006.0,107738.0,"Hood,Fume, 1041A-253D",Room 253D,Hood Room 253D,OPERATING,,,,,,,,
,,1041A-091-6007,6007.0,107739.0,"Hood,Fume, 1041A-255C",Room 255C,Hood Room 255C,OPERATING,,,,,,,,
,,1041A-091-6008,6008.0,107740.0,"Hood,Fume, 1041A-257C",Room 257C,Hood Room 257C,OPERATING,,,,,,,,
,,1041A-091-6009,6009.0,107741.0,"Hood,Fume, 1041A-259B",Room 259B,Hood Room 259B,OPERATING,,,,,,,,
,,1041A-091-6010,6010.0,107742.0,"Hood,Fume, 1041A-254B",Room 254B,Hood Room 254B,OPERATING,,,,,,,,
,,1041A-091-6011,6011.0,107743.0,"Hood,Fume, 1041A-256C",Room 256C,Hood Room 256C,OPERATING,,,,,,,,
,,1041A-091-6012,6012.0,107744.0,"Hood,Fume, 1041A-357C-1",Room 357C,Hood Room 357C,OPERATING,,,,,,,,
,,1041A-091-6013,6013.0,107745.0,"Hood,Fume, 1041A-357C-2",Room 357C,Hood Room 357C,OPERATING,,,,,,,,
,,1041A-091-6014,6014.0,107746.0,"Hood,Fume, 1041A-355C",Room 355C,Hood Room 355C,OPERATING,,,,,,,,
,,1041A-091-6015,6015.0,107747.0,"Hood,Fume, 1041A-353B",Room 353B,Hood Room 353B,OPERATING,,,,,,,,
,,1041A-091-6016,6016.0,107748.0,"Hood,Fume, 1041A-350C",Room 350C,Hood Room 350C,OPERATING,,,,,,,,
,,1041A-091-6017,6017.0,107749.0,"Hood,Fume, 1041A-352C",Room 352C,Hood Room 352C,OPERATING,,,,,,,,
,,1041A-091-6018,6018.0,107750.0,"Hood,Fume, 1041A-354B",Room 354B,Hood Room 354B,OPERATING,,,,,,,,
,,1041A-091-6019,6019.0,107751.0,"Hood,Fume, 1041A-356B",Room 356B,Hood Room 356B,OPERATING,,,,,,,,
,,1041A-091-6020,6020.0,52324.0,"Hood,Fume, 1041A-254B",254B Lab,254B Lab,RETIRED,,,,,,,,
,,1041A-091-6021,6021.0,52390.0,"Hood,Fume, 1041A-353A",353A Lab,353A Lab,OPERATING,,,,,,,,
