oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Thurston Hall,2037T,2037T-091-6002,6002.0,52554.0,"Hood Fume, 2037T-333",Room 333,Hood Room 333,OPERATING,,,,,,,,
,,2037T-091-6003,6003.0,52555.0,"Hood Fume, 2037T-401-C",Room 401,Hood Room 401,OPERATING,,,,,,,,
,,2037T-091-6004,6004.0,52556.0,"Hood Fume, 2037T-401-N",Room 401,Hood Room 401,OPERATING,,,,,,,,
,,2037T-091-6005,6005.0,52557.0,"Hood Fume, 2037T-401-S",Room 401,Hood Room 401,OPERATING,,,,,,,,
,,2037T-091-6006,6006.0,52558.0,"Hood Fume, 2037T-402-N",Room 402,Hood Room 402,OPERATING,,,,,,,,
,,2037T-091-6007,6007.0,52559.0,"Hood Fume, 2037T-402-S",Room 402,Hood Room 402,OPERATING,,,,,,,,
,,2037T-091-6008,6008.0,52560.0,"Hood Fume, 2037T-403-N",Room 403,Hood Room 403,OPERATING,,,,,,,,
,,2037T-091-6009,6009.0,52561.0,"Hood Fume, 2037T-403-S",Room 403,Hood Room 403,OPERATING,,,,,,,,
,,2037T-091-6010,6010.0,52562.0,"Hood Fume, 2037T-404",Room 404,Hood Room 404,OPERATING,,,,,,,,
,,2037T-091-6011,6011.0,52563.0,"Hood Fume, 2037T-407-E",Room 407,Hood Room 407,HIBERNATION,,,,,,,,
,,2037T-091-6012,6012.0,52564.0,"Hood Fume, 2037T-407-W",Room 407,Hood Room 407,HIBERNATION,,,,,,,,
,,2037T-091-6013,6013.0,52730.0,"Hood Fume, 2037T-408",Room 408,Hood Room 408,OPERATING,,,,,,,,
,,2037T-091-6014,6014.0,52565.0,"Hood Fume, 2037T-415-N",Room 415,Hood Room 415,OPERATING,,,,,,,,
,,2037T-091-6015,6015.0,52566.0,"Hood Fume, 2037T-415-S",Room 415,Hood Room 415,OPERATING,,,,,,,,
,,2037T-091-6016,6016.0,52567.0,"Hood Fume, 2037T-417-N",Room 417,Hood Room 417,OPERATING,,,,,,,,
,,2037T-091-6017,6017.0,52568.0,"Hood Fume, 2037T-417-S",Room 417,Hood Room 417,OPERATING,,,,,,,,
,,2037T-091-6019,6019.0,52731.0,"Hood Fume, 2037T-420-E",Room 420,Hood Room 420,OPERATING,,,,,,,,
,,2037T-091-6020,6020.0,52732.0,"Hood Fume, 2037T-420-W",Room 420,Hood Room 420,OPERATING,,,,,,,,
,,2037T-091-6021,6021.0,52733.0,"Hood Fume, 2037T-421",Room 421,Hood Room 421,OPERATING,,,,,,,,
,,2037T-091-6022,6022.0,55750.0,"Hood,Fume, 2037T-406-S",Room 406,Room 406,OPERATING,,,,,,,,
,,2037T-091-6023,6023.0,55749.0,"Hood,Fume, 2037T-406-N",Room 406,Room 406,OPERATING,,,,,,,,
,,2037T-091-6024,6024.0,102121.0,"Hood,Fume, 2037T-B05",Room B05 Concrete Lab,Room B05 Concrete Lab,OPERATING,,,,,,,,
