oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Vet Medical Center,1164,1164-091-6001,6001.0,52413.0,"Hood,Fume, 1164-C1027A",C1027A,Hood 1164-C1027A,OPERATING,,,,,,,,
,,1164-091-6002,6002.0,134059.0,"Hood,Fume, 1164-C4134",C4134,C4134,OPERATING,,,,,,,,
,,1164-091-6004,6004.0,52415.0,"Hood,Fume, 1164-C1054K",C1054,Hood Room C1054,OPERATING,,,,,,,,
,,1164-091-6006,6006.0,52417.0,"Hood,Fume, 1164-C2002",C2002,Hood Room C2002,OPERATING,,,,,,,,
,,1164-091-6007,6007.0,52418.0,"Hood,Fume, 1164-C2008",C2008,Hood Room C2008,OPERATING,,,,,,,,
,,1164-091-6008,6008.0,52419.0,"Hood,Fume, 1164-C2016",C2016,Hood Room C2016,OPERATING,,,,,,,,
,,1164-091-6009,6009.0,52420.0,"Hood,Fume, 1164-C2026",C2026,Hood Room C2026,OPERATING,,,,,,,,
,,1164-091-6014,6014.0,52426.0,"Hood,Fume, 1164-C2040",C2040,Hood Room C2040,OPERATING,,,,,,,,
,,1164-091-6015,6015.0,52428.0,"Hood,Fume, 1164-C2222",C2222,Hood Room C2222,OPERATING,,,,,,,,
,,1164-091-6016,6016.0,52429.0,"Hood,Fume, 1164-C3102",C3102,Hood Room C3102,OPERATING,,,,,,,,
,,1164-091-6017,6017.0,52430.0,"Hood,Fume, 1164-C3104",C3104,Hood Room C3104,OPERATING,,,,,,,,
,,1164-091-6018,6018.0,52431.0,"Hood,Fume, 1164-C3114",C3114,Hood Room C3114,OPERATING,,,,,,,,
,,1164-091-6019,6019.0,52432.0,"Hood,Fume, 1164-C3115",C3115,Hood Room C3115,OPERATING,,,,,,,,
,,1164-091-6020,6020.0,52433.0,"Hood,Fume, 1164-C3122",C3122,Hood Room C3122,OPERATING,,,,,,,,
,,1164-091-6021,6021.0,52434.0,"Hood,Fume, 1164-C3126",C3126,Hood Room C3126,OPERATING,,,,,,,,
,,1164-091-6022,6022.0,52435.0,"Hood,Fume, 1164-C3130",C3130,Hood Room C3130,OPERATING,,,,,,,,
,,1164-091-6023,6023.0,52436.0,"Hood,Fume, 1164-C3132",C3132,Hood Room C3132,OPERATING,,,,,,,,
,,1164-091-6024,6024.0,52437.0,"Hood,Fume, 1164-C3134",C3134,Hood Room C3134,OPERATING,,,,,,,,
,,1164-091-6025,6025.0,52438.0,"Hood,Fume, 1164-C3140",C3140,Hood Room C3140,OPERATING,,,,,,,,
,,1164-091-6026,6026.0,52439.0,"Hood,Fume, 1164-C3144",C3144,Hood Room C3144,OPERATING,,,,,,,,
,,1164-091-6027,6027.0,52440.0,"Hood,Fume, 1164-C3156",C3156,Hood Room C3156,OPERATING,,,,,,,,
,,1164-091-6028,6028.0,52441.0,"Hood,Fume, 1164-C3164",C3164,Hood Room C3164,OPERATING,,,,,,,,
,,1164-091-6029,6029.0,52442.0,"Hood,Fume, 1164-C3172",C3172,Hood Room C3172,OPERATING,,,,,,,,
