oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Vet Research Tower,1140,1140-091-6002,6002.0,52810.0,"Hood Fume, 1140-T2001",Room T2001,Hood Room T2001,OPERATING,,,,,,,,
,,1140-091-6003,6003.0,52811.0,"Hood Fume, 1140-T2001E",Room T2001E,Hood Room T2001E,OPERATING,,,,,,,,
,,1140-091-6004,6004.0,52822.0,"Hood Fume, 1140-T2007",Room T2007,Hood Room T2007,OPERATING,,,,,,,,
,,1140-091-6005,6005.0,52827.0,"Hood Fume, 1140-T2007C",Room T2007C,Hood Room T2007C,OPERATING,,,,,,,,
,,1140-091-6006,6006.0,52830.0,"Hood Fume, 1140-T3001-E",Room T3001,Hood Room T3001,OPERATING,,,,,,,,
,,1140-091-6007,6007.0,52832.0,"Hood Fume, 1140-T3001-W",Room T3001,Hood Room T3001,OPERATING,,,,,,,,
,,1140-091-6008,6008.0,52839.0,"Hood Fume, 1140-T4009",Room T4009,Hood Room T4009,OPERATING,,,,,,,,
,,1140-091-6009,6009.0,52844.0,"Hood Fume, 1140-T4017-E",Room T4017,Hood Room T4017,OPERATING,,,,,,,,
,,1140-091-6010,6010.0,52845.0,"Hood Fume, 1140-T4017-W",Room T4017,Hood Room T4017,OPERATING,,,,,,,,
,,1140-091-6011,6011.0,52846.0,"Hood Fume, 1140-T4021",Room T4021,Hood Room T4021,OPERATING,,,,,,,,
,,1140-091-6012,6012.0,52847.0,"Hood Fume, 1140-T5003",Room T5003,Hood Room T5003,OPERATING,,,,,,,,
,,1140-091-6013,6013.0,52848.0,"Hood Fume, 1140-T5011",Room T5011,Hood Room T5011,OPERATING,,,,,,,,
,,1140-091-6014,6014.0,52849.0,"Hood,Fume, 1140-T5013",Room T5013,Hood Room T5013,OPERATING,,,,,,,,
,,1140-091-6016,6016.0,52851.0,"Hood Fume, 1140-T5021",Room T5021,Hood Room T5021,OPERATING,,,,,,,,
,,1140-091-6019,6019.0,52853.0,"Hood,Fume, 1140-T6007-1",Room T6007,Hood Room T6007,OPERATING,,,,,,,,
,,1140-091-6022,6022.0,52854.0,"Hood,Fume, 1140-T6007-2",Room T6007,Hood Room T6007,OPERATING,,,,,,,,
,,1140-091-6023,6023.0,52855.0,"Hood,Fume, 1140-T6007-3",Room T6007,Hood Room T6007,OPERATING,,,,,,,,
,,1140-091-6027,6027.0,52858.0,"Hood,Fume, 1140-T7007-1",Room T7007,Hood Room T7007,OPERATING,,,,,,,,
,,1140-091-6028,6028.0,52859.0,"Hood,Fume, 1140-T7007-2",Room T7007,Hood Room T7007,OPERATING,,,,,,,,
,,1140-091-6030,6030.0,52861.0,"Hood,Fume, 1140-T7007-3",Room T7007,Hood Room T7007,OPERATING,,,,,,,,
,,1140-091-6031,6031.0,52862.0,"Hood,Fume, 1140-T8007-2",Room T8007,Hood Room T8007,OPERATING,,,,,,,,
,,1140-091-6040,6040.0,52870.0,"Hood Fume, 1140-T9007-01",Room T9007,Hood Room T9007,OPERATING,,,,,,,,
,,1140-091-6041,6041.0,52871.0,"Hood Fume, 1140-T9007-02",Room T9007,Hood Room T9007,OPERATING,,,,,,,,
,,1140-091-6042,6042.0,52872.0,"Hood Fume, 1140-TB013",Room TB013,Hood Room TB013,OPERATING,,,,,,,,
,,1140-091-6043,6043.0,55866.0,"Hood,Fume, 1140-T8007-1",Room T8007,Room T8007,OPERATING,,,,,,,,
,,1140-091-6044,6042.0,100215.0,"Hood,Fume, 1140-TB016",Room TB016,Hood Room TB016,OPERATING,,,,,,,,
,,1140-091-6045,6045.0,120292.0,"Hood,Fume, 1140-T3001-D",Room T3001,Room T3001,OPERATING,,,,,,,,
,,1140-091-6046,6046.0,120293.0,"Hood,Fume, 1140-T8007-3",Room T8007,Room T8007,OPERATING,,,,,,,,
,,1140-091-6047,6004.0,52695.0,"Hood,Fume, 1140-T8007-3",T8007,T8007,OPERATING,,,,,,,,
