oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Weill Hall,1014,1014-091-6001,6001.0,61137.0,"Hood,Fume, 1014-413B",413B,413B,OPERATING,,,,,,,,
,,1014-091-6002,6002.0,61138.0,"Hood,Fume, 1014-414B",414B,414B,OPERATING,,,,,,,,
,,1014-091-6003,6003.0,61139.0,"Hood,Fume, 1014-410B",410B,410B,OPERATING,,,,,,,,
,,1014-091-6004,6004.0,61140.0,"Hood,Fume, 1014-464B",464B,464B,OPERATING,,,,,,,,
,,1014-091-6005,6005.0,61141.0,"Hood,Fume, 1014-440",440,440,HIBERNATION,,,,,,,,
,,1014-091-6006,6006.0,61142.0,"Hood,Fume, 1014-409B",409B,409B,OPERATING,,,,,,,,
,,1014-091-6007,6007.0,61143.0,"Hood,Fume, 1014-438A",438A,438A,OPERATING,,,,,,,,
,,1014-091-6008,6008.0,61144.0,"Hood,Fume, 1014-452",452,452,OPERATING,,,,,,,,
,,1014-091-6009,6009.0,61145.0,"Hood,Fume, 1014-448",448,448,OPERATING,,,,,,,,
,,1014-091-6010,6010.0,61146.0,"Hood,Fume, 1014-434A",434A,434A,OPERATING,,,,,,,,
,,1014-091-6011,6011.0,61147.0,"Hood,Fume, 1014-444B",444B,444B,HIBERNATION,,,,,,,,
,,1014-091-6012,6012.0,61148.0,"Hood,Fume, 1014-460",460,460,OPERATING,,,,,,,,
,,1014-091-6013,6013.0,61149.0,"Hood,Fume, 1014-452B",452B,452B,OPERATING,,,,,,,,
,,1014-091-6014,6014.0,61150.0,"Hood,Fume, 1014-340A",340A,340A,OPERATING,,,,,,,,
,,1014-091-6015,6015.0,61151.0,"Hood,Fume, 1014-314B",314B,314B,OPERATING,,,,,,,,
,,1014-091-6016,6016.0,61152.0,"Hood,Fume, 1014-313B",313B,313B,OPERATING,,,,,,,,
