oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Wing Hall Wing,1042W,1042W-091-6001,6001.0,53192.0,"Hood Fume, 1042W-156",Room 156,Hood room 156,OPERATING,,,,,,,,
,,1042W-091-6002,6002.0,53193.0,"Hood Fume, 1042W-157",Room 157,Hood Room 157,OPERATING,,,,,,,,
,,1042W-091-6003,6003.0,53194.0,"Hood Fume, 1042W-175-01",Room 175,Hood Room 175,OPERATING,,,,,,,,
,,1042W-091-6004,6004.0,53195.0,"Hood Fume, 1042W-175-02",Room 175,Hood Room 175,OPERATING,,,,,,,,
,,1042W-091-6006,6006.0,53197.0,"Hood Fume, 1042W-257",Room 257,Hood Room 257,HIBERNATION,,,,,,,,
,,1042W-091-6008,6008.0,53198.0,"Hood Fume, 1042W-260",Room 260,Hood Room 260,OPERATING,,,,,,,,
,,1042W-091-6009,6009.0,53199.0,"Hood Fume, 1042W-261",Room 261,Hood Room 261,OPERATING,,,,,,,,
,,1042W-091-6010,6010.0,53200.0,"Hood Fume, 1042W-270",Room 270,Hood Room 270,OPERATING,,,,,,,,
,,1042W-091-6011,6011.0,53201.0,"Hood Fume, 1042W-270A",Room 270A,Hood Room 270A,OPERATING,,,,,,,,
,,1042W-091-6012,6012.0,53202.0,"Hood Fume, 1042W-358",Room 358,Hood Room 358,OPERATING,,,,,,,,
,,1042W-091-6013,6013.0,53203.0,"Hood Fume, 1042W-359",Room 359,Hood Room 359,OPERATING,,,,,,,,
,,1042W-091-6014,6014.0,53204.0,"Hood Fume, 1042W-360",Room 360,Hood Room 360,HIBERNATION,,,,,,,,
,,1042W-091-6015,6015.0,53205.0,"Hood Fume, 1042W-363",Room 363,Hood Room 363,HIBERNATION,,,,,,,,
,,1042W-091-6016,6016.0,53206.0,"Hood Fume, 1042W-370",Room 370,Hood room 370,HIBERNATION,,,,,,,,
,,1042W-091-6017,6017.0,53207.0,"Hood Fume, 1042W-370A",Room 370A,Hood Room 370A,HIBERNATION,,,,,,,,
,,1042W-091-6018,6018.0,53208.0,"Hood Fume, 1042W-B52",Room B52,Hood Room B52,OPERATING,,,,,,,,
,,1042W-091-6019,6019.0,53209.0,"Hood Fume, 1042W-B53",Room B53,Hood Room B53,OPERATING,,,,,,,,
,,1042W-091-6020,6020.0,53211.0,"Hood Fume, 1042W-B56",Room B56,Hood Room B56,OPERATING,,,,,,,,
,,1042W-091-6021,6021.0,53212.0,"Hood Fume, 1042W-B57",Room B57,Hood room B57,OPERATING,,,,,,,,
,,1042W-091-6024,6024.0,53213.0,"Hood Fume, 1042W-B76",Room B76,Hood Room B76,OPERATING,,,,,,,,
