2070-091-6001,6001,53794,"Hood Fume, 2070-131-NE",Room 131,Hood Room 131,OPERATING
2070-091-6002,6002,53795,"Hood Fume, 2070-131-SE",Room 131,Hood Room 131,OPERATING
2070-091-6003,6003,53796,"Hood Fume, 2070-156",Room 156,Hood Room 156,OPERATING
2070-091-6004,6004,53797,"Hood,Fume, 2070-247-1 80 FPM",Room 247,Hood Room 247,OPERATING
2070-091-6005,6005,53798,"Hood,Fume, 2070-247-2 80 FPM",Room 247,Hood Room 247,OPERATING
2070-091-6006,6006,53799,"Hood Fume, 2070-250",Room 250,Hood Room 250,OPERATING
2070-091-6007,6007,53800,"Hood Fume, 2070-258",Room 258,Hood Room 258,OPERATING
2070-091-6008,6008,53801,"Hood Fume, 2070-SB36",Room SB36,Hood Room SB36,HIBERNATION
2070-091-6011,6011,53802,"Hood Fume, 2070-344-01",Room 344,Hood Room 344,OPERATING
2070-091-6012,6012,53803,"Hood Fume, 2070-344-02",Room 344,Hood Room 344,OPERATING
2070-091-6013,6013,53804,"Hood Fume, 2070-347",Room 347,Hood Room 347,OPERATING
2070-091-6014,6014,53806,"Hood Fume, 2070-350-N",Room 350,Hood Room 350,OPERATING
2070-091-6015,6015,53807,"Hood Fume, 2070-350-SE",Room 350,Hood Room 350,OPERATING
2070-091-6016,6016,53808,"Hood Fume, 2070-350-SW",Room 350,Hood Room 350,OPERATING
2070-091-6017,6017,53809,"Hood Fume, 2070-350-W",Room 350,Hood Room 350,OPERATING
2070-091-6020,6020,53812,"Hood Fume, 2070-359-NE",Room 359,Hood Room 359,OPERATING
2070-091-6021,6021,53814,"Hood Fume, 2070-359-NW",Room 359,Hood Room 359,OPERATING
2070-091-6022,6022,53816,"Hood Fume, 2070-359-SE",Room 359,Hood Room 359,OPERATING
2070-091-6023,6023,53817,"Hood Fume, 2070-359-SW",Room 359,Hood Room 359,OPERATING
2070-091-6024,6024,53818,"Hood Fume, 2070-361",Room 361,Hood Room 361,OPERATING
2070-091-6025,6025,53819,"Hood Fume, 2070-B47A, 80 FPM",Room B47A,Hood Room B47A,OPERATING
2070-091-6027,6027,53821,"Hood Fume, 2070-SB28-NE",Room SB28-NE,Hood Room SB28-NE,OPERATING
2070-091-6028,6028,53822,"Hood Fume, 2070-SB28-NW",Room SB28-NW,Hood Room SB28-NW,OPERATING
2070-091-6029,6029,53823,"Hood Fume, 2070-SB28-SE",Room SB28-SE,Hood Room SB28-SE,OPERATING
2070-091-6030,6030,53824,"Hood Fume, 2070-SB28-SW",Room SB28-SW,Hood Room SB28-SW,OPERATING
2070-091-6031,6031,53825,"Hood Fume, 2070-SB40",Room SB40,Hood Room SB40,OPERATING
2070-091-6032,6032,55737,"Hood Fume, 2070-SB60-01",Room SB60,Hood Room SB60,OPERATING
2070-091-6033,6032,55738,"Hood Fume, 2070-SB60-02",Room SB60,Hood Room SB60,OPERATING
2070-091-6034,6034,55739,"Hood Fume, 2070-SB60-03",Room SB60,Hood Room SB60,OPERATING
2070-091-6035,6035,55740,"Hood,Fume, 2070-SB60-04",Room SB60,Hood Room SB60,OPERATING
2070-091-6036,6036,55741,"Hood,Fume, 2070-SB60-05",Room SB60,Hood Room SB60,OPERATING
2070-091-6037,6037,55742,"Hood,Fume, 2070-SB60-06",Room SB60,Hood Room SB60,OPERATING
2070-091-6038,6038,101296,"Hood,Fume, 2070-150-1",Room 150,Hood Room 150,OPERATING
2070-091-6039,6039,101297,"Hood,Fume, 2070-150-2",Room 150,Hood Room 150,OPERATING
2070-091-6040,6040,101298,"Hood,Fume, 2070-150-3",Room 150,Hood Room 150,OPERATING
2070-091-6041,6041,101299,"Hood,Fume, 2070-150-4",Room 150,Hood Room 150,OPERATING
2070-091-6042,6042,101300,"Hood,Fume, 2070-150-5",Room 150,Hood Room 150,OPERATING
2070-091-6043,6043,102804,"Hood,Fume, 2070-B58A",Room B58A,Hood Room B58A,OPERATING
2070-091-6044,6044,102805,"Hood,Fume, 2070-B58B",Room B58B,Hood Room B58B,OPERATING
2070-091-6045,6045,118276,"Hood,Fume, 2070-356-1",Room 356,Hood Room 356,OPERATING
2070-091-6046,6046,118277,"Hood,Fume, 2070-356-2",Room 356,Hood Room 356,OPERATING
2070-091-6047,6047,118278,"Hood,Fume, 2070-356-3",Room 356,Hood Room 356,OPERATING
2070-091-6048,6048,119767,"Hood,Fume, 2070-B44A",Room B44,Hood Room B44A,OPERATING
