Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status
1018-091-6001,6001,52276,"Hood Fume, 1018-141",141,141,OPERATING
1018-091-6002,6002,52277,"Hood Fume, 1018-143",143,143,OPERATING
1018-091-6003,6003,52311,"Hood,Fume, 1018-147B",147B,147B,OPERATING
1018-091-6004,6004,52313,"Hood,Fume, 1018-153",153,153,OPERATING
1018-091-6005,6005,52314,"Hood Fume, 1018-153B",153,153,OPERATING
1018-091-6006,6006,52315,"Hood,Fume, 1018-155",155,155,OPERATING
1018-091-6007,6007,52317,"Hood Fume, 1018-160",160,160,OPERATING
1018-091-6008,6008,52318,"Hood,Fume, 1018-203",203,203,OPERATING
1018-091-6009,6009,52319,"Hood Fume, 1018-203B",203,203,OPERATING
1018-091-6010,6010,52320,"Hood,Fume, 1018-209",209,209,OPERATING
1018-091-6011,6011,52321,"Hood Fume, 1018-209B",209,209,OPERATING
1018-091-6013,6013,52323,"Hood Fume, 1018-217B",217,217,OPERATING
1018-091-6015,6015,52325,"Hood,Fume, 1018-221",221,221,OPERATING
1018-091-6016,6016,52326,"Hood Fume, 1018-221B",221,221,OPERATING
1018-091-6017,6017,52327,"Hood,Fume, 1018-227",227,227,OPERATING
1018-091-6018,6018,52328,"Hood Fume, 1018-227B",227,227,OPERATING
1018-091-6019,6019,52329,"Hood,Fume, 1018-233",233,233,OPERATING
1018-091-6020,6020,52330,"Hood Fume, 1018-233B",233,233,OPERATING
1018-091-6021,6021,52331,"Hood Fume, 1018-236",236,236,HIBERNATION
1018-091-6022,6022,52332,"Hood,Fume, 1018-241",241,241,OPERATING
1018-091-6023,6023,52333,"Hood Fume, 1018-241B",241,241,OPERATING
1018-091-6024,6024,52334,"Hood,Fume, 1018-245",245,245,OPERATING
1018-091-6025,6025,52335,"Hood Fume, 1018-245B",245,245,OPERATING
1018-091-6026,6026,52336,"Hood,Fume, 1018-253",253,253,OPERATING
1018-091-6027,6027,52339,"Hood Fume, 1018-253B",253,253,OPERATING
1018-091-6028,6028,52340,"Hood,Fume, 1018-257",257,257,OPERATING
1018-091-6029,6029,52341,"Hood Fume, 1018-257B",257,257,OPERATING
1018-091-6030,6030,52342,"Hood,Fume, 1018-260",260,260,OPERATING
1018-091-6031,6031,52343,"Hood Fume, 1018-260B",260,260,OPERATING
