Point List,,,,
Location:,Cornell University / Biotech Server / Baker Lab,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Baker Lab/Basement/Mechanical Room B56,,,,
,CHW Systems,,,
,,Building Return Temperature,BAI,#baker_labl_primaryprocess_chw_systems/building_return_temperature
,,Building Supply Temperature,BAI,#baker_labl_primaryprocess_chw_systems/building_supply_temperature
,,Campus Differential Pressure,BAI,#baker_labl_primaryprocess_chw_systems/campus_differential_pressure
,,Campus Return Temperature,BAI,#baker_labl_primaryprocess_chw_systems/campus_return_temperature
,,Campus Supply Temperature,BAI,#baker_labl_primaryprocess_chw_systems/campus_supply_temperature
,,Primary Differential Pressure,BAI,#baker_labl_primaryprocess_chw_systems/primary_differential_pressure
,,Process Differential Pressure,BAI,#baker_labl_primaryprocess_chw_systems/process_differential_pressure
,,Pump 1 Status,BBI,#baker_labl_primaryprocess_chw_systems/pump_1_status
,,Pump 2 Status,BBI,#baker_labl_primaryprocess_chw_systems/pump_2_status
,,Pump 3 Status,BBI,#baker_labl_primaryprocess_chw_systems/pump_3_status
,,Pump 4 Status,BBI,#baker_labl_primaryprocess_chw_systems/pump_4_status
,,CHW Valve,BAO,#baker_labl_primaryprocess_chw_systems/chw_valve
,,Pump 1 Speed,BAO,#baker_labl_primaryprocess_chw_systems/pump_1_speed
,,Pump 2 Speed,BAO,#baker_labl_primaryprocess_chw_systems/pump_2_speed
,,Pump 3 Speed,BAO,#baker_labl_primaryprocess_chw_systems/pump_3_speed
,,Pump 4 Speed,BAO,#baker_labl_primaryprocess_chw_systems/pump_4_speed
,,Pump 1 S/S,BBO,#baker_labl_primaryprocess_chw_systems/pump_1_ss
,,Pump 2 S/S,BBO,#baker_labl_primaryprocess_chw_systems/pump_2_ss
,,Pump 3 S/S,BBO,#baker_labl_primaryprocess_chw_systems/pump_3_ss
,,Pump 4 S/S,BBO,#baker_labl_primaryprocess_chw_systems/pump_4_ss
,,chw_load_shed,BAV,#baker_labl_primaryprocess_chw_systems/m1116
,,CHWS Setpoint,BAV,#baker_labl_primaryprocess_chw_systems/chw_setpoint
,,Fixed Supply Temp Stpt,BAV,#baker_labl_primaryprocess_chw_systems/fixed_supply_temp_stpt
,,P1 VFD Freq,BAV,#baker_labl_primaryprocess_chw_systems/p1_vfd_freq
,,P2 VFD Freq,BAV,#baker_labl_primaryprocess_chw_systems/p2_vfd_freq
,,P3 VFD Freq,BAV,#baker_labl_primaryprocess_chw_systems/p3_vfd_freq
,,P4 VFD Freq,BAV,#baker_labl_primaryprocess_chw_systems/p4_vfd_freq
,,Primary Differential Pressure,BAV,#baker_labl_primaryprocess_chw_systems/primary_dp
,,Primary Differential Pressure Setpt,BAV,#baker_labl_primaryprocess_chw_systems/primary_dp_stpt
,,Primary Differential Pressure Static Deviation Percentage,BAV,#baker_labl_primaryprocess_chw_systems/primary_dp_dev
,,Process Differential Pressure,BAV,#baker_labl_primaryprocess_chw_systems/process_dp
,,Process Differential Pressure Setpt,BAV,#baker_labl_primaryprocess_chw_systems/process_dp_stpt
,,Process Differential Pressure Static Deviation Percentage,BAV,#baker_labl_primaryprocess_chw_systems/process_dp_dev
,,Proportional In 1,BAV,#baker_labl_primaryprocess_chw_systems/prop_in_1
,,Proportional In 2,BAV,#baker_labl_primaryprocess_chw_systems/prop_in_2
,,Proportional Out 1,BAV,#baker_labl_primaryprocess_chw_systems/prop_out_1
,,Proportional Out 2,BAV,#baker_labl_primaryprocess_chw_systems/prop_out_2
,,Runtime,BAV,#baker_labl_primaryprocess_chw_systems/primary_runtime1
,,Runtime,BAV,#baker_labl_primaryprocess_chw_systems/process_runtime1
,,SAT Deviation,BAV,#baker_labl_primaryprocess_chw_systems/sat_dev
,,steam_load_shed,BAV,#baker_labl_primaryprocess_chw_systems/m622
,,CHW STPT 53,BBV,#baker_labl_primaryprocess_chw_systems/chw_stpt_53
,,EM Power Pressure Alarm Enable,BBV,#baker_labl_primaryprocess_chw_systems/em_press_enbl
,,EM Power Pump Alarm Enable,BBV,#baker_labl_primaryprocess_chw_systems/em_pump_enbl
,,EM Power Temp Alarm Enable,BBV,#baker_labl_primaryprocess_chw_systems/em_temp_enbl
,,Hot Water Supply Temp Stpt Select,BBV,#baker_labl_primaryprocess_chw_systems/hw_supply_temp_stpt_select
,,Manual Override Lock,BBV,#baker_labl_primaryprocess_chw_systems/man_ovrde_lock
,,Manual Override State,BBV,#baker_labl_primaryprocess_chw_systems/man_ovrde_state
,,Primary Pump Status,BBV,#baker_labl_primaryprocess_chw_systems/primary_pump_status
,,Process Pump Status,BBV,#baker_labl_primaryprocess_chw_systems/process_pump_status
,,Run,BBV,#baker_labl_primaryprocess_chw_systems/run
,,Day of Week for Rotation,BMSV,#baker_labl_primaryprocess_chw_systems/primary_rotation_day
,,Day of Week for Rotation,BMSV,#baker_labl_primaryprocess_chw_systems/process_rotation_day
,,Primary Rotation Method Selector,BMSV,#baker_labl_primaryprocess_chw_systems/primary_rotation_method
,,Rotation Method Selector,BMSV,#baker_labl_primaryprocess_chw_systems/process_rotation_method
,,CCHWRT_ERROR,BALM,#baker_labl_primaryprocess_chw_systems/cchwrt_error
,,CCHWST_ERROR,BALM,#baker_labl_primaryprocess_chw_systems/cchwst_error
,,CHWRT_ERROR,BALM,#baker_labl_primaryprocess_chw_systems/chwrt_error
,,CHWST_ERROR,BALM,#baker_labl_primaryprocess_chw_systems/chwst_error
,,CHWST_HI,BALM,#baker_labl_primaryprocess_chw_systems/chwst_hi
,,CHWST_LO,BALM,#baker_labl_primaryprocess_chw_systems/chwst_lo
,,P1_FAIL,BALM,#baker_labl_primaryprocess_chw_systems/p1_fail
,,P1_HAND,BALM,#baker_labl_primaryprocess_chw_systems/p1_hand
,,P2_FAIL,BALM,#baker_labl_primaryprocess_chw_systems/p2_fail
,,P2_HAND,BALM,#baker_labl_primaryprocess_chw_systems/p2_hand
,,P3_FAIL,BALM,#baker_labl_primaryprocess_chw_systems/p3_fail
,,P3_HAND,BALM,#baker_labl_primaryprocess_chw_systems/p3_hand
,,P4_FAIL,BALM,#baker_labl_primaryprocess_chw_systems/p4_fail
,,P4_HAND,BALM,#baker_labl_primaryprocess_chw_systems/p4_hand
,,PRI_DP_HI,BALM,#baker_labl_primaryprocess_chw_systems/pri_dp_hi
,,PRI_DP_LO,BALM,#baker_labl_primaryprocess_chw_systems/pri_dp_lo
,,PRO_DP_HI,BALM,#baker_labl_primaryprocess_chw_systems/pro_dp_hi
,,PRO_DP_LO,BALM,#baker_labl_primaryprocess_chw_systems/pro_dp_lo
,,Chilled Water,ANI,#baker_labl_primaryprocess_chw_systems/chilled_load_shed
,,Emergency Power,BNI,#baker_labl_primaryprocess_chw_systems/em_power
,,OA Humidity,ANI,#baker_labl_primaryprocess_chw_systems/oah
,,OA Temp,ANI,#baker_labl_primaryprocess_chw_systems/oat
,,Steam,ANI,#baker_labl_primaryprocess_chw_systems/steam_load_shed
,,BACnet PID,BPID,#baker_labl_primaryprocess_chw_systems/m165
,,BACnet PID / Setpoint,BAV,#baker_labl_primaryprocess_chw_systems/m165/setpt
,,BACnet PID / Input,BAV,#baker_labl_primaryprocess_chw_systems/m165/input
,,BACnet PID / PID out,BAV,#baker_labl_primaryprocess_chw_systems/m165/pidout
,,BACnet PID,BPID,#baker_labl_primaryprocess_chw_systems/m290
,,BACnet PID / Setpoint,BAV,#baker_labl_primaryprocess_chw_systems/m290/setpt
,,BACnet PID / Input,BAV,#baker_labl_primaryprocess_chw_systems/m290/input
,,BACnet PID / PID out,BAV,#baker_labl_primaryprocess_chw_systems/m290/pidout
,,BACnet PID,BPID,#baker_labl_primaryprocess_chw_systems/m445
,,BACnet PID / Setpoint,BAV,#baker_labl_primaryprocess_chw_systems/m445/setpt
,,BACnet PID / Input,BAV,#baker_labl_primaryprocess_chw_systems/m445/input
,,BACnet PID / PID out,BAV,#baker_labl_primaryprocess_chw_systems/m445/pidout
/Cornell University/Biotech Server/Baker Lab/Basement/AHU-2 Zones,,,,
,B00CE (VAV-BX1),,,
,,Supply Flow Control,BAF,#baker_lab_b00ce_vav-bx1/supply_airflow
,,Supply Flow Control / Flow Input,BAI,#baker_lab_b00ce_vav-bx1/supply_airflow/flow_input
,,Setpoint,BSPTCS,#baker_lab_b00ce_vav-bx1/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,#baker_lab_b00ce_vav-bx1/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,#baker_lab_b00ce_vav-bx1/setpt/occupied_heat_setpoint
,,Setpoint / Cooling Unoccupied Setpoint,BAV,#baker_lab_b00ce_vav-bx1/setpt/unoccupied_cool_setpoint
