,AHU-1-2,,,
,,AHUSTATC,BAI,#bard-ahu-1-2/supply_stat_press
,,FILTER-A,BAI,#bard-ahu-1-2/airfl-a
,,FILTER-B,BAI,#bard-ahu-1-2/airfl-b
,,DA Humidity,BAI,#bard-ahu-1-2/dah
,,DISCTEMP,BAI,#bard-ahu-1-2/ac3_sat
,,OA Temp,BAI,#bard-ahu-1-2/oat
,,PREH-A-B,BAI,#bard-ahu-1-2/preh-a-b
,,PREH-A-T,BAI,#bard-ahu-1-2/preh-a-t
,,PREH-B-B,BAI,#bard-ahu-1-2/preh-b-b
,,PREH-B-T,BAI,#bard-ahu-1-2/preh-b-t
,,AHU1RUN,BBI,#bard-ahu-1-2/run1
,,AHU2RUN,BBI,#bard-ahu-1-2/run2
,,AHU1CW,BAO,#bard-ahu-1-2/chw_valve
,,AHU2CW,BAO,#bard-ahu-1-2/chw_valve2
,,FAN-1,BAO,#bard-ahu-1-2/vfd1
,,FAN-2,BAO,#bard-ahu-1-2/vfd2
,,PREH-1,BAO,#bard-ahu-1-2/hw_valve1
,,PREH-2,BAO,#bard-ahu-1-2/hw_valve2
,,AHU1SS,BBO,#bard-ahu-1-2/ss1
,,AHU2SS,BBO,#bard-ahu-1-2/ss2
,,A filter DP,BAV,#bard-ahu-1-2/apfdp
,,B filter DP,BAV,#bard-ahu-1-2/bpfdp
,,chw_load_shed,BAV,#bard-ahu-1-2/m1116
,,Cool Request,BAV,#bard-ahu-1-2/cool_request
,,Heat Request,BAV,#bard-ahu-1-2/heat_request
,,Max Zone Supply Airflow,BAV,#bard-ahu-1-2/max_zn_sflow_av
,,Min Zone Supply Airflow,BAV,#bard-ahu-1-2/min_zn_sflow_av
,,Non-Lab Schedule Active,BAV,#bard-ahu-1-2/non-lab_schedule_active_av
,,Non-Lab Schedule Count,BAV,#bard-ahu-1-2/non-lab_schedule_count_av
,,Non-Lab Setback Active,BAV,#bard-ahu-1-2/non-lab_setback_active_av
,,Non-Lab Setback Count,BAV,#bard-ahu-1-2/non-lab_setback_count_av
,,OA Dewpoint,BAV,#bard-ahu-1-2/oa_dewpoint
,,OA Temp,BAV,#bard-ahu-1-2/oatemp
,,point name,BAV,#bard-ahu-1-2/m485
,,point name,BAV,#bard-ahu-1-2/m756
,,Preheat Setpoint,BAV,#bard-ahu-1-2/phtsp
,,Preheat Setpoint,BAV,#bard-ahu-1-2/phtsp1
,,SA Static Pressure,BAV,#bard-ahu-1-2/dstpr
,,SA Static Pressure Setpoint,BAV,#bard-ahu-1-2/static_stpt
,,SAT Deviation,BAV,#bard-ahu-1-2/sat_dev
,,Satic Pressure Setpoint,BAV,#bard-ahu-1-2/sa_static_stpt1
,,SFA VFD Freq,BAV,#bard-ahu-1-2/freq1
,,SF VFD Freq,BAV,#bard-ahu-1-2/freq2
,,Static Deviation,BAV,#bard-ahu-1-2/static_dev
,,steam_load_shed,BAV,#bard-ahu-1-2/m726
,,Supply Air Setpoint,BAV,#bard-ahu-1-2/sasp
,,Supply Air Temp Setpoint,BAV,#bard-ahu-1-2/sa_setpt
,,Total Zone Supply Airflow,BAV,#bard-ahu-1-2/total_zone_sflow_av
,,Unocc Min Zone Supply Airflow,BAV,#bard-ahu-1-2/unocc_min_zn_sflow_av
,,EM Power Fan Alarm Enable,BBV,#bard-ahu-1-2/em_fan_enbl
,,EM Power Filter Alarm Enable,BBV,#bard-ahu-1-2/em_filter_enbl
,,EM Power Flow Alarm Enable,BBV,#bard-ahu-1-2/em_flow_enbl
,,EM Power Pressure Alarm Enable,BBV,#bard-ahu-1-2/em_press_enbl
,,EM Power Temp Alarm Enable,BBV,#bard-ahu-1-2/em_temp_enbl
,,Force CHW Valve Close,BBV,#bard-ahu-1-2/force_chw_valve_close
,,Force OA Close,BBV,#bard-ahu-1-2/force_oa_close
,,Force OA Close,BBV,#bard-ahu-1-2/force_oa_close_chw
,,Force Off,BBV,#bard-ahu-1-2/force_off
,,Force RA Open,BBV,#bard-ahu-1-2/force_ra_open
,,Force SAT 65,BBV,#bard-ahu-1-2/force_sat_65
,,Force SAT 70,BBV,#bard-ahu-1-2/force_sat_70
,,Manual Override Lock,BBV,#bard-ahu-1-2/man_ovrde_lock
,,Manual Override State,BBV,#bard-ahu-1-2/man_ovrde_state
,,Run,BBV,#bard-ahu-1-2/go
,,Run,BBV,#bard-ahu-1-2/run
,,FAN1_FAIL,BALM,#bard-ahu-1-2/sf_fail4a
,,FAN1_HAND,BALM,#bard-ahu-1-2/sf_hand4a
,,FAN2_FAIL,BALM,#bard-ahu-1-2/sf_fail4b
,,FAN2_HAND,BALM,#bard-ahu-1-2/sf_hand4b
,,A_FILTER,BALM,#bard-ahu-1-2/afilter
,,B_FILTER,BALM,#bard-ahu-1-2/bfilter
,,PHT_AB_ERROR,BALM,#bard-ahu-1-2/phtab_error
,,PHT_AT_ERROR,BALM,#bard-ahu-1-2/phtat_error
,,PHT_BB_ERROR,BALM,#bard-ahu-1-2/phtbb_error
,,PHT_BT_ERROR,BALM,#bard-ahu-1-2/phtbt_error
,,SAT_ERROR,BALM,#bard-ahu-1-2/sat_error
,,SAT_HI,BALM,#bard-ahu-1-2/sat_hi
,,SAT_LO,BALM,#bard-ahu-1-2/sat_lo
,,SSP_HI,BALM,#bard-ahu-1-2/ssp_hi
,,SSP_LO,BALM,#bard-ahu-1-2/ssp_lo
