Point List,,,,
Location:,Cornell University / Endowed Server / Olin Hall,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Endowed Server/Olin Hall/Basement/Mechanical Room B00UA,,,,
,Chilled Beam System,,,
,,Basement Humidity 1,BAI,#olin_chilled_beam_system/base_humid_1
,,Basement Humidity 2,BAI,#olin_chilled_beam_system/base_humid_2
,,Basement Temp 1,BAI,#olin_chilled_beam_system/base_temp_1
,,Basement Temp 2,BAI,#olin_chilled_beam_system/base_temp_2
,,CBWR Temp,BAI,#olin_chilled_beam_system/cbwr_temp
,,CBWS Temp,BAI,#olin_chilled_beam_system/cbws_temp
,,CBW Diff Press,BAI,#olin_chilled_beam_system/delta_press
,,First Floor Humidity Rm158,BAI,#olin_chilled_beam_system/first_humid_1
,,First Floor Humidity Rm160,BAI,#olin_chilled_beam_system/first_humid_2
,,First Floor Humidity Rm128,BAI,#olin_chilled_beam_system/first_humid_3
,,First Floor Temp Rm158,BAI,#olin_chilled_beam_system/first_temp_1
,,First Floor Temp Rm160,BAI,#olin_chilled_beam_system/first_temp_2
,,First Floor Temp Rm128,BAI,#olin_chilled_beam_system/first_temp_3
,,Second Floor Humidity Rm276,BAI,#olin_chilled_beam_system/second_humid_1
,,Second Floor Humidity Rm228,BAI,#olin_chilled_beam_system/second_humid_2
,,Second Floor Temp Rm276,BAI,#olin_chilled_beam_system/second_temp_1
,,Second Floor Temp Rm228,BAI,#olin_chilled_beam_system/second_temp_2
,,Third Floor Humidity Rm356,BAI,#olin_chilled_beam_system/third_humid_1
,,Third Floor Humidity Rm345,BAI,#olin_chilled_beam_system/third_humid_2
,,Third Floor Temp Rm356,BAI,#olin_chilled_beam_system/third_temp_1
,,Third Floor Temp Rm345,BAI,#olin_chilled_beam_system/third_temp_2
,,CHW Pump 2 Status,BBI,#olin_chilled_beam_system/chw_pump_2_status
,,CHWP 2 VFD Output,BAO,#olin_chilled_beam_system/chwp_2_vfd_output
,,PCHW Valve Control,BAO,#olin_chilled_beam_system/pchw_cntrl
,,CHW Pump 2 S/S,BBO,#olin_chilled_beam_system/chw_pump_2
,,Basement 1 DP,BAV,#olin_chilled_beam_system/basement_1_dp
,,Basement 2 DP,BAV,#olin_chilled_beam_system/basement_2_dp
,,Basement Max Dewpoint,BAV,#olin_chilled_beam_system/basement_max_dewpt
,,Delta Pressure Setpt,BAV,#olin_chilled_beam_system/dpstpt
,,First 1 DP,BAV,#olin_chilled_beam_system/first_1_dp
,,First 2 DP,BAV,#olin_chilled_beam_system/first_2_dp
,,First 3 DP,BAV,#olin_chilled_beam_system/first_3_dp
,,First Floor Max Dewpoint,BAV,#olin_chilled_beam_system/first_floor_max_dewpt
,,Initial Water Setpoint,BAV,#olin_chilled_beam_system/m118
