Location,Control Program,Name,Type,ObjectId,DeviceId,ObjectName,Path
,,General Exhaust Air Valve Flow Feedback,BAI,AI:6,DEV:1018362,gex_flow_fbk_1,#lab_g49/gex_flow_fbk
,,Hood Exhaust Air Valve Flow Feedback,BAI,AI:2,DEV:1018362,hev_flow_fbk_1,#lab_g49/hev_flow_fbk
,,Supply Air Valve Flow Feedback,BAI,AI:4,DEV:1018362,sav_flow_fbk_1,#lab_g49/sav_flow_fbk
,,Supply Air Valve Flow Feedback,BAI,AI:2,DEV:1018363,sav_flow_fbk_1,#equipment_rm_g49a/sav_flow_fbk
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:1018358,sup_air_flow_flow_input_1,#biotech/biotech_ground_floor/ground_floor_non_fume_hood_lab_spaces/space_g53_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018364,flow_input_1,#biotech/biotech_ground_floor/ground_floor_non_fume_hood_lab_spaces/space_g53a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:1018359,sup_air_flow_flow_input_1,#biotech/biotech_ground_floor/ground_floor_non_fume_hood_lab_spaces/space_g55g55a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:1018357,sup_air_flow_flow_input_1,#biotech/biotech_ground_floor/ground_floor_non_fume_hood_lab_spaces/space_g56_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018421,flow_input_1,#vav/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018391,flow_input_1,#g01_vav_1/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018382,flow_input_1,#g10_vav-1/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018383,flow_input_1,#g10_vav-3/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018384,flow_input_1,#g10_vav-4/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018385,flow_input_1,#copy_of_g10_vav-2/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018386,flow_input_1,#biotech_g09_vav-ge/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018388,flow_input_1,#biotech_g0024_vav-gh/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018389,flow_input_1,#biotech_g0040n_vav-gi/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018390,flow_input_1,#biotech_g07_vav-gj/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018392,flow_input_1,#biotech_g00040s_vav-gl/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018393,flow_input_1,#biotech_g0023_vav-gm/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018394,flow_input_1,#biotech_g0040se_vav-gn/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018395,flow_input_1,#biotech_g0022_vav-go/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:1018302,flow_input_1,#biotech_corridor_g0020_g0021_and_g0047/supply_airflow/flow_input
