lab,Object ID,Device ID,Name
Lab G49,AI:6,DEV:1018362,General Exhaust Air Valve Flow Feedback
Lab G49,AI:2,DEV:1018362,Hood Exhaust Air Valve Flow Feedback
Lab G49,AI:4,DEV:1018362,Supply Air Valve Flow Feedback
Equipment Rm G49A,AI:2,DEV:1018363,Supply Air Valve Flow Feedback
Lab G54 Control,AI:3,DEV:1018354,HOOD FLOW
Lab 141 Control,AI:3,DEV:48702,HOOD FLOW
Lab 143 Control,AI:3,DEV:48703,HOOD FLOW
Lab 147B Control,AI:3,DEV:48705,HOOD FLOW
Lab 153 Control,AI:3,DEV:48706,HOOD FLOW
Lab 153B Control,AI:3,DEV:48707,HOOD FLOW
Lab 155 Control,AI:3,DEV:48708,HOOD FLOW
Lab 160 Control,AI:3,DEV:48709,HOOD FLOW
Lab 267A HVAC,AI:1,DEV:48542,EAV-1 Flow Feedback
Lab 267A HVAC,AI:3,DEV:48542,SAV-1 Flow Feedback
Lab 267 HVAC,AI:1,DEV:48552,EAV-1 Flow Feedback
Lab 267 HVAC,AI:3,DEV:48552,SAV-1 Flow Feedback
Lab 267B HVAC,AI:2,DEV:48553,EAV-1 Flow Feedback
Lab 267B HVAC,AI:3,DEV:48553,Fume Hood-1 Flow Feedback
Lab 267B HVAC,AI:5,DEV:48553,SAV-1 Flow Feedback
Lab 209 HVAC,AI:2,DEV:48515,EAV-1 Flow Feedback
Lab 209 HVAC,AI:3,DEV:48515,Fume Hood-1 Flow Feedback
Lab 209 HVAC,AI:6,DEV:48515,SAV-1 Flow Feedback
209A HVAC,AI:1,DEV:48518,EAV-1 Flow Feedback
209A HVAC,AI:4,DEV:48518,SAV-1 Flow Feedback
Lab 209B HVAC,AI:2,DEV:48516,EAV-1 Flow Feedback
Lab 209B HVAC,AI:3,DEV:48516,Fume Hood-1 Flow Feedback
Lab 209B HVAC,AI:6,DEV:48516,SAV-1 Flow Feedback
Lab 203 HVAC,AI:1,DEV:48513,EAV-1 Flow Feedback
Lab 203 HVAC,AI:6,DEV:48513,SAV-1 Flow Feedback
203A HVAC,AI:1,DEV:48517,EAV-1 Flow Feedback
203A HVAC,AI:3,DEV:48517,SAV-1 Flow Feedback
Lab 203B HVAC,AI:2,DEV:48514,EAV-1 Flow Feedback
Lab 203B HVAC,AI:3,DEV:48514,Fume Hood-1 Flow Feedback
Lab 203B HVAC,AI:6,DEV:48514,SAV-1 Flow Feedback
Lab 245 HVAC,AI:2,DEV:48444,EAV-1 Flow Feedback
Lab 245 HVAC,AI:3,DEV:48444,Fume Hood-1 Flow Feedback
Lab 245 HVAC,AI:6,DEV:48444,SAV-1 Flow Feedback
245A HVAC,AI:1,DEV:48433,EAV-1 Flow Feedback
245A HVAC,AI:3,DEV:48433,SAV-1 Flow Feedback
Lab 245B HVAC,AI:2,DEV:48445,EAV-1 Flow Feedback
Lab 245B HVAC,AI:3,DEV:48445,Fume Hood-1 Flow Feedback
Lab 245B HVAC,AI:6,DEV:48445,SAV-1 Flow Feedback
Lab 208 HVAC,AI:1,DEV:48527,EAV-1 Flow Feedback
Lab 208 HVAC,AI:3,DEV:48527,SAV-1 Flow Feedback
Lab 208A HVAC,AI:1,DEV:48528,EAV-1 Flow Feedback
Lab 208A HVAC,AI:3,DEV:48528,SAV-1 Flow Feedback
Lab 224 HVAC,AI:1,DEV:48328,EAV-1 Flow Feedback
Lab 224 HVAC,AI:4,DEV:48328,SAV-1 Flow Feedback
Lab 217B Control,AI:3,DEV:48303,HOOD FLOW
Lab 221 Control,AI:3,DEV:48305,HOOD FLOW
Lab 221B Control,AI:3,DEV:48306,HOOD FLOW
Lab 227 Control,AI:3,DEV:48307,HOOD FLOW
Lab 227B Control,AI:3,DEV:48308,HOOD FLOW
Lab 233 Control,AI:3,DEV:48309,HOOD FLOW
Lab 233B Control,AI:3,DEV:48310,HOOD FLOW
Lab 241 Control,AI:3,DEV:48411,HOOD FLOW
Lab 241B Control,AI:3,DEV:48412,HOOD FLOW
Lab 253 Demo,AI:3,DEV:48446,HOOD FLOW
Lab 253B DEMO,AI:3,DEV:48447,HOOD FLOW
Lab 257 Control,AI:3,DEV:48448,HOOD FLOW
Lab 257B Control,AI:3,DEV:48449,HOOD FLOW
Lab 260 Control,AI:3,DEV:48450,HOOD FLOW
Lab 260B Control,AI:3,DEV:48451,HOOD FLOW
Biotech Lab 345A HVAC,AI:1,DEV:49032,EAV-1 Flow Feedback
Biotech Lab 345A HVAC,AI:3,DEV:49032,SAV-1 Flow Feedback
Biotech Lab 345 HVAC,AI:2,DEV:49007,EAV-1 Flow Feedback
Biotech Lab 345 HVAC,AI:3,DEV:49007,Fume Hood-1 Flow Feedback
Biotech Lab 345 HVAC,AI:5,DEV:49007,SAV-1 Flow Feedback
Biotech Lab 345B HVAC,AI:1,DEV:49008,EAV-1 Flow Feedback
Biotech Lab 345B HVAC,AI:3,DEV:49008,SAV-1 Flow Feedback
Lab 303 Control,AI:3,DEV:49143,HOOD FLOW
Lab 303B Control,AI:3,DEV:49144,HOOD FLOW
Lab 309 Control,AI:3,DEV:49102,HOOD FLOW
Lab 309B Control,AI:3,DEV:49103,HOOD FLOW
Lab 317 Control,AI:3,DEV:489118,HOOD FLOW
Lab 317B Control,AI:3,DEV:48919,HOOD FLOW
Lab 318 Control,AI:3,DEV:48917,HOOD FLOW
Lab 321 Control,AI:3,DEV:48924,HOOD FLOW
Lab 321B Control,AI:3,DEV:48925,HOOD FLOW
Lab 327 Control,AI:3,DEV:48920,HOOD FLOW
Lab 327B Control,AI:3,DEV:48921,HOOD FLOW
Lab 333 Control,AI:3,DEV:48922,HOOD FLOW
Lab 333B DEMO,AI:3,DEV:48923,HOOD FLOW
Lab 341 Control,AI:3,DEV:49005,HOOD FLOW
Lab 341B Control,AI:3,DEV:49006,HOOD FLOW
Lab 360 DEMO,AI:3,DEV:49013,HOOD FLOW
Lab 360B DEMO,AI:3,DEV:49014,HOOD FLOW
Lab 367 DEMO,AI:3,DEV:49115,HOOD FLOW
Lab 367B DEMO,AI:3,DEV:49116,HOOD FLOW
336 HVAC,AI:2,DEV:47606,EAV-1 Flow Feedback
336 HVAC,AI:6,DEV:47606,Fume Hood-1 Flow Feedback
336 HVAC,AI:8,DEV:47606,SAV-1 Flow Feedback
Lab 353 West HVAC,AI:2,DEV:47607,EAV-1 Flow Feedback
Lab 353 West HVAC,AI:28,DEV:47607,EAV-2 Flow Feedback
Lab 353 West HVAC,AI:3,DEV:47607,Fume Hood 1 Flow Feedback
Lab 353 West HVAC,AI:6,DEV:47607,PEV-1 Flow Feedback
Lab 353 West HVAC,AI:8,DEV:47607,SAV-1 Flow Feedback
Lab 353 West HVAC,AI:11,DEV:47607,SAV-2 Flow Feedback
Lab 353 East HVAC,AI:15,DEV:47607,EAV-3 Flow Feedback
