building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Baker Institute West Wing,1,120,1,biotech_main,,,,
Baker Institute West Wing,1,122,1,biotech_main,,,,
Baker Institute West Wing,1,131,1,biotech_main,,,,
Baker Institute West Wing,1,133,1,biotech_main,,,,
Baker Institute West Wing,1,135,1,biotech_main,,,,
Baker Institute West Wing,1,220,2,biotech_main,,,,
Baker Institute West Wing,1,222,2,biotech_main,,,,
Baker Institute West Wing,1,231,2,biotech_main,,,,
Baker Institute West Wing,1,233,2,biotech_main,,,,
Baker Institute West Wing,1,235,2,biotech_main,,,,
