building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Baker Laboratory,1,101A,1,biotech_main,,,,
Baker Laboratory,2,101A,1,biotech_main,,,,
Baker Laboratory,3,101A,1,biotech_main,,,,
Baker Laboratory,1,101B,1,biotech_main,,,,
Baker Laboratory,2,101B,1,biotech_main,,,,
Baker Laboratory,3,101B,1,biotech_main,,,,
Baker Laboratory,1,101C,1,biotech_main,,,,
Baker Laboratory,2,101C,1,biotech_main,,,,
Baker Laboratory,3,101C,1,biotech_main,,,,
Baker Laboratory,1,101D,1,biotech_main,,,,
Baker Laboratory,2,101D,1,biotech_main,,,,
Baker Laboratory,3,101D,1,biotech_main,,,,
Baker Laboratory,1,101E,1,biotech_main,,,,
Baker Laboratory,2,101E,1,biotech_main,,,,
Baker Laboratory,3,101E,1,biotech_main,,,,
Baker Laboratory,1,101H,1,biotech_main,,,,
Baker Laboratory,1,110,1,biotech_main,,,,
Baker Laboratory,2,110,1,biotech_main,,,,
Baker Laboratory,3,110,1,biotech_main,,,,
Baker Laboratory,1,112,1,biotech_main,,,,
Baker Laboratory,1,230A,2,biotech_main,,,,
Baker Laboratory,1,114,1,biotech_main,,,,
Baker Laboratory,1,146,1,biotech_main,,,,
Baker Laboratory,2,146,1,biotech_main,,,,
Baker Laboratory,1,200C,2,biotech_main,,,,
Baker Laboratory,1,201A,2,biotech_main,,,,
Baker Laboratory,2,201A,2,biotech_main,,,,
Baker Laboratory,3,201A,2,biotech_main,,,,
Baker Laboratory,1,201B,2,biotech_main,,,,
Baker Laboratory,2,201B,2,biotech_main,,,,
Baker Laboratory,3,201B,2,biotech_main,,,,
Baker Laboratory,1,201C,2,biotech_main,,,,
Baker Laboratory,2,201C,2,biotech_main,,,,
Baker Laboratory,3,201C,2,biotech_main,,,,
Baker Laboratory,1,201D,2,biotech_main,,,,
Baker Laboratory,2,201D,2,biotech_main,,,,
Baker Laboratory,3,201D,2,biotech_main,,,,
Baker Laboratory,1,201E,2,biotech_main,,,,
Baker Laboratory,2,201E,2,biotech_main,,,,
Baker Laboratory,1,201H,2,biotech_main,,,,
Baker Laboratory,2,230A,2,biotech_main,,,,
Baker Laboratory,3,230A,2,biotech_main,,,,
Baker Laboratory,4,110,1,biotech_main,,,,
Baker Laboratory,1,301A,3,biotech_main,,,,
Baker Laboratory,2,301A,3,biotech_main,,,,
Baker Laboratory,3,301A,3,biotech_main,,,,
Baker Laboratory,1,301B,3,biotech_main,,,,
Baker Laboratory,2,301B,3,biotech_main,,,,
Baker Laboratory,3,301B,3,biotech_main,,,,
Baker Laboratory,1,301C,3,biotech_main,,,,
Baker Laboratory,1,301C-B,3,biotech_main,,,,
Baker Laboratory,2,301C,3,biotech_main,,,,
Baker Laboratory,1,301D,3,biotech_main,,,,
Baker Laboratory,2,301D,3,biotech_main,,,,
Baker Laboratory,3,301D,3,biotech_main,,,,
Baker Laboratory,1,301E,3,biotech_main,,,,
Baker Laboratory,2,301E,3,biotech_main,,,,
Baker Laboratory,3,301E,3,biotech_main,,,,
Baker Laboratory,1,301H,3,biotech_main,,,,
Baker Laboratory,1,305,3,biotech_main,,,,
Baker Laboratory,1,312,3,biotech_main,,,,
Baker Laboratory,1,316,3,biotech_main,,,,
Baker Laboratory,5,110,1,biotech_main,,,,
Baker Laboratory,1,B19,B,biotech_main,,,,
Baker Laboratory,2,B19,B,biotech_main,,,,
Baker Laboratory,1,B01C,B,biotech_main,,,,
Baker Laboratory,2,B01C,B,biotech_main,,,,
Baker Laboratory,3,B01C,B,biotech_main,,,,
Baker Laboratory,4,B01C,B,biotech_main,,,,
Baker Laboratory,1,B01E,B,biotech_main,,,,
Baker Laboratory,2,B01E,B,biotech_main,,,,
Baker Laboratory,1,B02,B,biotech_main,,,,
Baker Laboratory,1,B19-1,B,biotech_main,,,,
Baker Laboratory,1,B22A,B,biotech_main,,,,
Baker Laboratory,1,B24,B,biotech_main,,,,
Baker Laboratory,2,B24,B,biotech_main,,,,
Baker Laboratory,1,B27,B,biotech_main,,,,
Baker Laboratory,1,B32,B,biotech_main,,,,
Baker Laboratory,1,B35,B,biotech_main,,,,
Baker Laboratory,2,B35,B,biotech_main,,,,
Baker Laboratory,1,G01A,G,biotech_main,,,,
Baker Laboratory,2,G01A,G,biotech_main,,,,
Baker Laboratory,3,G01A,G,biotech_main,,,,
Baker Laboratory,1,G01B,G,biotech_main,,,,
Baker Laboratory,2,G01B,G,biotech_main,,,,
Baker Laboratory,3,G01B,G,biotech_main,,,,
Baker Laboratory,1,G01C,G,biotech_main,,,,
Baker Laboratory,2,G01C,G,biotech_main,,,,
Baker Laboratory,3,G01C,G,biotech_main,,,,
Baker Laboratory,1,G01D,G,biotech_main,,,,
Baker Laboratory,2,G01D,G,biotech_main,,,,
Baker Laboratory,3,G01D,G,biotech_main,,,,
Baker Laboratory,1,G01E,G,biotech_main,,,,
Baker Laboratory,2,G01E,G,biotech_main,,,,
Baker Laboratory,3,G01E,G,biotech_main,,,,
Baker Laboratory,1,G01H,G,biotech_main,,,,
Baker Laboratory,1,G16,G,biotech_main,,,,
Baker Laboratory,2,G16,G,biotech_main,,,,
Baker Laboratory,1,G24,G,biotech_main,,,,
Baker Laboratory,2,G24,G,biotech_main,,,,
Baker Laboratory,1,G32,G,biotech_main,,,,
Baker Laboratory,1,G46,G,biotech_main,,,,
Baker Laboratory,2,G46,G,biotech_main,,,,
Baker Laboratory,3,G46,G,biotech_main,,,,
Baker Laboratory,3,201E,2,biotech_main,,,,
Baker Laboratory,1,112A,1,biotech_main,,,,
Baker Laboratory,1,317,3,biotech_main,,,,
Baker Laboratory,2,317,3,biotech_main,,,,
Baker Laboratory,3,317,3,biotech_main,,,,
Baker Laboratory,4,317,3,biotech_main,,,,
Baker Laboratory,5,317,3,biotech_main,,,,
Baker Laboratory,6,317,3,biotech_main,,,,
Baker Laboratory,1,324,3,biotech_main,,,,
Baker Laboratory,2,324,3,biotech_main,,,,
Baker Laboratory,3,324,3,biotech_main,,,,
Baker Laboratory,4,324,3,biotech_main,,,,
Baker Laboratory,5,324,3,biotech_main,,,,
Baker Laboratory,6,324,3,biotech_main,,,,
Baker Laboratory,1,338A,3,biotech_main,,,,
Baker Laboratory,2,338A,3,biotech_main,,,,
Baker Laboratory,3,338A,3,biotech_main,,,,
Baker Laboratory,4,338A,3,biotech_main,,,,
Baker Laboratory,5,338A,3,biotech_main,,,,
Baker Laboratory,6,338A,3,biotech_main,,,,
Baker Laboratory,1,340B,3,biotech_main,,,,
Baker Laboratory,2,340B,3,biotech_main,,,,
Baker Laboratory,3,340B,3,biotech_main,,,,
Baker Laboratory,4,340B,3,biotech_main,,,,
Baker Laboratory,1,344A,3,biotech_main,,,,
