building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Bard Hall,1,131,1,biotech_main,,,,
Bard Hall,2,131,1,biotech_main,,,,
Bard Hall,1,156,1,biotech_main,,,,
Bard Hall,1,247,2,biotech_main,,,,
Bard Hall,2,247,2,biotech_main,,,,
Bard Hall,1,250,2,biotech_main,,,,
Bard Hall,1,258,2,biotech_main,,,,
Bard Hall,1,SB36,S,biotech_main,,,,
Bard Hall,1,344,3,biotech_main,,,,
Bard Hall,2,344,3,biotech_main,,,,
Bard Hall,1,347,3,biotech_main,,,,
Bard Hall,1,350,3,biotech_main,,,,
Bard Hall,2,350,3,biotech_main,,,,
Bard Hall,3,350,3,biotech_main,,,,
Bard Hall,4,350,3,biotech_main,,,,
Bard Hall,1,359,3,biotech_main,,,,
Bard Hall,2,359,3,biotech_main,,,,
Bard Hall,3,359,3,biotech_main,,,,
Bard Hall,4,359,3,biotech_main,,,,
Bard Hall,1,361,3,biotech_main,,,,
Bard Hall,1,B47A,B,biotech_main,,,,
Bard Hall,1,SB28-NE,S,biotech_main,,,,
Bard Hall,1,SB28-NW,S,biotech_main,,,,
Bard Hall,1,SB28-SE,S,biotech_main,,,,
Bard Hall,1,SB28-SW,S,biotech_main,,,,
Bard Hall,1,SB40,S,biotech_main,,,,
Bard Hall,1,SB60,S,biotech_main,,,,
Bard Hall,2,SB60,S,biotech_main,,,,
Bard Hall,3,SB60,S,biotech_main,,,,
Bard Hall,4,SB60,S,biotech_main,,,,
Bard Hall,5,SB60,S,biotech_main,,,,
Bard Hall,6,SB60,S,biotech_main,,,,
Bard Hall,1,150,1,biotech_main,,,,
Bard Hall,2,150,1,biotech_main,,,,
Bard Hall,3,150,1,biotech_main,,,,
Bard Hall,4,150,1,biotech_main,,,,
Bard Hall,5,150,1,biotech_main,,,,
Bard Hall,1,B58A,B,biotech_main,,,,
Bard Hall,1,B58B,B,biotech_main,,,,
Bard Hall,1,356,3,biotech_main,,,,
Bard Hall,2,356,3,biotech_main,,,,
Bard Hall,3,356,3,biotech_main,,,,
Bard Hall,1,B44,B,biotech_main,,,,
