building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Biotechnology,1,141,1,biotech_main,,,,
Biotechnology,1,143,1,biotech_main,,,,
Biotechnology,1,147B,1,biotech_main,,,,
Biotechnology,1,153,1,biotech_main,,,,
Biotechnology,2,153,1,biotech_main,,,,
Biotechnology,1,155,1,biotech_main,,,,
Biotechnology,1,160,1,biotech_main,,,,
Biotechnology,1,203,2,biotech_main,,,,
Biotechnology,2,203,2,biotech_main,,,,
Biotechnology,1,209,2,biotech_main,,,,
Biotechnology,2,209,2,biotech_main,,,,
Biotechnology,1,217,2,biotech_main,,,,
Biotechnology,1,221,2,biotech_main,,,,
Biotechnology,2,221,2,biotech_main,,,,
Biotechnology,1,227,2,biotech_main,,,,
Biotechnology,2,227,2,biotech_main,,,,
Biotechnology,1,233,2,biotech_main,,,,
Biotechnology,2,233,2,biotech_main,,,,
Biotechnology,1,236,2,biotech_main,,,,
Biotechnology,1,241,2,biotech_main,,,,
Biotechnology,2,241,2,biotech_main,,,,
Biotechnology,1,245,2,biotech_main,,,,
Biotechnology,2,245,2,biotech_main,,,,
Biotechnology,1,253,2,biotech_main,,,,
Biotechnology,2,253,2,biotech_main,,,,
Biotechnology,1,257,2,biotech_main,,,,
Biotechnology,2,257,2,biotech_main,,,,
Biotechnology,1,260,2,biotech_main,,,,
Biotechnology,2,260,2,biotech_main,,,,
Biotechnology,1,267,2,biotech_main,,,,
Biotechnology,2,267,2,biotech_main,,,,
Biotechnology,1,303,3,biotech_main,,,,
Biotechnology,2,303,3,biotech_main,,,,
Biotechnology,1,309,3,biotech_main,,,,
Biotechnology,2,309,3,biotech_main,,,,
Biotechnology,1,317,3,biotech_main,,,,
Biotechnology,2,317,3,biotech_main,,,,
Biotechnology,1,318,3,biotech_main,,,,
Biotechnology,1,321,3,biotech_main,,,,
Biotechnology,2,321,3,biotech_main,,,,
Biotechnology,1,327,3,biotech_main,,,,
Biotechnology,2,327,3,biotech_main,,,,
Biotechnology,1,333,3,biotech_main,,,,
Biotechnology,2,333,3,biotech_main,,,,
Biotechnology,1,336,3,biotech_main,,,,
Biotechnology,1,341,3,biotech_main,,,,
Biotechnology,2,341,3,biotech_main,,,,
Biotechnology,1,345,3,biotech_main,,,,
Biotechnology,1,353,3,biotech_main,,,,
Biotechnology,2,353,3,biotech_main,,,,
Biotechnology,1,357,3,biotech_main,,,,
Biotechnology,2,357,3,biotech_main,,,,
Biotechnology,1,360,3,biotech_main,,,,
Biotechnology,2,360,3,biotech_main,,,,
Biotechnology,1,367,3,biotech_main,,,,
Biotechnology,2,367,3,biotech_main,,,,
Biotechnology,1,403,4,biotech_main,,,,
Biotechnology,2,403,4,biotech_main,,,,
Biotechnology,1,409,4,biotech_main,,,,
Biotechnology,2,409,4,biotech_main,,,,
Biotechnology,1,417,4,biotech_main,,,,
Biotechnology,2,417,4,biotech_main,,,,
Biotechnology,1,418,4,biotech_main,,,,
Biotechnology,1,421,4,biotech_main,,,,
Biotechnology,2,421,4,biotech_main,,,,
Biotechnology,1,427,4,biotech_main,,,,
Biotechnology,2,427,4,biotech_main,,,,
Biotechnology,1,433,4,biotech_main,,,,
Biotechnology,1,436,4,biotech_main,,,,
Biotechnology,1,441,4,biotech_main,,,,
Biotechnology,2,441,4,biotech_main,,,,
Biotechnology,1,445,4,biotech_main,,,,
Biotechnology,2,445,4,biotech_main,,,,
Biotechnology,1,453,4,biotech_main,,,,
Biotechnology,2,453,4,biotech_main,,,,
Biotechnology,1,457,4,biotech_main,,,,
Biotechnology,2,457,4,biotech_main,,,,
Biotechnology,1,467,4,biotech_main,,,,
Biotechnology,2,467,4,biotech_main,,,,
Biotechnology,1,G59,G,biotech_main,,,,
Biotechnology,1,G54,G,biotech_main,,,,
Biotechnology,1,460B,4,biotech_main,,,,
Biotechnology,3,467,4,biotech_main,,,,
Biotechnology,1,3G49,3,biotech_main,,,,
