building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Boyce Thompson Institute,1,104,1,biotech_main,,,,
Boyce Thompson Institute,1,108,1,biotech_main,,,,
Boyce Thompson Institute,1,110,1,biotech_main,,,,
Boyce Thompson Institute,1,110A,1,biotech_main,,,,
Boyce Thompson Institute,1,114,1,biotech_main,,,,
Boyce Thompson Institute,1,116,1,biotech_main,,,,
Boyce Thompson Institute,1,116A,1,biotech_main,,,,
Boyce Thompson Institute,1,118,1,biotech_main,,,,
Boyce Thompson Institute,1,120,1,biotech_main,,,,
Boyce Thompson Institute,1,122,1,biotech_main,,,,
Boyce Thompson Institute,1,160-N,1,biotech_main,,,,
Boyce Thompson Institute,1,160-S,1,biotech_main,,,,
Boyce Thompson Institute,1,206,2,biotech_main,,,,
Boyce Thompson Institute,1,210,2,biotech_main,,,,
Boyce Thompson Institute,1,212,2,biotech_main,,,,
Boyce Thompson Institute,1,218,2,biotech_main,,,,
Boyce Thompson Institute,1,202,2,biotech_main,,,,
Boyce Thompson Institute,1,302,3,biotech_main,,,,
Boyce Thompson Institute,1,304,3,biotech_main,,,,
Boyce Thompson Institute,1,310,3,biotech_main,,,,
Boyce Thompson Institute,1,312,3,biotech_main,,,,
Boyce Thompson Institute,1,316,3,biotech_main,,,,
Boyce Thompson Institute,1,318,3,biotech_main,,,,
Boyce Thompson Institute,1,324,3,biotech_main,,,,
Boyce Thompson Institute,1,326,3,biotech_main,,,,
Boyce Thompson Institute,1,402,4,biotech_main,,,,
Boyce Thompson Institute,1,404,4,biotech_main,,,,
Boyce Thompson Institute,1,406,4,biotech_main,,,,
Boyce Thompson Institute,1,410,4,biotech_main,,,,
Boyce Thompson Institute,1,412,4,biotech_main,,,,
Boyce Thompson Institute,1,418,4,biotech_main,,,,
Boyce Thompson Institute,2,418,4,biotech_main,,,,
Boyce Thompson Institute,1,420,4,biotech_main,,,,
Boyce Thompson Institute,1,422,4,biotech_main,,,,
Boyce Thompson Institute,1,424,4,biotech_main,,,,
Boyce Thompson Institute,1,426,4,biotech_main,,,,
Boyce Thompson Institute,1,158,1,biotech_main,,,,
