building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Bradfield Hall,1,1003,1,biotech_main,,,,
Bradfield Hall,1,1006A,1,biotech_main,,,,
Bradfield Hall,1,1012,1,biotech_main,,,,
Bradfield Hall,1,102,1,biotech_main,,,,
Bradfield Hall,1,1020,1,biotech_main,,,,
Bradfield Hall,1,1024,1,biotech_main,,,,
Bradfield Hall,1,202,2,biotech_main,,,,
Bradfield Hall,1,205,2,biotech_main,,,,
Bradfield Hall,1,212,2,biotech_main,,,,
Bradfield Hall,1,213A,2,biotech_main,,,,
Bradfield Hall,1,220,2,biotech_main,,,,
Bradfield Hall,1,224A,2,biotech_main,,,,
Bradfield Hall,1,301,3,biotech_main,,,,
Bradfield Hall,1,303A,3,biotech_main,,,,
Bradfield Hall,1,305,3,biotech_main,,,,
Bradfield Hall,1,306,3,biotech_main,,,,
Bradfield Hall,1,311,3,biotech_main,,,,
Bradfield Hall,1,506A,5,biotech_main,,,,
Bradfield Hall,1,315,3,biotech_main,,,,
Bradfield Hall,1,405A,4,biotech_main,,,,
Bradfield Hall,1,412A,4,biotech_main,,,,
Bradfield Hall,1,414,4,biotech_main,,,,
Bradfield Hall,2,414,4,biotech_main,,,,
Bradfield Hall,1,415,4,biotech_main,,,,
Bradfield Hall,1,502,5,biotech_main,,,,
Bradfield Hall,1,511,5,biotech_main,,,,
Bradfield Hall,1,516,5,biotech_main,,,,
Bradfield Hall,1,517,5,biotech_main,,,,
Bradfield Hall,1,523,5,biotech_main,,,,
Bradfield Hall,1,613,6,biotech_main,,,,
Bradfield Hall,1,614,6,biotech_main,,,,
Bradfield Hall,1,615,6,biotech_main,,,,
Bradfield Hall,1,618,6,biotech_main,,,,
Bradfield Hall,1,623,6,biotech_main,,,,
Bradfield Hall,1,703,7,biotech_main,,,,
Bradfield Hall,1,704,7,biotech_main,,,,
Bradfield Hall,1,710,7,biotech_main,,,,
Bradfield Hall,1,713,7,biotech_main,,,,
Bradfield Hall,1,801,8,biotech_main,,,,
Bradfield Hall,1,802,8,biotech_main,,,,
Bradfield Hall,1,805,8,biotech_main,,,,
Bradfield Hall,1,809,8,biotech_main,,,,
Bradfield Hall,2,809,8,biotech_main,,,,
Bradfield Hall,1,811,8,biotech_main,,,,
Bradfield Hall,1,815,8,biotech_main,,,,
Bradfield Hall,1,820,8,biotech_main,,,,
Bradfield Hall,2,820,8,biotech_main,,,,
Bradfield Hall,1,822,8,biotech_main,,,,
Bradfield Hall,1,901,9,biotech_main,,,,
Bradfield Hall,1,902,9,biotech_main,,,,
Bradfield Hall,1,911,9,biotech_main,,,,
Bradfield Hall,1,913,9,biotech_main,,,,
Bradfield Hall,1,914,9,biotech_main,,,,
Bradfield Hall,1,916,9,biotech_main,,,,
Bradfield Hall,1,B04,B,biotech_main,,,,
Bradfield Hall,1,211A,2,biotech_main,,,,
Bradfield Hall,1,B07,B,biotech_main,,,,
Bradfield Hall,1,G18,G,biotech_main,,,,
Bradfield Hall,1,G19,G,biotech_main,,,,
Bradfield Hall,1,Lab  207,L,biotech_main,,,,
Bradfield Hall,1,506B,5,biotech_main,,,,
Bradfield Hall,1,514D,5,biotech_main,,,,
