building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Brown Rd 95 #6 Langmuir Lab,1,179,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,2,179,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,180,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,2,180,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,183B,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,275,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,186,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,187,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,189,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,152A,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,270,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,277,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,279,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,274,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,276,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,284,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,285,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,2,285,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,3,285,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,286A,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,282,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,272,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,283,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,2,283,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,252,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,288,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,171,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,170,1,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,1,266,2,biotech_main,,,,
Brown Rd 95 #6 Langmuir Lab,2,266,2,biotech_main,,,,
