building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Clark Hall,1,150,1,biotech_main,,,,
Clark Hall,1,159A,1,biotech_main,,,,
Clark Hall,1,179,1,biotech_main,,,,
Clark Hall,2,179,1,biotech_main,,,,
Clark Hall,1,185,1,biotech_main,,,,
Clark Hall,1,188,1,biotech_main,,,,
Clark Hall,1,BC08,B,biotech_main,,,,
Clark Hall,1,BC13,B,biotech_main,,,,
Clark Hall,1,308D,3,biotech_main,,,,
Clark Hall,1,BA02,B,biotech_main,,,,
Clark Hall,1,BB06,B,biotech_main,,,,
Clark Hall,1,BC05,B,biotech_main,,,,
Clark Hall,1,BD12C,B,biotech_main,,,,
Clark Hall,1,BD21E,B,biotech_main,,,,
Clark Hall,1,BE02,B,biotech_main,,,,
Clark Hall,1,BF11,B,biotech_main,,,,
Clark Hall,2,BF11,B,biotech_main,,,,
Clark Hall,1,BBF14,B,biotech_main,,,,
Clark Hall,1,BG15,B,biotech_main,,,,
Clark Hall,1,BG7A,B,biotech_main,,,,
Clark Hall,1,BH02,B,biotech_main,,,,
Clark Hall,1,BH07,B,biotech_main,,,,
