building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Comstock Hall,1,1104,1,biotech_main,,,,
Comstock Hall,1,1105A,1,biotech_main,,,,
Comstock Hall,1,1108,1,biotech_main,,,,
Comstock Hall,1,1112,1,biotech_main,,,,
Comstock Hall,1,1116,1,biotech_main,,,,
Comstock Hall,1,1120,1,biotech_main,,,,
Comstock Hall,1,2111,2,biotech_main,,,,
Comstock Hall,1,3119,3,biotech_main,,,,
Comstock Hall,1,3131A,3,biotech_main,,,,
Comstock Hall,1,6129A,6,biotech_main,,,,
Comstock Hall,1,4129,4,biotech_main,,,,
Comstock Hall,1,4131,4,biotech_main,,,,
Comstock Hall,1,4133,4,biotech_main,,,,
Comstock Hall,1,5129,5,biotech_main,,,,
Comstock Hall,1,6119,6,biotech_main,,,,
Comstock Hall,1,6129,6,biotech_main,,,,
Comstock Hall,2,6129,6,biotech_main,,,,
Comstock Hall,3,6129,6,biotech_main,,,,
Comstock Hall,1,B145,B,biotech_main,,,,
Comstock Hall,1,B149,B,biotech_main,,,,
Comstock Hall,1,5123,5,biotech_main,,,,
Comstock Hall,1,5121A,5,biotech_main,,,,
Comstock Hall,2,5123,5,biotech_main,,,,
Comstock Hall,1,2144B,2,biotech_main,,,,
