building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Dale R Corson Hall,1,E205,E,biotech_main,,,,
Dale R Corson Hall,1,E212,E,biotech_main,,,,
Dale R Corson Hall,1,E240,E,biotech_main,,,,
Dale R Corson Hall,1,E245,E,biotech_main,,,,
Dale R Corson Hall,1,E248B,E,biotech_main,,,,
Dale R Corson Hall,1,E304B,E,biotech_main,,,,
Dale R Corson Hall,1,E310,E,biotech_main,,,,
Dale R Corson Hall,2,E310,E,biotech_main,,,,
Dale R Corson Hall,1,E331,E,biotech_main,,,,
Dale R Corson Hall,1,E334,E,biotech_main,,,,
Dale R Corson Hall,1,E340,E,biotech_main,,,,
Dale R Corson Hall,1,E405,E,biotech_main,,,,
Dale R Corson Hall,1,E419,E,biotech_main,,,,
Dale R Corson Hall,1,E446,E,biotech_main,,,,
Dale R Corson Hall,1,E450,E,biotech_main,,,,
Dale R Corson Hall,1,E429,E,biotech_main,,,,
Dale R Corson Hall,1,E439,E,biotech_main,,,,
Dale R Corson Hall,1,E206,E,biotech_main,,,,
Dale R Corson Hall,1,142,1,biotech_main,,,,
Dale R Corson Hall,1,344,3,biotech_main,,,,
