building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Duffield Hall,1,116,1,biotech_main,,,,
Duffield Hall,2,116,1,biotech_main,,,,
Duffield Hall,1,119,1,biotech_main,,,,
Duffield Hall,1,125,1,biotech_main,,,,
Duffield Hall,2,125,1,biotech_main,,,,
Duffield Hall,1,202,2,biotech_main,,,,
Duffield Hall,1,207,2,biotech_main,,,,
Duffield Hall,1,209,2,biotech_main,,,,
Duffield Hall,2,209,2,biotech_main,,,,
Duffield Hall,1,212,2,biotech_main,,,,
Duffield Hall,2,212,2,biotech_main,,,,
Duffield Hall,1,213,2,biotech_main,,,,
Duffield Hall,2,213,2,biotech_main,,,,
Duffield Hall,3,213,2,biotech_main,,,,
Duffield Hall,1,216,2,biotech_main,,,,
Duffield Hall,1,224,2,biotech_main,,,,
Duffield Hall,2,224,2,biotech_main,,,,
Duffield Hall,1,227,2,biotech_main,,,,
Duffield Hall,2,227,2,biotech_main,,,,
Duffield Hall,3,227,2,biotech_main,,,,
Duffield Hall,1,231,2,biotech_main,,,,
Duffield Hall,2,231,2,biotech_main,,,,
Duffield Hall,1,234,2,biotech_main,,,,
Duffield Hall,2,234,2,biotech_main,,,,
Duffield Hall,1,238,2,biotech_main,,,,
Duffield Hall,1,300,3,biotech_main,,,,
Duffield Hall,1,324,3,biotech_main,,,,
Duffield Hall,1,327,3,biotech_main,,,,
Duffield Hall,2,327,3,biotech_main,,,,
Duffield Hall,1,331,3,biotech_main,,,,
Duffield Hall,2,331,3,biotech_main,,,,
Duffield Hall,3,331,3,biotech_main,,,,
Duffield Hall,1,SVC,S,biotech_main,,,,
Duffield Hall,1,208,2,biotech_main,,,,
Duffield Hall,1,328,3,biotech_main,,,,
Duffield Hall,2,328,3,biotech_main,,,,
Duffield Hall,1,330,3,biotech_main,,,,
