building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Emerson Hall,1,142,1,biotech_main,,,,
Emerson Hall,1,144,1,biotech_main,,,,
Emerson Hall,1,146,1,biotech_main,,,,
Emerson Hall,1,146B,1,biotech_main,,,,
Emerson Hall,1,245,2,biotech_main,,,,
Emerson Hall,1,263,2,biotech_main,,,,
Emerson Hall,2,263,2,biotech_main,,,,
Emerson Hall,1,334,3,biotech_main,,,,
Emerson Hall,1,336,3,biotech_main,,,,
Emerson Hall,2,336,3,biotech_main,,,,
Emerson Hall,1,341,3,biotech_main,,,,
Emerson Hall,1,347,3,biotech_main,,,,
Emerson Hall,1,G34,G,biotech_main,,,,
Emerson Hall,2,G34,G,biotech_main,,,,
Emerson Hall,1,G35,G,biotech_main,,,,
Emerson Hall,1,G47,G,biotech_main,,,,
Emerson Hall,1,G50A,G,biotech_main,,,,
Emerson Hall,1,G51,G,biotech_main,,,,
Emerson Hall,2,334,3,biotech_main,,,,
Emerson Hall,1,G40,G,biotech_main,,,,
