building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Gnva Barton Laboratory,1,012,0,biotech_main,,,,
Gnva Barton Laboratory,1,020,0,biotech_main,,,,
Gnva Barton Laboratory,1,035,0,biotech_main,,,,
Gnva Barton Laboratory,1,043,0,biotech_main,,,,
Gnva Barton Laboratory,1,111,1,biotech_main,,,,
Gnva Barton Laboratory,1,117,1,biotech_main,,,,
Gnva Barton Laboratory,1,206,2,biotech_main,,,,
Gnva Barton Laboratory,1,207,2,biotech_main,,,,
Gnva Barton Laboratory,1,210,2,biotech_main,,,,
Gnva Barton Laboratory,1,215,2,biotech_main,,,,
Gnva Barton Laboratory,1,216,2,biotech_main,,,,
Gnva Barton Laboratory,1,218,2,biotech_main,,,,
Gnva Barton Laboratory,1,309,3,biotech_main,,,,
Gnva Barton Laboratory,1,319,3,biotech_main,,,,
Gnva Barton Laboratory,1,321,3,biotech_main,,,,
Gnva Barton Laboratory,1,322,3,biotech_main,,,,
Gnva Barton Laboratory,1,409,4,biotech_main,,,,
Gnva Barton Laboratory,1,411,4,biotech_main,,,,
Gnva Barton Laboratory,1,421,4,biotech_main,,,,
Gnva Barton Laboratory,1,510,5,biotech_main,,,,
Gnva Barton Laboratory,1,520,5,biotech_main,,,,
Gnva Barton Laboratory,1,611,6,biotech_main,,,,
Gnva Barton Laboratory,2,611,6,biotech_main,,,,
Gnva Barton Laboratory,3,611,6,biotech_main,,,,
Gnva Barton Laboratory,1,3,3,biotech_main,,,,
Gnva Barton Laboratory,1,622,6,biotech_main,,,,
Gnva Barton Laboratory,2,622,6,biotech_main,,,,
Gnva Barton Laboratory,1,626,6,biotech_main,,,,
