building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Gnva Food Research Laboratory,1,103,1,biotech_main,,,,
Gnva Food Research Laboratory,1,104,1,biotech_main,,,,
Gnva Food Research Laboratory,1,109,1,biotech_main,,,,
Gnva Food Research Laboratory,1,110,1,biotech_main,,,,
Gnva Food Research Laboratory,1,115,1,biotech_main,,,,
Gnva Food Research Laboratory,1,116,1,biotech_main,,,,
Gnva Food Research Laboratory,1,121,1,biotech_main,,,,
Gnva Food Research Laboratory,1,128,1,biotech_main,,,,
Gnva Food Research Laboratory,1,129,1,biotech_main,,,,
Gnva Food Research Laboratory,1,134,1,biotech_main,,,,
Gnva Food Research Laboratory,1,135,1,biotech_main,,,,
Gnva Food Research Laboratory,2,135,1,biotech_main,,,,
Gnva Food Research Laboratory,1,147,1,biotech_main,,,,
Gnva Food Research Laboratory,1,158,1,biotech_main,,,,
Gnva Food Research Laboratory,1,203,2,biotech_main,,,,
Gnva Food Research Laboratory,1,204,2,biotech_main,,,,
Gnva Food Research Laboratory,1,205,2,biotech_main,,,,
Gnva Food Research Laboratory,1,209,2,biotech_main,,,,
Gnva Food Research Laboratory,2,209,2,biotech_main,,,,
Gnva Food Research Laboratory,3,209,2,biotech_main,,,,
Gnva Food Research Laboratory,1,210,2,biotech_main,,,,
Gnva Food Research Laboratory,1,213,2,biotech_main,,,,
Gnva Food Research Laboratory,1,6,6,biotech_main,,,,
Gnva Food Research Laboratory,1,223,2,biotech_main,,,,
Gnva Food Research Laboratory,1,229,2,biotech_main,,,,
Gnva Food Research Laboratory,1,230,2,biotech_main,,,,
Gnva Food Research Laboratory,1,232,2,biotech_main,,,,
Gnva Food Research Laboratory,1,235,2,biotech_main,,,,
Gnva Food Research Laboratory,1,238,2,biotech_main,,,,
Gnva Food Research Laboratory,1,249,2,biotech_main,,,,
Gnva Food Research Laboratory,1,G25,G,biotech_main,,,,
