building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Gnva Hedrick Hall,1,119,1,biotech_main,,,,
Gnva Hedrick Hall,1,207,2,biotech_main,,,,
Gnva Hedrick Hall,1,208-E,2,biotech_main,,,,
Gnva Hedrick Hall,1,208,2,biotech_main,,,,
Gnva Hedrick Hall,1,222,2,biotech_main,,,,
Gnva Hedrick Hall,1,223,2,biotech_main,,,,
Gnva Hedrick Hall,1,224,2,biotech_main,,,,
Gnva Hedrick Hall,1,225,2,biotech_main,,,,
Gnva Hedrick Hall,1,305,3,biotech_main,,,,
Gnva Hedrick Hall,1,316,3,biotech_main,,,,
Gnva Hedrick Hall,1,G13,G,biotech_main,,,,
