building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Guterman Bioclimatic Lb,1,101,1,biotech_main,,,,
Guterman Bioclimatic Lb,2,101,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,105,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,112,1,biotech_main,,,,
Guterman Bioclimatic Lb,2,112,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,113,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,115,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,121,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,122,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,127,1,biotech_main,,,,
Guterman Bioclimatic Lb,1,130,1,biotech_main,,,,
