building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Hollister Hall,1,150,1,biotech_main,,,,
Hollister Hall,2,150,1,biotech_main,,,,
Hollister Hall,1,251,2,biotech_main,,,,
Hollister Hall,1,252,2,biotech_main,,,,
Hollister Hall,2,252,2,biotech_main,,,,
Hollister Hall,3,252,2,biotech_main,,,,
Hollister Hall,1,B52,B,biotech_main,,,,
Hollister Hall,1,160,1,biotech_main,,,,
Hollister Hall,2,160,1,biotech_main,,,,
Hollister Hall,1,Environmetal Lab,E,biotech_main,,,,
Hollister Hall,2,Environmetal Lab,E,biotech_main,,,,
Hollister Hall,3,Environmetal Lab,E,biotech_main,,,,
