building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Human Ecology Building,1,107,1,biotech_main,,,,
Human Ecology Building,1,113,1,biotech_main,,,,
Human Ecology Building,2,113,1,biotech_main,,,,
Human Ecology Building,3,113,1,biotech_main,,,,
Human Ecology Building,4,113,1,biotech_main,,,,
Human Ecology Building,5,113,1,biotech_main,,,,
Human Ecology Building,6,113,1,biotech_main,,,,
Human Ecology Building,1,119,1,biotech_main,,,,
Human Ecology Building,1,141,1,biotech_main,,,,
Human Ecology Building,2,141,1,biotech_main,,,,
Human Ecology Building,1,146,1,biotech_main,,,,
Human Ecology Building,1,151,1,biotech_main,,,,
Human Ecology Building,2,151,1,biotech_main,,,,
Human Ecology Building,3,151,1,biotech_main,,,,
Human Ecology Building,1,155,1,biotech_main,,,,
Human Ecology Building,2,155,1,biotech_main,,,,
Human Ecology Building,3,155,1,biotech_main,,,,
Human Ecology Building,1,207,2,biotech_main,,,,
Human Ecology Building,2,207,2,biotech_main,,,,
Human Ecology Building,3,207,2,biotech_main,,,,
Human Ecology Building,1,213,2,biotech_main,,,,
Human Ecology Building,2,213,2,biotech_main,,,,
Human Ecology Building,3,213,2,biotech_main,,,,
Human Ecology Building,1,218,2,biotech_main,,,,
Human Ecology Building,2,218,2,biotech_main,,,,
Human Ecology Building,1,219,2,biotech_main,,,,
Human Ecology Building,2,219,2,biotech_main,,,,
Human Ecology Building,3,219,2,biotech_main,,,,
Human Ecology Building,1,221,2,biotech_main,,,,
Human Ecology Building,2,221,2,biotech_main,,,,
Human Ecology Building,3,221,2,biotech_main,,,,
Human Ecology Building,1,245,2,biotech_main,,,,
Human Ecology Building,1,251,2,biotech_main,,,,
Human Ecology Building,1,256,2,biotech_main,,,,
Human Ecology Building,1,259,2,biotech_main,,,,
Human Ecology Building,2,259,2,biotech_main,,,,
Human Ecology Building,3,259,2,biotech_main,,,,
