building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Kimball Hall,1,174A,1,biotech_main,,,,
Kimball Hall,1,290K,2,biotech_main,,,,
Kimball Hall,1,290J,2,biotech_main,,,,
Kimball Hall,1,177,1,biotech_main,,,,
Kimball Hall,2,177,1,biotech_main,,,,
Kimball Hall,1,290F,2,biotech_main,,,,
Kimball Hall,2,290F,2,biotech_main,,,,
Kimball Hall,1,390K,3,biotech_main,,,,
Kimball Hall,2,390K,3,biotech_main,,,,
Kimball Hall,1,390F,3,biotech_main,,,,
Kimball Hall,2,390F,3,biotech_main,,,,
Kimball Hall,2,290J,2,biotech_main,,,,
Kimball Hall,1,290G,2,biotech_main,,,,
Kimball Hall,2,290G,2,biotech_main,,,,
