building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Kinzelberg Hall,1,134,1,biotech_main,,,,
Kinzelberg Hall,1,135,1,biotech_main,,,,
Kinzelberg Hall,1,138,1,biotech_main,,,,
Kinzelberg Hall,2,138,1,biotech_main,,,,
Kinzelberg Hall,1,139,1,biotech_main,,,,
Kinzelberg Hall,2,139,1,biotech_main,,,,
Kinzelberg Hall,1,140,1,biotech_main,,,,
Kinzelberg Hall,1,141,1,biotech_main,,,,
Kinzelberg Hall,1,144,1,biotech_main,,,,
Kinzelberg Hall,1,145,1,biotech_main,,,,
Kinzelberg Hall,1,234,2,biotech_main,,,,
Kinzelberg Hall,1,235,2,biotech_main,,,,
Kinzelberg Hall,2,235,2,biotech_main,,,,
Kinzelberg Hall,1,238,2,biotech_main,,,,
Kinzelberg Hall,2,238,2,biotech_main,,,,
Kinzelberg Hall,1,239,2,biotech_main,,,,
Kinzelberg Hall,2,239,2,biotech_main,,,,
Kinzelberg Hall,1,240,2,biotech_main,,,,
Kinzelberg Hall,1,241,2,biotech_main,,,,
Kinzelberg Hall,1,245,2,biotech_main,,,,
Kinzelberg Hall,2,245,2,biotech_main,,,,
Kinzelberg Hall,1,334,3,biotech_main,,,,
Kinzelberg Hall,1,335,3,biotech_main,,,,
Kinzelberg Hall,1,338,3,biotech_main,,,,
Kinzelberg Hall,2,338,3,biotech_main,,,,
Kinzelberg Hall,1,339,3,biotech_main,,,,
Kinzelberg Hall,2,339,3,biotech_main,,,,
Kinzelberg Hall,1,340,3,biotech_main,,,,
Kinzelberg Hall,2,340,3,biotech_main,,,,
Kinzelberg Hall,1,341,3,biotech_main,,,,
Kinzelberg Hall,2,341,3,biotech_main,,,,
Kinzelberg Hall,1,344,3,biotech_main,,,,
Kinzelberg Hall,1,345,3,biotech_main,,,,
