building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id
Mann Library,1,512,5,biotech_main,,,,
Mann Library,1,506,5,biotech_main,,,,
Mann Library,1,504,5,biotech_main,,,,
Mann Library,1,420B,4,biotech_main,,,,
Mann Library,1,420,4,biotech_main,,,,
Mann Library,1,410,4,biotech_main,,,,
Mann Library,1,408A,4,biotech_main,,,,
Mann Library,1,406,4,biotech_main,,,,
Mann Library,1,405A,4,biotech_main,,,,
Mann Library,1,405,4,biotech_main,,,,
Mann Library,2,405,4,biotech_main,,,,
